file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\AntennaPod\app\src\androidTest\java\de\test\antennapod\service\playback\PlaybackServiceTaskManagerTest.java,de.test.antennapod.service.playback.PlaybackServiceTaskManagerTest$Anonymous4,anonymous,2,2,0,2,3,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,1,1,0,0,0,1,0,0,0,13,-1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\AntennaPod\app\src\androidTest\java\de\test\antennapod\service\playback\PlaybackServiceTaskManagerTest.java,de.test.antennapod.service.playback.PlaybackServiceTaskManagerTest$Anonymous5,anonymous,2,2,0,2,3,1,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,-1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\AntennaPod\app\src\androidTest\java\de\test\antennapod\service\playback\PlaybackServiceTaskManagerTest.java,de.test.antennapod.service.playback.PlaybackServiceTaskManagerTest$Anonymous2,anonymous,2,2,0,2,3,1,0,1,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,-1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\AntennaPod\app\src\main\java\de\danoeh\antennapod\ui\home\sections\EchoSection.java,de.danoeh.antennapod.ui.home.sections.EchoSection,class,14,16,2,14,9,2,0,28,4,0.625,0.0,0.0,4,0,1,2,0,1,2,0,0,0,2,0,0,2,0,0,0,0,1,48,3,1,1,0,2,0,9,7,1,9,2,0,0,4,45,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\AntennaPod\app\src\androidTest\java\de\test\antennapod\service\playback\PlaybackServiceTaskManagerTest.java,de.test.antennapod.service.playback.PlaybackServiceTaskManagerTest$Anonymous3,anonymous,2,2,0,2,2,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,1,0,0,0,1,0,0,0,8,-1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\AntennaPod\app\src\androidTest\java\de\test\antennapod\service\playback\PlaybackServiceTaskManagerTest.java,de.test.antennapod.service.playback.PlaybackServiceTaskManagerTest$Anonymous1,anonymous,2,2,0,2,3,1,0,1,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,-1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\AntennaPod\net\discovery\src\main\java\de\danoeh\antennapod\net\discovery\GpodnetPodcastSearcher.java,de.danoeh.antennapod.net.discovery.GpodnetPodcastSearcher,class,7,8,1,7,6,1,0,17,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,29,4,1,0,1,0,1,1,3,0,4,3,0,0,1,22,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\AntennaPod\app\src\main\java\de\danoeh\antennapod\fragment\FeedItemlistFragment.java,de.danoeh.antennapod.fragment.FeedItemlistFragment$FeedItemListAdapter,innerclass,8,8,0,8,4,3,0,6,3,0.0,0.0,0.0,3,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23,2,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\AntennaPod\core\src\main\java\de\danoeh\antennapod\core\util\PowerUtils.java,de.danoeh.antennapod.core.util.PowerUtils,class,3,4,1,3,4,1,0,2,1,0.0,NaN,NaN,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,2,0,1,0,1,3,0,3,0,0,0,0,20,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\AntennaPod\net\sync\gpoddernet\src\main\java\de\danoeh\antennapod\net\sync\gpoddernet\GpodnetServiceException.java,de.danoeh.antennapod.net.sync.gpoddernet.GpodnetServiceException,class,1,4,3,1,2,4,2,0,1,1.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,9,0,0,0,0,0,0,1,1,0,1,0,0,0,0,14,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\AntennaPod\ui\echo\src\main\java\de\danoeh\antennapod\ui\echo\screens\StripesScreen.java,de.danoeh.antennapod.ui.echo.screens.StripesScreen,class,5,5,0,5,6,3,0,6,6,0.75,0.0,0.0,4,0,2,0,2,0,4,0,0,0,1,1,0,0,1,0,1,0,0,24,0,1,0,0,1,0,12,6,9,4,1,0,0,0,40,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\AntennaPod\core\src\test\java\de\danoeh\antennapod\core\util\ReleaseScheduleGuesserRealWorldTest.java,de.danoeh.antennapod.core.util.ReleaseScheduleGuesserRealWorldTest,class,6,7,1,6,23,1,0,28,1,0.5,NaN,NaN,2,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,9,93,0,7,3,0,6,20,36,32,32,30,3,0,0,0,79,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\AntennaPod\app\src\main\java\de\danoeh\antennapod\fragment\actions\FeedMultiSelectActionHandler.java,de.danoeh.antennapod.fragment.actions.FeedMultiSelectActionHandler,class,15,16,1,15,22,1,0,51,0,0.5,0.0,0.0,10,0,2,8,0,0,2,0,0,0,3,1,0,3,0,0,3,0,5,93,0,2,7,0,0,3,5,12,1,26,1,0,0,12,59,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\AntennaPod\core\src\main\java\de\danoeh\antennapod\core\feed\SubscriptionsFilterGroup.java,de.danoeh.antennapod.core.feed.SubscriptionsFilterGroup,enum,1,2,1,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,13,0,0,0,0,0,7,0,1,0,1,0,0,1,0,25,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\AntennaPod\app\src\main\java\de\danoeh\antennapod\ui\home\HomeSection.java,de.danoeh.antennapod.ui.home.HomeSection,class,21,27,6,21,16,2,5,32,9,0.64285713,0.0,0.0,7,0,4,0,3,0,7,3,0,0,2,1,1,0,1,0,1,0,5,63,6,0,3,0,0,4,1,8,2,8,2,0,0,3,57,1025,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\AntennaPod\parser\media\src\test\java\de\danoeh\antennapod\parser\media\vorbis\VorbisCommentMetadataReaderTest.java,de.danoeh.antennapod.parser.media.vorbis.VorbisCommentMetadataReaderTest,class,6,7,1,6,2,1,0,8,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,3,0,2,0,2,0,0,0,0,20,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\AntennaPod\app\src\main\java\de\danoeh\antennapod\adapter\DownloadLogAdapter.java,de.danoeh.antennapod.adapter.DownloadLogAdapter,class,12,14,2,12,24,2,0,32,10,0.6666667,0.0,0.0,8,0,6,2,0,0,6,0,0,0,3,1,0,3,0,0,2,0,2,117,9,1,11,0,1,5,2,15,2,11,5,0,0,2,55,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\AntennaPod\core\src\main\java\de\danoeh\antennapod\core\sync\SyncService.java,de.danoeh.antennapod.core.sync.SyncService,class,46,48,2,46,50,2,0,125,57,0.75,0.0,0.0,14,5,5,9,0,0,5,0,0,1,4,3,1,3,0,0,3,0,52,257,13,5,11,4,1,25,22,46,18,42,3,0,0,1,137,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\AntennaPod\app\src\main\java\de\danoeh\antennapod\dialog\FeedPreferenceSkipDialog.java,de.danoeh.antennapod.dialog.FeedPreferenceSkipDialog,class,4,4,0,4,4,2,0,12,1,0.0,0.0,0.0,2,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,2,32,0,0,0,2,0,0,2,7,0,7,2,0,0,1,46,1025,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\AntennaPod\app\src\main\java\de\danoeh\antennapod\ui\home\sections\SubscriptionsSection.java,de.danoeh.antennapod.ui.home.sections.SubscriptionsSection$Anonymous1,anonymous,4,4,0,4,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\AntennaPod\playback\base\src\test\java\de\danoeh\antennapod\playback\base\RewindAfterPauseUtilTest.java,de.danoeh.antennapod.playback.base.RewindAfterPauseUtilTest,class,2,2,0,2,5,1,0,3,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,10,32,0,0,0,0,0,0,10,15,7,15,0,0,0,0,33,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\AntennaPod\ui\preferences\src\main\java\de\danoeh\antennapod\ui\preferences\screen\synchronization\SynchronizationPreferencesFragment.java,de.danoeh.antennapod.ui.preferences.screen.synchronization.SynchronizationPreferencesFragment,class,17,18,1,17,18,2,0,51,43,0.82,0.0,0.0,10,0,4,6,0,0,4,0,0,0,5,5,0,5,0,0,5,0,1,160,8,0,2,0,5,8,0,18,0,25,2,2,0,6,97,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\AntennaPod\parser\feed\src\main\java\de\danoeh\antennapod\parser\feed\namespace\Atom.java,de.danoeh.antennapod.parser.feed.namespace.Atom,class,12,13,1,12,84,2,0,53,0,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,35,35,2,33,0,0,35,0,6,191,2,0,32,1,3,41,2,62,4,57,5,0,0,0,81,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\AntennaPod\net\sync\gpoddernet\src\main\java\de\danoeh\antennapod\net\sync\gpoddernet\GpodnetServiceAuthenticationException.java,de.danoeh.antennapod.net.sync.gpoddernet.GpodnetServiceAuthenticationException,class,1,2,1,1,1,5,0,0,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,6,0,0,0,0,0,0,1,1,0,1,0,0,0,0,12,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\AntennaPod\app\src\main\java\de\danoeh\antennapod\view\NestedScrollableHost.java,de.danoeh.antennapod.view.NestedScrollableHost,class,11,13,2,11,30,2,0,23,39,0.8428572,0.0,0.0,10,0,5,5,0,0,5,0,0,0,7,0,0,7,0,0,0,0,2,121,7,0,8,1,6,0,25,25,5,18,4,1,0,0,124,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\AntennaPod\core\src\main\java\de\danoeh\antennapod\core\storage\ItemEnqueuePositionCalculator.java,de.danoeh.antennapod.core.storage.ItemEnqueuePositionCalculator,class,8,12,4,8,17,1,0,12,8,0.6,0.0,0.0,5,1,2,3,0,0,2,0,0,0,1,0,0,1,0,0,1,0,2,53,10,2,3,1,2,1,6,9,3,8,2,0,0,0,60,0,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\AntennaPod\app\src\main\java\de\danoeh\antennapod\ui\home\sections\SubscriptionsSection.java,de.danoeh.antennapod.ui.home.sections.SubscriptionsSection,class,18,20,2,18,10,3,0,33,19,0.7857143,0.0,0.0,7,0,3,1,3,0,6,0,0,0,4,2,1,3,0,0,2,0,0,55,3,1,1,0,2,1,7,10,1,14,2,1,0,4,71,1,0
