file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\AntennaPod\app\src\androidTest\java\de\test\antennapod\service\playback\PlaybackServiceTaskManagerTest.java,de.test.antennapod.service.playback.PlaybackServiceTaskManagerTest$Anonymous4,sleepTimerUpdate/1[de.danoeh.antennapod.event.playback.SleepTimerUpdatedEvent],false,245,2,2,0,2,3,4,8,0,0,1,4,0,0,0,1,0,0,1,1,0,0,1,0,0,0,13,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\AntennaPod\app\src\androidTest\java\de\test\antennapod\service\playback\PlaybackServiceTaskManagerTest.java,de.test.antennapod.service.playback.PlaybackServiceTaskManagerTest$Anonymous5,requestWidgetState/0,false,290,1,5,0,5,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\AntennaPod\app\src\androidTest\java\de\test\antennapod\service\playback\PlaybackServiceTaskManagerTest.java,de.test.antennapod.service.playback.PlaybackServiceTaskManagerTest$Anonymous5,positionSaverTick/0,false,285,0,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\AntennaPod\app\src\androidTest\java\de\test\antennapod\service\playback\PlaybackServiceTaskManagerTest.java,de.test.antennapod.service.playback.PlaybackServiceTaskManagerTest$Anonymous5,onChapterLoaded/1[de.danoeh.antennapod.model.playback.Playable],false,295,1,2,0,2,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\AntennaPod\app\src\androidTest\java\de\test\antennapod\service\playback\PlaybackServiceTaskManagerTest.java,de.test.antennapod.service.playback.PlaybackServiceTaskManagerTest$Anonymous2,onChapterLoaded/1[de.danoeh.antennapod.model.playback.Playable],false,149,1,2,0,2,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\AntennaPod\app\src\androidTest\java\de\test\antennapod\service\playback\PlaybackServiceTaskManagerTest.java,de.test.antennapod.service.playback.PlaybackServiceTaskManagerTest$Anonymous2,requestWidgetState/0,false,143,1,5,0,5,1,1,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\AntennaPod\app\src\androidTest\java\de\test\antennapod\service\playback\PlaybackServiceTaskManagerTest.java,de.test.antennapod.service.playback.PlaybackServiceTaskManagerTest$Anonymous2,positionSaverTick/0,false,138,0,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\AntennaPod\app\src\main\java\de\danoeh\antennapod\ui\home\sections\EchoSection.java,de.danoeh.antennapod.ui.home.sections.EchoSection,hideThisYear/0,false,78,1,1,0,1,1,7,4,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\AntennaPod\app\src\main\java\de\danoeh\antennapod\ui\home\sections\EchoSection.java,de.danoeh.antennapod.ui.home.sections.EchoSection,"onCreateView/3[de.danoeh.antennapod.ui.home.sections.LayoutInflater,de.danoeh.antennapod.ui.home.sections.ViewGroup,de.danoeh.antennapod.ui.home.sections.Bundle]",false,33,9,1,0,1,1,9,8,1,2,3,9,1,1,0,0,0,0,0,0,1,0,0,0,0,2,25,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\AntennaPod\app\src\main\java\de\danoeh\antennapod\ui\home\sections\EchoSection.java,de.danoeh.antennapod.ui.home.sections.EchoSection,updateVisibility/0,false,54,1,1,1,0,6,12,21,1,4,0,12,0,0,1,1,0,1,0,3,5,1,2,0,0,2,16,2,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\AntennaPod\app\src\main\java\de\danoeh\antennapod\ui\home\sections\EchoSection.java,de.danoeh.antennapod.ui.home.sections.EchoSection,jan1/0,false,42,0,0,0,0,1,3,11,1,1,0,3,0,0,0,0,0,0,0,6,1,0,0,0,0,0,3,2,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\AntennaPod\app\src\androidTest\java\de\test\antennapod\service\playback\PlaybackServiceTaskManagerTest.java,de.test.antennapod.service.playback.PlaybackServiceTaskManagerTest$Anonymous3,sleepTimerUpdate/1[de.danoeh.antennapod.event.playback.SleepTimerUpdatedEvent],false,221,2,2,0,2,2,3,6,0,0,1,3,0,0,0,1,0,0,0,1,0,0,1,0,0,0,8,1,0,false
