file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Chat2DB\chat2db-server\chat2db-server-start\src\main\java\ai\chat2db\server\start\config\config\Chat2dbWebMvcConfigurer.java,ai.chat2db.server.start.config.config.Chat2dbWebMvcConfigurer,addInterceptors/1[ai.chat2db.server.start.config.config.InterceptorRegistry],false,63,2,0,0,0,1,4,29,0,0,1,4,0,0,0,0,0,0,1,1,0,0,0,1,0,0,41,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Chat2DB\chat2db-server\chat2db-server-web\chat2db-server-web-api\src\main\java\ai\chat2db\server\web\api\controller\rdb\doc\merge\MyMergeExcel.java,ai.chat2db.server.web.api.controller.rdb.doc.merge.MyMergeExcel,"merge/4[ai.chat2db.server.web.api.controller.rdb.doc.merge.Sheet,ai.chat2db.server.web.api.controller.rdb.doc.merge.Cell,ai.chat2db.server.web.api.controller.rdb.doc.merge.Head,java.lang.Integer]",false,18,8,0,0,0,2,22,23,0,5,4,22,0,0,0,0,0,0,0,4,6,0,1,0,0,0,18,4,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Chat2DB\chat2db-server\chat2db-spi\src\main\java\ai\chat2db\spi\util\ExceptionUtils.java,ai.chat2db.spi.util.ExceptionUtils,getErrorInfoFromException/1[java.lang.Throwable],false,20,0,1,1,0,2,3,10,2,2,1,3,0,0,0,0,1,0,2,0,2,0,1,0,0,0,15,9,1,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Chat2DB\chat2db-server\chat2db-server-web\chat2db-server-web-api\src\main\java\ai\chat2db\server\web\api\controller\ai\EmbeddingController.java,ai.chat2db.server.web.api.controller.ai.EmbeddingController,es/1[ai.chat2db.server.web.api.http.request.EsTableSchemaRequest],false,166,12,4,1,3,9,20,53,2,10,1,20,2,1,3,0,0,0,2,6,16,2,4,0,0,0,37,1,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Chat2DB\chat2db-server\chat2db-server-web\chat2db-server-web-api\src\main\java\ai\chat2db\server\web\api\controller\ai\EmbeddingController.java,ai.chat2db.server.web.api.controller.ai.EmbeddingController,"queryTableDdlByEs/2[java.lang.String,ai.chat2db.server.web.api.http.request.EsTableSchemaRequest]",false,357,3,1,1,0,1,9,9,1,2,2,9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,14,2,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Chat2DB\chat2db-server\chat2db-server-web\chat2db-server-web-api\src\main\java\ai\chat2db\server\web\api\controller\ai\EmbeddingController.java,ai.chat2db.server.web.api.controller.ai.EmbeddingController,syncTableEs/1[ai.chat2db.server.web.api.controller.rdb.request.TableBriefQueryRequest],false,304,5,3,0,3,5,9,15,3,2,1,9,1,2,0,0,0,0,0,0,2,0,1,0,0,0,17,1,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Chat2DB\chat2db-server\chat2db-server-web\chat2db-server-web-api\src\main\java\ai\chat2db\server\web\api\controller\ai\EmbeddingController.java,ai.chat2db.server.web.api.controller.ai.EmbeddingController,"saveTableEmbedding/2[java.lang.String,ai.chat2db.server.web.api.http.request.TableSchemaRequest]",false,277,5,3,1,2,4,10,17,0,3,2,10,0,0,1,1,0,0,0,1,3,0,2,0,0,0,23,2,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Chat2DB\chat2db-server\chat2db-server-web\chat2db-server-web-api\src\main\java\ai\chat2db\server\web\api\controller\ai\EmbeddingController.java,ai.chat2db.server.web.api.controller.ai.EmbeddingController,checkInWhite/1[ai.chat2db.server.web.api.http.request.WhiteListRequest],false,67,4,1,0,1,3,7,13,2,1,1,7,0,0,0,0,1,0,2,0,1,0,1,0,0,0,13,1,1,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Chat2DB\chat2db-server\chat2db-server-web\chat2db-server-web-api\src\main\java\ai\chat2db\server\web\api\controller\ai\EmbeddingController.java,ai.chat2db.server.web.api.controller.ai.EmbeddingController,syncTableVector/1[ai.chat2db.server.web.api.controller.rdb.request.TableBriefQueryRequest],false,236,9,6,0,6,7,16,26,5,5,1,16,1,2,0,0,0,0,0,0,5,0,1,0,0,0,22,1,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Chat2DB\chat2db-server\chat2db-server-web\chat2db-server-web-api\src\main\java\ai\chat2db\server\web\api\controller\ai\EmbeddingController.java,ai.chat2db.server.web.api.controller.ai.EmbeddingController,embeddings/1[ai.chat2db.server.web.api.controller.rdb.request.TableMilvusQueryRequest],false,90,14,7,1,6,9,26,52,2,11,1,26,2,1,3,0,0,0,2,6,17,2,4,0,0,0,36,1,0,true
