file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Geyser\core\src\main\java\org\geysermc\geyser\item\type\FishingRodItem.java,org.geysermc.geyser.item.type.FishingRodItem,class,8,10,2,8,4,2,0,5,3,0.0,0.0,0.0,3,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,16,1,0,0,0,1,2,1,2,1,2,1,0,0,0,21,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Geyser\core\src\main\java\org\geysermc\geyser\network\netty\LocalServerChannelWrapper.java,org.geysermc.geyser.network.netty.LocalServerChannelWrapper,class,5,5,0,5,2,2,0,4,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,1,0,0,1,0,1,1,0,0,0,26,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Geyser\core\src\main\java\org\geysermc\geyser\session\GeyserSession.java,org.geysermc.geyser.session.GeyserSession$Anonymous1,anonymous,18,18,0,18,25,1,0,65,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,15,114,1,0,8,1,1,20,4,24,3,12,4,0,0,0,62,-1,7
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Geyser\ap\src\main\java\org\geysermc\geyser\processor\PacketTranslatorProcessor.java,org.geysermc.geyser.processor.PacketTranslatorProcessor,class,1,1,0,1,1,3,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Geyser\api\src\main\java\org\geysermc\geyser\api\bedrock\camera\CameraFade.java,org.geysermc.geyser.api.bedrock.camera.CameraFade,interface,3,9,6,3,5,1,0,2,10,0.0,0.0,0.0,5,1,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,1,16,1,0,0,0,0,0,0,0,0,0,0,0,1,0,49,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Geyser\bootstrap\bungeecord\src\main\java\org\geysermc\geyser\platform\bungeecord\GeyserBungeePlugin.java,org.geysermc.geyser.platform.bungeecord.GeyserBungeePlugin,class,25,27,2,25,44,2,0,80,160,0.8333333,0.0,0.0,21,0,18,3,0,0,18,0,0,0,6,0,0,6,0,0,0,0,5,174,19,2,5,4,0,31,3,12,4,14,4,0,0,3,107,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Geyser\core\src\main\java\org\geysermc\geyser\translator\level\block\entity\SpawnerBlockEntityTranslator.java,org.geysermc.geyser.translator.level.block.entity.SpawnerBlockEntityTranslator,class,15,17,2,15,15,2,0,16,3,0.0,0.0,0.0,3,1,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,64,2,0,10,0,7,24,4,15,0,9,2,0,0,0,32,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Geyser\core\src\main\java\org\geysermc\geyser\item\type\BoatItem.java,org.geysermc.geyser.item.type.BoatItem,class,2,4,2,2,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Geyser\core\src\main\java\org\geysermc\geyser\inventory\CartographyContainer.java,org.geysermc.geyser.inventory.CartographyContainer,class,3,3,0,3,1,3,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Geyser\common\src\main\java\org\geysermc\floodgate\util\LinkedPlayer.java,org.geysermc.floodgate.util.LinkedPlayer,class,4,6,2,4,5,1,0,4,4,0.5625,0.0,0.0,4,2,4,0,0,0,4,0,0,0,4,0,0,4,0,0,3,0,2,24,5,0,1,0,0,1,4,4,1,6,1,0,0,0,47,17,0
