file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Hippy\framework\android\src\main\java\com\tencent\mtt\hippy\adapter\storage\HippyStorageAdapter.java,com.tencent.mtt.hippy.adapter.storage.HippyStorageAdapter$Callback,interface,1,1,0,1,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Hippy\framework\android\src\main\java\com\tencent\mtt\hippy\HippyEngine.java,com.tencent.mtt.hippy.HippyEngine$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Hippy\framework\android\src\main\java\com\tencent\mtt\hippy\bridge\HippyBridgeImpl.java,com.tencent.mtt.hippy.bridge.HippyBridgeImpl$Anonymous2$Anonymous3,anonymous,5,5,0,5,5,1,0,5,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,18,0,0,3,0,0,0,0,2,0,2,2,0,0,0,17,-1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Hippy\modules\android\serialization\src\main\java\com\tencent\mtt\hippy\serialization\string\DirectStringTable.java,com.tencent.mtt.hippy.serialization.string.DirectStringTable,class,3,5,2,3,3,1,1,4,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,1,0,0,2,0,2,2,2,1,0,0,0,25,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Hippy\framework\android\src\main\java\com\tencent\mtt\hippy\HippyEngineManagerImpl.java,com.tencent.mtt.hippy.HippyEngineManagerImpl$Anonymous2,anonymous,1,1,0,1,2,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,-1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Hippy\framework\android\src\main\java\com\tencent\mtt\hippy\HippyEngineManagerImpl.java,com.tencent.mtt.hippy.HippyEngineManagerImpl$Anonymous1,anonymous,1,1,0,1,2,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6,-1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Hippy\framework\android\src\main\java\com\tencent\mtt\hippy\HippyEngineManagerImpl.java,com.tencent.mtt.hippy.HippyEngineManagerImpl$Anonymous4,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Hippy\framework\android\src\main\java\com\tencent\mtt\hippy\HippyEngineManagerImpl.java,com.tencent.mtt.hippy.HippyEngineManagerImpl$Anonymous3,anonymous,3,3,0,3,7,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,21,1,0,4,0,0,2,0,2,2,1,1,0,0,0,16,-1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Hippy\renderer\native\android\src\main\java\com\tencent\renderer\NativeRenderer.java,com.tencent.renderer.NativeRenderer,class,56,58,2,56,196,2,0,178,996,0.9297435,0.0,0.0,65,1,57,8,0,0,57,0,0,1,30,21,4,26,0,0,25,0,40,693,37,12,61,5,25,72,34,130,28,122,3,0,2,18,322,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Hippy\renderer\native\android\src\main\java\com\tencent\renderer\node\RootRenderNode.java,com.tencent.renderer.node.RootRenderNode,class,8,10,2,8,16,2,0,14,29,0.6969697,0.0,0.0,11,0,9,1,1,0,10,0,0,0,3,0,0,3,0,0,3,0,2,54,3,1,1,0,0,0,2,6,0,5,2,0,0,0,33,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Hippy\renderer\native\android\src\main\java\com\tencent\renderer\component\text\TextRenderSupplier.java,com.tencent.renderer.component.text.TextRenderSupplier,class,1,4,3,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,5,0,5,0,0,0,5,0,0,14,0,0,0,0,0,0,0,5,0,5,0,0,0,0,22,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Hippy\framework\android\connector\support\src\main\java\com\openhippy\connector\RenderConnector.java,com.openhippy.connector.RenderConnector,interface,7,11,4,7,13,1,0,0,78,1.0,0.0,0.0,13,0,0,0,0,13,13,0,0,0,2,0,0,0,0,2,0,0,0,17,0,0,0,0,0,2,0,2,0,2,0,0,0,0,47,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Hippy\renderer\native\android\src\main\java\com\tencent\renderer\component\Component.java,com.tencent.renderer.component.Component,class,25,36,11,25,101,1,2,60,1755,0.9470046,0.0,0.0,62,0,56,1,5,0,61,0,0,0,14,6,0,8,6,0,7,0,2,319,17,1,27,0,9,4,13,44,1,31,3,0,0,0,184,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Hippy\renderer\native\android\src\main\java\com\tencent\mtt\supportui\views\recyclerview\RecyclerViewItem.java,com.tencent.mtt.supportui.views.recyclerview.RecyclerViewItem,class,9,20,11,9,20,2,0,10,72,0.9230769,0.0,0.0,13,0,11,0,2,0,13,0,1,0,9,1,4,0,1,4,0,0,0,62,4,0,1,1,2,0,3,10,2,10,1,0,0,0,79,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Hippy\renderer\native\android\src\main\java\com\tencent\renderer\component\drawable\NinePatchHelper.java,com.tencent.renderer.component.drawable.NinePatchHelper,class,6,7,1,6,3,1,0,6,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,8,0,2,10,32,10,0,0,1,0,23,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Hippy\renderer\native\android\src\main\java\com\tencent\mtt\hippy\views\common\HippyNestedScrollComponent.java,com.tencent.mtt.hippy.views.common.HippyNestedScrollComponent$HippyNestedScrollTarget2,interface,3,3,0,3,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Hippy\modules\android\hippy_support\src\main\java\com\tencent\mtt\hippy\common\HippyMap.java,com.tencent.mtt.hippy.common.HippyMap,class,4,51,47,4,75,1,0,47,0,0.121212125,0.0,0.0,33,0,33,0,0,0,33,0,0,0,1,0,0,1,0,0,1,0,1,254,25,4,7,2,10,5,5,30,0,27,3,0,0,0,59,1,0
