file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Hippy\framework\android\src\main\java\com\tencent\mtt\hippy\adapter\storage\HippyStorageAdapter.java,com.tencent.mtt.hippy.adapter.storage.HippyStorageAdapter$Callback,onError/1[java.lang.String],false,42,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Hippy\framework\android\src\main\java\com\tencent\mtt\hippy\adapter\storage\HippyStorageAdapter.java,com.tencent.mtt.hippy.adapter.storage.HippyStorageAdapter$Callback,onSuccess/1[T],false,40,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Hippy\framework\android\src\main\java\com\tencent\mtt\hippy\HippyEngine.java,com.tencent.mtt.hippy.HippyEngine$Anonymous1,run/0,false,121,1,93,0,93,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Hippy\framework\android\src\main\java\com\tencent\mtt\hippy\bridge\HippyBridgeImpl.java,com.tencent.mtt.hippy.bridge.HippyBridgeImpl$Anonymous2$Anonymous3,"onFetchProgress/2[long,long]",false,330,0,3,0,3,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Hippy\framework\android\src\main\java\com\tencent\mtt\hippy\bridge\HippyBridgeImpl.java,com.tencent.mtt.hippy.bridge.HippyBridgeImpl$Anonymous2$Anonymous3,onFetchCompleted/1[com.tencent.vfs.ResourceDataHolder],false,312,5,13,0,13,4,5,14,0,2,1,5,0,0,0,3,0,0,0,0,2,0,2,0,0,0,15,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Hippy\modules\android\serialization\src\main\java\com\tencent\mtt\hippy\serialization\string\DirectStringTable.java,com.tencent.mtt.hippy.serialization.string.DirectStringTable,"lookup/4[java.nio.ByteBuffer,java.lang.String,com.tencent.mtt.hippy.serialization.StringLocation,java.lang.Object]",false,33,2,0,0,0,2,4,8,2,2,4,4,0,0,0,1,0,0,1,0,2,2,1,0,0,0,11,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Hippy\modules\android\serialization\src\main\java\com\tencent\mtt\hippy\serialization\string\DirectStringTable.java,com.tencent.mtt.hippy.serialization.string.DirectStringTable,release/0,false,45,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Hippy\framework\android\src\main\java\com\tencent\mtt\hippy\HippyEngineManagerImpl.java,com.tencent.mtt.hippy.HippyEngineManagerImpl$Anonymous2,run/0,false,567,1,93,0,93,2,1,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Hippy\framework\android\src\main\java\com\tencent\mtt\hippy\HippyEngineManagerImpl.java,com.tencent.mtt.hippy.HippyEngineManagerImpl$Anonymous1,handleBackPress/0,false,544,1,1,0,1,2,1,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Hippy\framework\android\src\main\java\com\tencent\mtt\hippy\HippyEngineManagerImpl.java,com.tencent.mtt.hippy.HippyEngineManagerImpl$Anonymous4,"callback/2[java.lang.Boolean,java.lang.Throwable]",false,686,2,4,0,4,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Hippy\framework\android\src\main\java\com\tencent\mtt\hippy\HippyEngineManagerImpl.java,com.tencent.mtt.hippy.HippyEngineManagerImpl$Anonymous3,"callback/2[java.lang.Boolean,java.lang.Throwable]",false,624,3,4,0,4,7,3,19,1,1,2,3,0,0,0,4,0,0,2,0,2,2,1,0,0,0,15,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Hippy\renderer\native\android\src\main\java\com\tencent\renderer\NativeRenderer.java,com.tencent.renderer.NativeRenderer,getFontAdapter/0,false,232,3,1,0,1,2,1,3,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,7,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Hippy\renderer\native\android\src\main\java\com\tencent\renderer\NativeRenderer.java,com.tencent.renderer.NativeRenderer,"updateNode/2[int,java.util.List<java.lang.Object>]",false,582,7,8,0,8,7,16,31,0,8,2,16,3,1,1,2,0,0,7,2,8,3,2,0,0,2,32,1,0,false
