file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\java\proto\src\main\java\io\kubernetes\client\proto\V1.java,io.kubernetes.client.proto.V1$ExecAction$Builder,innerclass,16,16,0,16,52,1,0,35,418,0.7878788,0.0,0.0,33,1,27,5,1,0,28,0,4,0,2,0,0,2,0,0,0,0,2,201,30,1,8,1,8,0,13,21,0,8,4,0,0,0,127,25,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\java\kubernetes\src\main\java\io\kubernetes\client\openapi\models\V1Endpoint.java,io.kubernetes.client.openapi.models.V1Endpoint,class,11,20,9,11,64,1,0,29,337,0.9117647,0.0,0.0,34,2,33,1,0,0,34,0,0,0,18,10,10,8,0,0,8,0,19,231,27,2,15,0,3,72,0,33,0,21,2,0,1,0,202,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\java\proto\src\main\java\io\kubernetes\client\proto\V1beta1Apiextensions.java,io.kubernetes.client.proto.V1beta1Apiextensions$JSONSchemaPropsOrArray,innerclass,17,17,0,17,64,2,0,28,690,0.92499995,0.0,0.0,40,17,35,2,3,0,39,0,3,0,9,5,3,6,0,0,5,0,5,664,47,2,12,0,13,2,30,27,12,16,2,1,1,0,116,25,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\java\kubernetes\src\main\java\io\kubernetes\client\openapi\models\V1CinderVolumeSource.java,io.kubernetes.client.openapi.models.V1CinderVolumeSource$CustomTypeAdapterFactory$Anonymous1,anonymous,4,4,0,4,2,1,0,6,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,11,1,0,0,0,0,0,0,2,0,2,0,0,0,0,19,-1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\java\extended\src\main\java\io\kubernetes\client\extended\workqueue\DefaultDelayingQueue.java,io.kubernetes.client.extended.workqueue.DefaultDelayingQueue,class,5,8,3,5,18,2,0,20,9,0.6571428,0.0,0.0,7,1,3,3,1,0,4,0,0,0,5,1,1,3,1,0,0,0,4,98,5,1,3,1,3,0,6,14,6,11,4,0,1,0,46,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\java\fluent\src\main\java\io\kubernetes\client\openapi\models\V1SelfSubjectReviewStatusFluent.java,io.kubernetes.client.openapi.models.V1SelfSubjectReviewStatusFluent$UserInfoNested,innerclass,6,6,0,6,3,2,0,3,1,0.33333334,0.0,0.0,3,0,2,0,0,1,3,0,0,0,1,0,0,0,0,1,0,0,0,12,2,0,0,0,0,0,0,1,0,1,0,0,0,0,10,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\java\proto\src\main\java\io\kubernetes\client\proto\V2alpha1Batch.java,io.kubernetes.client.proto.V2alpha1Batch$CronJobList,innerclass,19,19,0,19,76,2,0,39,690,0.92499995,0.0,0.0,40,17,35,3,2,0,38,0,3,0,9,5,3,6,0,0,5,0,6,677,42,3,17,1,20,0,42,47,12,22,4,1,1,0,141,25,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\java\fluent\src\main\java\io\kubernetes\client\openapi\models\V1StatefulSetOrdinalsFluent.java,io.kubernetes.client.openapi.models.V1StatefulSetOrdinalsFluent,class,4,8,4,4,18,2,0,11,0,0.22222222,0.0,0.0,9,0,8,0,1,0,9,0,0,0,1,0,0,1,0,0,0,0,2,45,10,0,7,0,1,4,0,4,0,3,1,0,0,0,30,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\java\proto\src\main\java\io\kubernetes\client\proto\V1alpha1Admission.java,io.kubernetes.client.proto.V1alpha1Admission$AdmissionReviewSpec$Anonymous2,anonymous,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\java\proto\src\main\java\io\kubernetes\client\proto\V2beta1Autoscaling.java,io.kubernetes.client.proto.V2beta1Autoscaling$ContainerResourceMetricSource$Anonymous1,anonymous,4,4,0,4,4,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,1,0,0,0,1,0,1,1,0,0,0,13,-1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\java\fluent\src\main\java\io\kubernetes\client\openapi\models\V1ForZoneFluent.java,io.kubernetes.client.openapi.models.V1ForZoneFluent,class,4,8,4,4,18,2,0,10,0,0.22222222,0.0,0.0,9,0,8,0,1,0,9,0,0,0,1,0,0,1,0,0,0,0,2,45,10,0,7,0,1,4,0,4,0,3,1,0,0,0,28,1,0
