file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\JimuReport\jimureport-example\src\main\java\com\jeecg\modules\JimuReportApplication.java,com.jeecg.modules.JimuReportApplication,main/1[java.lang.String[]],false,17,3,0,0,0,2,5,7,0,4,1,5,0,0,0,0,0,0,9,0,4,2,0,0,0,0,17,9,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\JimuReport\jimureport-example\src\main\java\com\jeecg\modules\jmreport\config\CustomCorsConfiguration.java,com.jeecg.modules.jmreport.config.CustomCorsConfiguration,addCorsMappings/1[com.jeecg.modules.jmreport.config.CorsRegistry],false,10,1,0,0,0,1,6,3,0,0,1,6,0,0,0,0,0,0,8,0,0,0,0,0,0,0,6,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\JimuReport\jimureport-example\src\main\java\com\jeecg\modules\jmreport\controller\TestController.java,com.jeecg.modules.jmreport.controller.TestController,getList/1[com.jeecg.modules.jmreport.controller.HttpServletRequest],false,39,2,0,0,0,1,0,4,1,1,1,0,0,0,0,0,0,0,15,0,1,1,0,0,0,0,10,1,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\JimuReport\jimureport-example\src\main\java\com\jeecg\modules\jmreport\controller\TestController.java,com.jeecg.modules.jmreport.controller.TestController,queryPageList/1[com.jeecg.modules.jmreport.controller.HttpServletRequest],false,22,2,0,0,0,1,3,4,0,0,1,3,0,0,0,0,0,0,3,0,0,2,0,0,0,0,9,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\JimuReport\jimureport-example\src\main\java\com\jeecg\modules\jmreport\controller\TestController.java,com.jeecg.modules.jmreport.controller.TestController,getOne/1[com.jeecg.modules.jmreport.controller.HttpServletRequest],false,28,2,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\JimuReport\jimureport-example\src\main\java\com\jeecg\modules\jmreport\config\JimuReportTokenService.java,com.jeecg.modules.jmreport.config.JimuReportTokenService,getRoles/1[java.lang.String],false,66,0,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\JimuReport\jimureport-example\src\main\java\com\jeecg\modules\jmreport\config\JimuReportTokenService.java,com.jeecg.modules.jmreport.config.JimuReportTokenService,getToken/1[com.jeecg.modules.jmreport.config.HttpServletRequest],false,22,1,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\JimuReport\jimureport-example\src\main\java\com\jeecg\modules\jmreport\config\JimuReportTokenService.java,com.jeecg.modules.jmreport.config.JimuReportTokenService,customApiHeader/0,false,87,1,0,0,0,1,1,6,1,1,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0,9,1,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\JimuReport\jimureport-example\src\main\java\com\jeecg\modules\jmreport\config\JimuReportTokenService.java,com.jeecg.modules.jmreport.config.JimuReportTokenService,getTenantId/0,false,34,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\JimuReport\jimureport-example\src\main\java\com\jeecg\modules\jmreport\config\JimuReportTokenService.java,com.jeecg.modules.jmreport.config.JimuReportTokenService,getUsername/1[java.lang.String],false,54,0,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\JimuReport\jimureport-example\src\main\java\com\jeecg\modules\jmreport\config\JimuReportTokenService.java,com.jeecg.modules.jmreport.config.JimuReportTokenService,verifyToken/1[java.lang.String],false,76,0,0,0,0,1,1,4,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,true
