file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Paper\paper-api-generator\src\main\java\io\papermc\generator\types\SourceGenerator.java,io.papermc.generator.types.SourceGenerator,interface,0,3,3,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Paper\paper-api-generator\generated\io\papermc\paper\registry\keys\StructureTypeKeys.java,io.papermc.paper.registry.keys.StructureTypeKeys,class,7,8,1,7,2,1,0,3,1,1.0,-1.0,-1.0,2,1,0,2,0,0,0,0,0,0,16,16,16,0,0,0,16,0,16,23,1,0,0,0,0,19,0,16,0,16,0,0,0,0,75,17,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Paper\Paper-MojangAPI\src\main\java\io\papermc\paper\brigadier\PaperBrigadierProvider.java,io.papermc.paper.brigadier.PaperBrigadierProvider,interface,5,8,3,5,5,1,0,1,6,0.0,0.0,0.0,4,2,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,1,16,1,0,1,0,0,2,0,1,0,0,1,0,1,0,24,0,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Paper\paper-api-generator\generated\io\papermc\paper\registry\keys\GameEventKeys.java,io.papermc.paper.registry.keys.GameEventKeys,class,7,8,1,7,2,1,0,3,1,1.0,NaN,NaN,2,1,1,1,0,0,1,0,0,0,60,60,60,0,0,0,60,0,60,67,1,0,0,0,0,63,0,60,0,60,0,0,0,0,96,17,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Paper\paper-api-generator\src\main\java\io\papermc\generator\types\goal\MobGoalNames.java,io.papermc.generator.types.goal.MobGoalNames,class,121,123,2,121,21,1,0,32,8,0.75,0.0,0.0,5,5,5,0,0,0,7,0,0,0,4,4,0,3,0,1,4,0,4,186,8,3,1,0,0,28,4,22,5,13,4,0,0,1,43,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Paper\paper-api-generator\src\main\java\io\papermc\generator\types\goal\MobGoalGenerator.java,io.papermc.generator.types.goal.MobGoalGenerator,class,58,59,1,58,9,2,0,49,10,0.8,0.0,0.0,5,0,1,0,2,2,5,0,0,0,2,2,0,2,0,0,2,0,8,50,2,2,3,1,0,180,0,21,0,27,2,0,0,6,57,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Paper\paper-api-generator\generated\com\destroystokyo\paper\entity\ai\VanillaGoal.java,com.destroystokyo.paper.entity.ai.VanillaGoal,interface,58,59,1,58,1,1,0,3,0,1.0,-1.0,-1.0,1,1,0,1,0,0,0,0,0,0,269,0,0,0,0,269,0,0,269,274,1,0,0,0,0,358,0,269,0,269,0,0,0,0,79,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Paper\paper-api-generator\src\main\java\io\papermc\generator\utils\Javadocs.java,io.papermc.generator.utils.Javadocs,class,0,2,2,0,3,1,0,1,3,0.0,0.0,0.0,3,2,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,17,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Paper\paper-api-generator\generated\io\papermc\paper\registry\keys\StructureKeys.java,io.papermc.paper.registry.keys.StructureKeys,class,8,9,1,8,2,1,0,3,1,1.0,NaN,NaN,2,1,1,1,0,0,1,0,0,0,34,34,34,0,0,0,34,0,34,41,1,0,0,0,0,38,0,34,0,34,0,0,0,0,78,17,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Paper\paper-api-generator\generated\io\papermc\paper\registry\keys\TrimMaterialKeys.java,io.papermc.paper.registry.keys.TrimMaterialKeys,class,7,8,1,7,2,1,0,3,1,1.0,NaN,NaN,2,1,1,1,0,0,1,0,0,0,10,10,10,0,0,0,10,0,10,17,1,0,0,0,0,13,0,10,0,10,0,0,0,0,74,17,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Paper\Paper-MojangAPI\src\main\java\io\papermc\paper\brigadier\PaperBrigadier.java,io.papermc.paper.brigadier.PaperBrigadier,class,5,5,0,5,3,1,0,3,3,0.0,0.0,0.0,3,2,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,11,2,0,0,0,0,1,0,0,0,0,0,0,0,0,55,17,0
