file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Paper\paper-api-generator\src\main\java\io\papermc\generator\types\SourceGenerator.java,io.papermc.generator.types.SourceGenerator,writeToFile/1[java.nio.file.Path],false,8,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Paper\paper-api-generator\generated\io\papermc\paper\registry\keys\StructureTypeKeys.java,io.papermc.paper.registry.keys.StructureTypeKeys,StructureTypeKeys/0,true,141,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Paper\paper-api-generator\generated\io\papermc\paper\registry\keys\StructureTypeKeys.java,io.papermc.paper.registry.keys.StructureTypeKeys,create/1[io.papermc.paper.registry.keys.Key],false,144,4,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Paper\Paper-MojangAPI\src\main\java\io\papermc\paper\brigadier\PaperBrigadierProvider.java,io.papermc.paper.brigadier.PaperBrigadierProvider,message/1[io.papermc.paper.brigadier.ComponentLike],false,27,3,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Paper\Paper-MojangAPI\src\main\java\io\papermc\paper\brigadier\PaperBrigadierProvider.java,io.papermc.paper.brigadier.PaperBrigadierProvider,componentFromMessage/1[io.papermc.paper.brigadier.Message],false,29,3,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Paper\Paper-MojangAPI\src\main\java\io\papermc\paper\brigadier\PaperBrigadierProvider.java,io.papermc.paper.brigadier.PaperBrigadierProvider,instance/0,false,16,2,2,2,0,1,1,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,8,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Paper\Paper-MojangAPI\src\main\java\io\papermc\paper\brigadier\PaperBrigadierProvider.java,io.papermc.paper.brigadier.PaperBrigadierProvider,initialize/1[io.papermc.paper.brigadier.PaperBrigadierProvider],false,20,2,0,0,0,2,0,6,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,13,8,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Paper\paper-api-generator\generated\io\papermc\paper\registry\keys\GameEventKeys.java,io.papermc.paper.registry.keys.GameEventKeys,create/1[io.papermc.paper.registry.keys.Key],false,459,5,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Paper\paper-api-generator\generated\io\papermc\paper\registry\keys\GameEventKeys.java,io.papermc.paper.registry.keys.GameEventKeys,GameEventKeys/0,true,449,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Paper\paper-api-generator\src\main\java\io\papermc\generator\types\goal\MobGoalNames.java,io.papermc.generator.types.goal.MobGoalNames,(initializer 2),false,241,0,0,0,0,1,2,8,0,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,8,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Paper\paper-api-generator\src\main\java\io\papermc\generator\types\goal\MobGoalNames.java,io.papermc.generator.types.goal.MobGoalNames,isIgnored/1[java.lang.String],false,290,0,1,1,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Paper\paper-api-generator\src\main\java\io\papermc\generator\types\goal\MobGoalNames.java,io.papermc.generator.types.goal.MobGoalNames,"getKey/2[java.lang.String,java.lang.Class<? extends io.papermc.generator.types.goal.Goal>]",false,295,4,4,1,3,2,5,7,2,1,2,5,3,1,0,0,0,0,0,0,1,0,1,0,0,0,11,9,0,false
