file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Sa-Token\sa-token-demo\sa-token-demo-case\src\main\java\com\pj\cases\up\MutexLoginController.java,com.pj.cases.up.MutexLoginController,"login/2[long,java.lang.String]",false,51,3,2,0,2,1,2,4,1,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Sa-Token\sa-token-demo\sa-token-demo-case\src\main\java\com\pj\cases\up\MutexLoginController.java,com.pj.cases.up.MutexLoginController,isLogin/0,false,62,3,3,0,3,1,3,4,1,1,0,3,0,0,0,0,0,0,3,0,1,1,0,0,0,0,4,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Sa-Token\sa-token-plugin\sa-token-grpc\src\main\java\cn\dev33\satoken\context\grpc\model\SaRequestForGrpc.java,cn.dev33.satoken.context.grpc.model.SaRequestForGrpc,getParamMap/0,false,63,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Sa-Token\sa-token-plugin\sa-token-grpc\src\main\java\cn\dev33\satoken\context\grpc\model\SaRequestForGrpc.java,cn.dev33.satoken.context.grpc.model.SaRequestForGrpc,getParam/1[java.lang.String],false,44,0,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Sa-Token\sa-token-plugin\sa-token-grpc\src\main\java\cn\dev33\satoken\context\grpc\model\SaRequestForGrpc.java,cn.dev33.satoken.context.grpc.model.SaRequestForGrpc,getSource/0,false,36,1,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Sa-Token\sa-token-plugin\sa-token-grpc\src\main\java\cn\dev33\satoken\context\grpc\model\SaRequestForGrpc.java,cn.dev33.satoken.context.grpc.model.SaRequestForGrpc,getHeader/1[java.lang.String],false,71,0,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Sa-Token\sa-token-plugin\sa-token-grpc\src\main\java\cn\dev33\satoken\context\grpc\model\SaRequestForGrpc.java,cn.dev33.satoken.context.grpc.model.SaRequestForGrpc,getParamNames/0,false,54,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Sa-Token\sa-token-plugin\sa-token-grpc\src\main\java\cn\dev33\satoken\context\grpc\model\SaRequestForGrpc.java,cn.dev33.satoken.context.grpc.model.SaRequestForGrpc,getMethod/0,false,108,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Sa-Token\sa-token-plugin\sa-token-grpc\src\main\java\cn\dev33\satoken\context\grpc\model\SaRequestForGrpc.java,cn.dev33.satoken.context.grpc.model.SaRequestForGrpc,getCookieValue/1[java.lang.String],false,80,0,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Sa-Token\sa-token-plugin\sa-token-grpc\src\main\java\cn\dev33\satoken\context\grpc\model\SaRequestForGrpc.java,cn.dev33.satoken.context.grpc.model.SaRequestForGrpc,getRequestPath/0,false,89,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,true
