file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Signal-Server\service\src\main\java\org\whispersystems\textsecuregcm\util\InstantAdapter.java,org.whispersystems.textsecuregcm.util.InstantAdapter$EpochSecondSerializer,innerclass,3,3,0,3,1,2,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Signal-Server\service\src\main\java\org\whispersystems\textsecuregcm\WhisperServerService.java,org.whispersystems.textsecuregcm.WhisperServerService,class,211,213,2,211,15,2,0,268,15,0.8333333,0.0,0.0,6,1,4,2,0,0,4,0,0,0,3,3,2,1,0,0,3,0,44,348,7,2,2,1,0,78,44,173,0,177,3,2,0,9,427,1,8
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Signal-Server\websocket-resources\src\main\java\org\whispersystems\websocket\configuration\WebSocketConfiguration.java,org.whispersystems.websocket.configuration.WebSocketConfiguration,class,6,11,5,6,3,1,0,0,3,0.6666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,14,3,0,0,0,0,0,14,3,6,3,0,0,0,0,16,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Signal-Server\service\src\test\java\org\whispersystems\textsecuregcm\BufferingInterceptorIntegrationTest.java,org.whispersystems.textsecuregcm.BufferingInterceptorIntegrationTest$TestApplication,innerclass,6,6,0,6,1,2,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,1,0,1,0,0,0,0,16,9,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Signal-Server\service\src\test\java\org\whispersystems\textsecuregcm\controllers\PaymentsControllerTest.java,org.whispersystems.textsecuregcm.controllers.PaymentsControllerTest,class,15,15,0,15,5,1,0,32,0,0.6,0.0,0.0,5,0,0,0,0,5,5,0,0,0,4,3,0,4,0,0,4,0,5,29,0,0,0,0,0,24,4,8,0,8,0,0,0,0,44,0,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Signal-Server\service\src\test\java\org\whispersystems\textsecuregcm\metrics\MessageMetricsTest.java,org.whispersystems.textsecuregcm.metrics.MessageMetricsTest,class,15,16,1,15,9,1,0,33,9,0.5714286,0.0,0.0,7,0,0,3,0,4,4,0,0,0,5,0,0,5,0,0,4,0,4,67,3,0,1,0,0,3,10,21,0,18,1,0,0,2,49,0,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Signal-Server\service\src\main\java\org\whispersystems\textsecuregcm\gcp\CanonicalRequestSigner.java,org.whispersystems.textsecuregcm.gcp.CanonicalRequestSigner,class,4,6,2,4,11,1,0,28,9,0.6666666,0.0,0.0,6,2,2,4,0,0,2,0,0,0,2,1,0,2,0,0,2,0,10,64,4,0,0,4,0,7,1,11,0,11,2,0,0,0,61,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Signal-Server\service\src\main\java\org\whispersystems\textsecuregcm\util\NonNormalizedPhoneNumberException.java,org.whispersystems.textsecuregcm.util.NonNormalizedPhoneNumberException,class,0,0,0,0,3,3,0,0,0,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,2,0,0,14,2,0,0,0,0,0,0,2,0,2,0,0,0,0,9,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Signal-Server\api-doc\src\main\java\org\signal\openapi\OpenApiReader.java,org.signal.openapi.OpenApiReader,class,6,6,0,6,3,2,0,10,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,2,13,1,0,2,0,0,1,0,2,0,2,1,0,0,0,90,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Signal-Server\service\src\main\java\org\whispersystems\textsecuregcm\controllers\DeviceController.java,org.whispersystems.textsecuregcm.controllers.DeviceController,class,46,48,2,46,36,1,0,81,29,0.75757575,0.0,0.0,11,1,7,2,0,2,9,0,0,0,9,3,0,7,0,2,9,0,23,160,15,1,9,5,2,35,13,35,3,38,1,0,0,6,162,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Signal-Server\websocket-resources\src\test\java\org\whispersystems\websocket\WebSocketResourceProviderTest.java,org.whispersystems.websocket.WebSocketResourceProviderTest$Anonymous1,anonymous,1,1,0,1,3,1,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,1,1,0,0,0,0,0,0,0,6,-1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Signal-Server\service\src\test\java\org\whispersystems\textsecuregcm\auth\BasicAuthorizationHeaderTest.java,org.whispersystems.textsecuregcm.auth.BasicAuthorizationHeaderTest,class,5,5,0,5,3,1,0,10,3,0.0,0.0,0.0,3,1,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,9,22,1,0,0,0,0,28,1,2,8,2,1,0,0,1,17,0,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Signal-Server\service\src\main\java\org\whispersystems\textsecuregcm\util\ByteArrayBase64UrlAdapter.java,org.whispersystems.textsecuregcm.util.ByteArrayBase64UrlAdapter,class,2,2,0,2,0,3,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Signal-Server\service\src\main\java\org\whispersystems\textsecuregcm\entities\StickerPackFormUploadAttributes.java,org.whispersystems.textsecuregcm.entities.StickerPackFormUploadAttributes,class,2,3,1,2,5,1,0,0,4,0.6,0.0,0.0,5,0,5,0,0,0,5,0,0,0,3,0,0,3,0,0,0,0,0,67,3,0,0,0,0,0,0,3,0,3,0,0,1,0,13,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Signal-Server\service\src\test\java\org\whispersystems\textsecuregcm\grpc\ExternalServiceCredentialsGrpcServiceTest.java,org.whispersystems.textsecuregcm.grpc.ExternalServiceCredentialsGrpcServiceTest,class,17,17,0,17,9,2,0,41,18,0.6666667,0.0,0.0,8,1,6,0,1,1,8,0,0,0,3,2,0,3,0,0,2,0,9,36,2,0,1,0,0,3,7,6,0,8,0,0,0,5,93,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Signal-Server\service\src\main\java\org\whispersystems\textsecuregcm\subscriptions\BankTransferType.java,org.whispersystems.textsecuregcm.subscriptions.BankTransferType,enum,0,1,1,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Signal-Server\service\src\test\java\org\whispersystems\textsecuregcm\captcha\CaptchaCheckerTest.java,org.whispersystems.textsecuregcm.captcha.CaptchaCheckerTest,class,10,11,1,10,9,1,0,24,2,0.6481481,0.0,0.0,9,4,3,1,0,5,8,0,0,0,6,6,0,6,0,0,6,0,30,55,4,0,0,0,0,33,9,16,2,16,0,0,0,1,58,1,0
