file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\springcloud-learning\eureka-client\src\test\java\com\macro\cloud\EurekaClientApplicationTests.java,com.macro.cloud.EurekaClientApplicationTests,class,4,4,0,4,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\springcloud-learning\zuul-proxy\src\test\java\com\macro\cloud\ZuulProxyApplicationTests.java,com.macro.cloud.ZuulProxyApplicationTests,class,4,4,0,4,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\springcloud-learning\sentinel-service\src\main\java\com\macro\cloud\controller\RateLimitController.java,RateLimitController,class,6,6,0,6,4,1,0,2,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0,13,4,0,0,0,0,0,0,0,18,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\springcloud-learning\nacos-loadbalancer-service\src\main\java\com\macro\cloud\config\LoadBalancerConfig.java,com.macro.cloud.config.LoadBalancerConfig$Anonymous1,anonymous,4,4,0,4,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,1,0,0,8,-1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\springcloud-learning\oauth2-jwt-server\src\main\java\com\macro\cloud\Oauth2JwtServerApplication.java,com.macro.cloud.Oauth2JwtServerApplication,class,2,3,1,2,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\springcloud-learning\consul-config-client\src\test\java\com\macro\cloud\ConsulConfigClientApplicationTests.java,com.macro.cloud.ConsulConfigClientApplicationTests,class,4,4,0,4,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\springcloud-learning\admin-client\src\main\java\com\macro\cloud\controller\UserController.java,com.macro.cloud.controller.UserController,class,12,13,1,12,6,1,0,10,0,0.33333334,0.0,0.0,6,0,6,0,0,0,6,0,0,0,2,0,0,2,0,0,0,0,0,30,6,0,0,0,0,12,3,4,0,5,0,0,0,0,28,1,2
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\springcloud-learning\oauth2-client\src\main\java\com\macro\cloud\controller\IndexController.java,com.macro.cloud.controller.IndexController,class,5,5,0,5,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,6,1,0,0,0,0,1,0,0,0,1,0,0,0,0,12,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\springcloud-learning\config-client\src\main\java\com\macro\cloud\controller\ConfigClientController.java,com.macro.cloud.controller.ConfigClientController,class,4,4,0,4,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,6,1,0,0,0,0,2,0,0,0,1,0,0,0,0,10,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\springcloud-learning\consul-ribbon-service\src\main\java\com\macro\cloud\ConsulRibbonServiceApplication.java,com.macro.cloud.ConsulRibbonServiceApplication,class,3,4,1,3,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\springcloud-learning\config-security-server\src\test\java\com\macro\cloud\ConfigSecurityServerApplicationTests.java,com.macro.cloud.ConfigSecurityServerApplicationTests,class,4,4,0,4,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\springcloud-learning\zuul-proxy\src\main\java\com\macro\cloud\ZuulProxyApplication.java,com.macro.cloud.ZuulProxyApplication,class,4,5,1,4,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
