file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\model\ApplicationProperties.java,stirling.software.SPDF.model.ApplicationProperties$System,innerclass,0,0,0,0,13,1,0,0,42,0.7692308,0.0,0.0,13,0,13,0,0,0,13,0,0,0,6,0,0,6,0,0,0,0,0,47,7,0,0,0,0,7,0,6,1,6,0,0,0,0,29,9,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\repository\AuthorityRepository.java,stirling.software.SPDF.repository.AuthorityRepository,interface,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\controller\api\security\CertSignController.java,stirling.software.SPDF.controller.api.security.CertSignController$CreateSignature,innerclass,2,2,0,2,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\model\api\GeneralFile.java,stirling.software.SPDF.model.api.GeneralFile,class,5,8,3,5,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,7,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\model\api\misc\AddStampRequest.java,stirling.software.SPDF.model.api.misc.AddStampRequest,class,5,6,1,5,0,3,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,12,0,0,12,0,0,0,0,0,14,0,0,0,0,0,35,4,7,0,12,0,0,0,0,58,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\model\api\SplitPdfBySectionsRequest.java,stirling.software.SPDF.model.api.SplitPdfBySectionsRequest,class,5,6,1,5,0,2,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,3,0,0,0,0,26,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\controller\api\converters\ConvertBookToPDFController.java,stirling.software.SPDF.controller.api.converters.ConvertBookToPDFController,class,15,15,0,15,10,1,0,9,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,2,22,1,0,2,0,0,20,0,5,1,6,2,0,0,0,61,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\controller\api\misc\FakeScanControllerWIP.java,stirling.software.SPDF.controller.api.misc.FakeScanControllerWIP,class,21,22,1,21,6,1,0,28,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,7,56,1,4,0,0,3,16,28,34,18,32,3,0,0,0,94,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\model\User.java,stirling.software.SPDF.model.User,class,13,22,9,13,21,1,0,8,156,0.89444447,0.0,0.0,20,0,20,0,0,0,20,0,0,0,9,0,0,9,0,0,0,0,2,71,10,0,1,0,0,14,0,11,0,9,0,0,0,0,37,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\controller\api\pipeline\PipelineProcessor.java,stirling.software.SPDF.controller.api.pipeline.PipelineProcessor$Anonymous1,anonymous,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
