file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\model\ApplicationProperties.java,stirling.software.SPDF.model.ApplicationProperties$System,getEnableAlphaFunctionality/0,false,216,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\model\ApplicationProperties.java,stirling.software.SPDF.model.ApplicationProperties$System,getDefaultLocale/0,false,224,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\model\ApplicationProperties.java,stirling.software.SPDF.model.ApplicationProperties$System,setCustomStaticFilePath/1[java.lang.String],false,252,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\model\ApplicationProperties.java,stirling.software.SPDF.model.ApplicationProperties$System,setEnableAlphaFunctionality/1[java.lang.Boolean],false,220,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\model\ApplicationProperties.java,stirling.software.SPDF.model.ApplicationProperties$System,setDefaultLocale/1[java.lang.String],false,228,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\model\ApplicationProperties.java,stirling.software.SPDF.model.ApplicationProperties$System,setRootURIPath/1[java.lang.String],false,244,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\model\ApplicationProperties.java,stirling.software.SPDF.model.ApplicationProperties$System,getMaxFileSize/0,false,256,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\model\ApplicationProperties.java,stirling.software.SPDF.model.ApplicationProperties$System,setGooglevisibility/1[java.lang.Boolean],false,236,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\model\ApplicationProperties.java,stirling.software.SPDF.model.ApplicationProperties$System,getRootURIPath/0,false,240,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Stirling-PDF\src\main\java\stirling\software\SPDF\model\ApplicationProperties.java,stirling.software.SPDF.model.ApplicationProperties$System,setMaxFileSize/1[java.lang.Integer],false,260,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
