file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\TV\forcetech\src\main\java\com\forcetech\service\P2PService.java,com.forcetech.service.P2PService,class,1,2,1,1,1,3,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\TV\app\src\leanback\java\com\fongmi\android\tv\ui\adapter\KeyboardAdapter.java,com.fongmi.android.tv.ui.adapter.KeyboardAdapter$OnClickListener,interface,0,0,0,0,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\TV\app\src\main\java\com\fongmi\android\tv\utils\IDMUtil.java,com.fongmi.android.tv.utils.IDMUtil$AppState,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\TV\ijkplayer\src\main\java\tv\danmaku\ijk\media\player\IjkMediaPlayer.java,tv.danmaku.ijk.media.player.IjkMediaPlayer,class,25,28,3,25,159,3,0,86,6270,0.9923824,0.0,0.0,113,12,75,37,1,0,76,0,0,0,79,62,49,30,0,0,61,0,10,598,48,3,19,2,3,18,101,100,2,101,2,1,5,0,497,17,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\TV\app\src\mobile\java\com\fongmi\android\tv\utils\PiP.java,com.fongmi.android.tv.utils.PiP,class,14,15,1,14,22,1,0,22,9,0.42857143,0.0,0.0,7,1,5,2,0,0,5,0,0,0,1,0,0,1,0,0,0,0,7,54,8,0,0,3,0,1,4,3,0,3,2,0,0,0,27,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\TV\app\src\mobile\java\com\fongmi\android\tv\Product.java,Product,class,0,0,0,0,12,1,0,13,28,0.0,0.0,0.0,8,8,7,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,34,8,0,0,0,3,0,12,8,11,6,1,0,0,0,17,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\TV\app\src\leanback\java\com\fongmi\android\tv\ui\dialog\SiteDialog.java,com.fongmi.android.tv.ui.dialog.SiteDialog,class,16,22,6,16,32,1,0,52,58,0.7647059,0.0,0.0,17,1,6,11,0,0,6,0,0,0,6,0,0,6,0,0,4,0,9,91,8,0,5,0,3,0,25,9,6,11,1,0,0,5,46,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\TV\catvod\src\main\java\com\github\catvod\utils\Path.java,com.github.catvod.utils.Path,class,5,39,34,5,53,1,0,46,595,0.9714286,0.0,0.0,35,35,34,1,0,0,34,0,0,0,1,1,0,1,0,0,1,0,46,166,37,2,3,7,1,20,3,9,11,9,2,0,0,0,50,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\TV\hook\src\main\java\com\fongmi\hook\PackageManager.java,com.fongmi.hook.PackageManager,class,27,30,3,27,94,2,1,2,4371,0.0,0.0,0.0,94,0,94,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,271,81,0,0,0,0,0,12,0,0,0,0,0,0,0,133,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\TV\app\src\mobile\java\com\fongmi\android\tv\ui\adapter\WordAdapter.java,ViewHolder,innerclass,3,21,10,11,1,1,0,1,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7,8,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\TV\app\src\leanback\java\com\fongmi\android\tv\ui\activity\SettingActivity.java,com.fongmi.android.tv.ui.activity.SettingActivity,class,43,51,8,43,54,3,0,96,759,0.8372094,0.0,0.0,43,1,7,32,4,0,11,0,0,0,3,0,0,3,0,0,0,0,77,270,10,1,2,0,1,2,21,13,3,13,1,6,0,4,65,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\TV\app\src\main\java\com\fongmi\android\tv\bean\Device.java,com.fongmi.android.tv.bean.Device,class,14,28,14,14,31,1,0,27,221,0.9090909,0.0,0.0,22,4,22,0,0,0,22,0,0,0,5,0,0,5,0,0,0,0,10,82,18,0,4,0,1,10,3,7,0,7,1,0,0,0,42,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\TV\app\src\leanback\java\com\fongmi\android\tv\ui\presenter\FuncPresenter.java,com.fongmi.android.tv.ui.presenter.FuncPresenter,class,9,11,2,9,15,4,0,19,9,0.5,0.0,0.0,6,0,4,2,0,0,4,0,0,0,1,0,0,1,0,0,1,0,1,53,2,0,1,0,0,0,7,5,0,7,2,0,3,2,23,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\TV\app\src\main\java\com\fongmi\android\tv\utils\QRCode.java,com.fongmi.android.tv.utils.QRCode,class,7,12,5,7,6,1,0,9,1,0.5,0.0,0.0,2,2,2,0,0,0,2,0,0,0,2,2,0,2,0,0,2,0,3,29,3,2,0,1,0,1,7,11,3,10,2,0,0,0,38,1,0
