file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Telegram\TMessagesProj\src\main\java\org\telegram\tgnet\TLRPC.java,org.telegram.tgnet.TLRPC$TL_messages_chatAdminsWithInvites,innerclass,5,5,0,5,15,1,0,14,0,0.33333334,0.0,0.0,3,1,3,0,0,0,3,0,0,0,3,1,3,0,0,0,1,0,5,65,6,4,5,0,0,3,9,16,0,13,2,0,0,0,38,9,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Telegram\TMessagesProj\src\main\java\org\telegram\tgnet\TLRPC.java,org.telegram.tgnet.TLRPC$TL_updateReadHistoryOutbox,innerclass,4,4,0,4,2,2,0,4,0,0.1,0.0,0.0,2,0,2,0,0,0,2,0,0,0,5,1,5,0,0,0,1,0,1,20,0,0,0,0,0,0,1,5,0,5,0,0,0,0,25,9,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Telegram\TMessagesProj\src\main\java\org\telegram\tgnet\tl\TL_stories.java,org.telegram.tgnet.tl.TL_stories$TL_stories_deleteStories,innerclass,4,4,0,4,4,1,0,6,0,0.33333334,0.0,0.0,2,0,2,0,0,0,2,0,0,0,3,1,3,0,0,0,1,0,0,23,1,2,0,0,0,0,4,7,0,8,1,0,0,0,25,9,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Telegram\TMessagesProj\src\main\java\org\telegram\ui\Components\ChatAttachAlertContactsLayout.java,org.telegram.ui.Components.ChatAttachAlertContactsLayout$UserCell,innerclass,14,14,0,14,73,2,0,45,31,0.81818193,0.0,0.0,11,0,8,0,3,0,11,0,0,0,17,0,0,17,0,0,1,0,1,201,4,0,36,0,12,8,52,34,5,22,5,1,1,4,77,9,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Telegram\TMessagesProj\src\main\java\org\telegram\ui\ProxySettingsActivity.java,org.telegram.ui.ProxySettingsActivity$Anonymous4,anonymous,1,1,0,1,5,1,0,1,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Telegram\TMessagesProj\src\main\java\org\telegram\ui\ProxySettingsActivity.java,org.telegram.ui.ProxySettingsActivity$Anonymous2,anonymous,2,2,0,2,3,1,0,1,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,-1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Telegram\TMessagesProj\src\main\java\org\telegram\ui\Components\TextStyleSpan.java,org.telegram.ui.Components.TextStyleSpan$TextStyleRun,innerclass,4,4,0,4,27,1,0,6,0,0.6666666,0.0,0.0,6,0,6,0,0,0,6,0,0,0,5,0,5,0,0,0,0,0,0,63,5,0,12,0,9,3,9,10,0,6,1,0,0,0,40,9,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Telegram\TMessagesProj\src\main\java\org\telegram\ui\ProxySettingsActivity.java,org.telegram.ui.ProxySettingsActivity$Anonymous3,anonymous,3,3,0,3,12,1,0,15,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,43,1,1,0,0,0,3,7,10,1,9,2,0,0,0,31,-1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Telegram\TMessagesProj\src\main\java\org\telegram\tgnet\TLRPC.java,org.telegram.tgnet.TLRPC$TL_messages_saveRecentSticker,innerclass,4,4,0,4,3,1,0,4,0,0.4,0.0,0.0,2,0,2,0,0,0,2,0,0,0,5,1,5,0,0,0,1,0,1,17,1,0,0,0,2,0,3,2,0,5,0,0,0,0,25,9,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Telegram\TMessagesProj\src\main\java\com\google\android\exoplayer2\extractor\DummyTrackOutput.java,com.google.android.exoplayer2.extractor.DummyTrackOutput,class,9,13,4,9,7,1,0,3,8,0.6,0.0,0.0,5,0,5,0,0,0,5,0,0,0,1,0,0,1,0,0,1,0,1,24,2,0,1,0,0,0,2,3,0,3,2,0,0,0,36,17,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Telegram\TMessagesProj\src\main\java\org\telegram\ui\Stories\recorder\PaintView.java,org.telegram.ui.Stories.recorder.PaintView$PopupWindowLayout,innerclass,5,5,0,5,8,2,0,10,0,0.083333336,0.0,0.0,3,0,2,0,1,0,3,0,0,0,3,0,1,2,0,0,1,0,0,30,1,0,3,0,0,0,6,5,0,5,1,0,0,0,22,2,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Telegram\TMessagesProj\src\main\java\org\telegram\tgnet\TLRPC.java,org.telegram.tgnet.TLRPC$TL_inputReportReasonFake,innerclass,2,2,0,2,1,2,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,6,0,0,0,0,0,0,1,1,0,1,0,0,0,0,15,9,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Telegram\TMessagesProj\src\main\java\org\telegram\ui\Components\RadioButton.java,org.telegram.ui.Components.RadioButton,class,11,17,6,11,37,2,0,34,68,0.8269231,0.0,0.0,16,0,11,2,3,0,14,0,0,0,13,3,0,13,0,0,0,0,0,164,6,0,13,2,18,1,43,30,48,23,2,0,0,0,74,1,0
