file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Wukong_HRM\hrm\hrm-web\src\main\java\com\kakarote\hrm\service\impl\AdminFileServiceImpl.java,com.kakarote.hrm.service.impl.AdminFileServiceImpl,queryByBatchId/1[java.lang.String],false,157,3,1,0,1,2,5,7,2,1,1,5,1,2,0,0,0,0,0,0,1,0,1,0,0,0,15,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Wukong_HRM\hrm\hrm-web\src\main\java\com\kakarote\hrm\service\impl\AdminFileServiceImpl.java,com.kakarote.hrm.service.impl.AdminFileServiceImpl,getUrl/1[java.lang.Long],false,181,0,2,2,0,1,1,3,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Wukong_HRM\hrm\hrm-web\src\main\java\com\kakarote\hrm\service\impl\AdminFileServiceImpl.java,com.kakarote.hrm.service.impl.AdminFileServiceImpl,parseFileEntity/1[com.kakarote.hrm.service.impl.AdminFile],false,259,3,2,1,1,2,4,9,2,1,1,4,0,0,0,1,0,0,0,0,1,0,1,0,0,0,7,2,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Wukong_HRM\hrm\hrm-web\src\main\java\com\kakarote\hrm\service\impl\AdminFileServiceImpl.java,com.kakarote.hrm.service.impl.AdminFileServiceImpl,copyFile/1[java.lang.String],false,207,2,1,0,1,3,9,13,2,2,1,9,0,0,1,0,0,0,0,0,2,0,1,0,0,0,13,1,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Wukong_HRM\hrm\hrm-web\src\main\java\com\kakarote\hrm\service\impl\AdminFileServiceImpl.java,com.kakarote.hrm.service.impl.AdminFileServiceImpl,queryFileList/1[java.lang.String],false,148,2,0,0,0,2,8,7,2,1,1,8,0,0,0,0,0,0,0,0,1,0,1,0,0,0,9,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Wukong_HRM\hrm\hrm-web\src\main\java\com\kakarote\hrm\service\impl\AdminFileServiceImpl.java,com.kakarote.hrm.service.impl.AdminFileServiceImpl,deleteByBatchId/1[com.kakarote.hrm.service.impl.AdminDeleteByBatchIdBO],false,118,2,0,0,0,3,15,15,1,5,1,15,0,0,0,0,0,0,2,1,6,0,1,0,0,0,19,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Wukong_HRM\hrm\hrm-web\src\main\java\com\kakarote\hrm\service\impl\AdminFileServiceImpl.java,com.kakarote.hrm.service.impl.AdminFileServiceImpl,"uploadTempFile/2[com.kakarote.hrm.service.impl.MultipartFile,java.lang.String]",false,229,4,2,0,2,2,10,13,1,1,2,10,0,0,0,0,1,0,0,0,1,0,1,0,0,0,13,1,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Wukong_HRM\hrm\hrm-web\src\main\java\com\kakarote\hrm\service\impl\AdminFileServiceImpl.java,com.kakarote.hrm.service.impl.AdminFileServiceImpl,"upload/5[com.kakarote.hrm.service.impl.MultipartFile,java.lang.String,java.lang.Boolean,java.lang.String,java.lang.Boolean]",false,63,7,3,0,3,4,30,32,1,3,5,30,1,1,0,0,0,0,1,0,5,0,1,0,0,0,27,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Wukong_HRM\hrm\hrm-web\src\main\java\com\kakarote\hrm\service\impl\AdminFileServiceImpl.java,com.kakarote.hrm.service.impl.AdminFileServiceImpl,renameFile/1[com.kakarote.hrm.service.impl.RenameFileBO],false,140,1,0,0,0,1,6,3,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Wukong_HRM\hrm\hrm-web\src\main\java\com\kakarote\hrm\service\impl\AdminFileServiceImpl.java,com.kakarote.hrm.service.impl.AdminFileServiceImpl,queryById/1[java.lang.Long],false,249,3,1,0,1,1,2,4,1,1,1,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,12,1,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Wukong_HRM\hrm\hrm-web\src\main\java\com\kakarote\hrm\service\impl\AdminFileServiceImpl.java,com.kakarote.hrm.service.impl.AdminFileServiceImpl,deleteById/1[java.lang.Long],false,109,1,0,0,0,2,5,7,0,1,1,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,10,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Wukong_HRM\hrm\hrm-web\src\main\java\com\kakarote\hrm\service\impl\AdminFileServiceImpl.java,com.kakarote.hrm.service.impl.AdminFileServiceImpl,"download/2[java.lang.Long,com.kakarote.hrm.service.impl.HttpServletResponse]",false,97,3,0,0,0,2,9,10,0,4,2,9,0,0,0,0,0,0,1,0,4,0,1,0,0,0,18,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Wukong_HRM\hrm\hrm-web\src\main\java\com\kakarote\hrm\service\impl\AdminFileServiceImpl.java,com.kakarote.hrm.service.impl.AdminFileServiceImpl,deleteByBatchId/1[java.util.List<java.lang.String>],false,191,1,0,0,0,2,10,8,1,2,1,10,0,0,0,1,0,0,0,1,2,0,1,0,0,0,9,1,0,true
