file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\XXPermissions\library\src\main\java\com\hjq\permissions\PermissionDelegateImplV18.java,com.hjq.permissions.PermissionDelegateImplV18,"isDoNotAskAgainPermission/2[com.hjq.permissions.Activity,java.lang.String]",false,28,3,1,0,1,2,2,6,2,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\XXPermissions\library\src\main\java\com\hjq\permissions\PermissionDelegateImplV18.java,com.hjq.permissions.PermissionDelegateImplV18,"getPermissionIntent/2[com.hjq.permissions.Context,java.lang.String]",false,36,5,2,0,2,2,3,6,2,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\XXPermissions\library\src\main\java\com\hjq\permissions\PermissionDelegateImplV18.java,com.hjq.permissions.PermissionDelegateImplV18,"isGrantedPermission/2[com.hjq.permissions.Context,java.lang.String]",false,19,4,2,0,2,2,3,6,2,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\XXPermissions\app\src\main\java\com\hjq\permissions\demo\MainActivity.java,com.hjq.permissions.demo.MainActivity$Anonymous10$Anonymous11,"onGranted/2[java.util.List<java.lang.String>,boolean]",false,250,3,10,0,10,2,5,12,1,0,2,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,13,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\XXPermissions\app\src\main\java\com\hjq\permissions\demo\MainActivity.java,com.hjq.permissions.demo.MainActivity$Anonymous15$Anonymous16,"onGranted/2[java.util.List<java.lang.String>,boolean]",false,323,3,10,0,10,2,4,6,1,0,2,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\XXPermissions\library\src\main\java\com\hjq\permissions\PermissionDelegateImplV19.java,com.hjq.permissions.PermissionDelegateImplV19,"isDoNotAskAgainPermission/2[com.hjq.permissions.Activity,java.lang.String]",false,45,5,3,0,3,6,4,17,5,0,2,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\XXPermissions\library\src\main\java\com\hjq\permissions\PermissionDelegateImplV19.java,com.hjq.permissions.PermissionDelegateImplV19,"getPermissionIntent/2[com.hjq.permissions.Context,java.lang.String]",false,68,8,5,0,5,6,6,17,5,0,2,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\XXPermissions\library\src\main\java\com\hjq\permissions\PermissionDelegateImplV19.java,com.hjq.permissions.PermissionDelegateImplV19,"isGrantedPermission/2[com.hjq.permissions.Context,java.lang.String]",false,19,7,5,0,5,6,6,17,5,0,2,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\XXPermissions\app\src\main\java\com\hjq\permissions\demo\MainActivity.java,com.hjq.permissions.demo.MainActivity$Anonymous8,run/0,false,210,3,4,0,4,1,4,11,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\XXPermissions\app\src\main\java\com\hjq\permissions\demo\MainActivity.java,com.hjq.permissions.demo.MainActivity$Anonymous6,run/0,false,179,3,4,0,4,1,4,11,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,1,0,false
