file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\camunda-bpm-platform\engine-cdi\core\src\test\java\org\camunda\bpm\engine\cdi\test\impl\beans\SpecializedTestBean.java,org.camunda.bpm.engine.cdi.test.impl.beans.SpecializedTestBean,class,2,3,1,2,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\camunda-bpm-platform\engine-rest\engine-rest\src\main\java\org\camunda\bpm\engine\rest\dto\authorization\AuthorizationQueryDto.java,org.camunda.bpm.engine.rest.dto.authorization.AuthorizationQueryDto,class,8,9,1,8,21,3,0,13,54,0.86111116,0.0,0.0,12,0,8,0,4,0,13,0,0,0,9,3,0,3,6,0,3,0,0,73,2,0,6,0,0,8,0,9,0,9,1,0,0,0,52,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\camunda-bpm-platform\engine-rest\engine-rest\src\main\java\org\camunda\bpm\engine\rest\spi\FetchAndLockHandler.java,org.camunda.bpm.engine.rest.spi.FetchAndLockHandler,interface,4,4,0,4,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\camunda-bpm-platform\engine-rest\engine-rest\src\main\java\org\camunda\bpm\engine\rest\sub\identity\impl\UserResourceImpl.java,org.camunda.bpm.engine.rest.sub.identity.impl.UserResourceImpl,class,12,14,2,12,19,3,0,23,26,0.75,0.0,0.0,8,0,7,0,1,0,8,0,0,0,1,0,0,0,1,0,0,0,0,69,3,0,5,1,0,12,0,10,4,10,2,0,0,0,67,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\camunda-bpm-platform\engine\src\main\java\org\camunda\bpm\engine\impl\cmd\GetTableCountCmd.java,org.camunda.bpm.engine.impl.cmd.GetTableCountCmd,class,2,2,0,2,1,1,0,4,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,7,1,0,0,0,0,0,1,1,0,1,0,0,0,0,18,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\camunda-bpm-platform\engine\src\main\java\org\camunda\bpm\engine\impl\cmd\AbstractCorrelateMessageCmd.java,org.camunda.bpm.engine.impl.cmd.AbstractCorrelateMessageCmd,class,12,15,3,12,19,1,2,37,2,0.6851852,0.0,0.0,9,0,0,0,9,0,9,0,0,0,6,0,0,0,6,0,2,0,0,89,4,1,5,0,0,0,1,27,0,21,2,0,0,0,71,1025,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\camunda-bpm-platform\engine\src\test\java\org\camunda\bpm\engine\test\api\multitenancy\MultiTenancySingleProcessInstanceModificationAsyncTest.java,org.camunda.bpm.engine.test.api.multitenancy.MultiTenancySingleProcessInstanceModificationAsyncTest,class,22,23,1,22,16,1,0,58,9,0.77142864,0.0,0.0,7,0,3,0,4,0,7,0,0,0,10,2,1,0,9,0,2,0,0,88,5,5,3,0,0,11,3,25,2,25,2,0,0,0,99,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\camunda-bpm-platform\engine\src\main\java\org\camunda\bpm\engine\impl\persistence\entity\ByteArrayManager.java,org.camunda.bpm.engine.impl.persistence.entity.ByteArrayManager,class,4,10,6,4,6,2,0,9,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,40,3,0,0,0,0,19,3,4,2,4,1,0,0,0,64,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\camunda-bpm-platform\engine\src\main\java\org\camunda\bpm\engine\impl\util\ExceptionUtil.java,org.camunda.bpm.engine.impl.util.ExceptionUtil$DEADLOCK_CODES,enum,1,1,0,1,5,1,0,3,0,0.25,0.0,0.0,4,0,2,0,1,1,4,0,0,0,2,0,0,0,2,0,2,0,0,16,3,0,1,0,0,7,7,2,0,2,0,0,0,0,29,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\camunda-bpm-platform\engine\src\main\java\org\camunda\bpm\engine\impl\core\variable\scope\VariableCollectionProvider.java,org.camunda.bpm.engine.impl.core.variable.scope.VariableCollectionProvider,class,4,6,2,4,9,1,0,5,0,0.25,0.0,0.0,4,1,4,0,0,0,4,0,0,0,1,0,0,0,1,0,0,0,1,31,5,1,3,0,0,0,0,2,0,2,3,0,0,0,17,1,0
