file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\cas\support\cas-server-support-pm-core\src\main\java\org\apereo\cas\pm\impl\history\AmnesiacPasswordHistoryService.java,org.apereo.cas.pm.impl.history.AmnesiacPasswordHistoryService,class,3,5,2,3,6,2,0,0,15,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,18,4,0,0,0,0,0,2,0,0,0,0,0,0,0,21,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\cas\support\cas-server-support-ldap-core\src\main\java\org\apereo\cas\authorization\EndpointLdapAuthenticationProvider.java,org.apereo.cas.authorization.EndpointLdapAuthenticationProvider,class,22,27,5,22,16,1,0,55,2,0.6666667,0.0,0.0,9,1,3,6,0,0,3,0,0,0,4,0,0,4,0,0,4,0,7,94,11,0,0,1,0,15,3,21,0,30,3,0,0,5,105,1,12
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\cas\core\cas-server-core-services-api\src\main\java\org\apereo\cas\authentication\principal\ShibbolethCompatiblePersistentIdGenerator.java,org.apereo.cas.authentication.principal.ShibbolethCompatiblePersistentIdGenerator,class,12,21,9,12,9,1,1,26,7,0.7857143,0.0,0.0,7,1,5,0,2,0,7,0,0,0,6,4,0,6,0,0,4,0,1,61,9,0,0,0,0,10,3,15,0,15,2,0,0,3,91,1,5
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\cas\api\cas-server-core-api-configuration-model\src\main\java\org\apereo\cas\configuration\model\support\influxdb\InfluxDbProperties.java,org.apereo.cas.configuration.model.support.influxdb.InfluxDbProperties,class,5,6,1,5,0,1,1,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,6,1,0,6,0,0,1,0,0,8,0,0,0,0,0,5,1,5,0,6,0,0,0,0,29,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\cas\core\cas-server-core-authentication-api\src\main\java\org\apereo\cas\authentication\principal\resolvers\ChainingPrincipalResolver.java,org.apereo.cas.authentication.principal.resolvers.ChainingPrincipalResolver,class,17,17,0,17,8,1,0,28,0,0.5833334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,4,0,0,4,0,0,3,0,3,47,4,0,3,0,0,6,0,7,0,14,3,0,0,5,92,1,6
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\cas\core\cas-server-core-tickets-api\src\main\java\org\apereo\cas\ticket\expiration\FixedInstantExpirationPolicy.java,org.apereo.cas.ticket.expiration.FixedInstantExpirationPolicy,class,16,18,2,16,4,2,0,8,4,0.75,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,1,0,2,0,0,1,0,3,19,4,0,0,0,0,0,2,4,0,5,0,0,0,0,48,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\cas\support\cas-server-support-redis-service-registry\src\test\java\org\apereo\cas\adaptors\redis\services\RedisServerServiceRegistryTests.java,org.apereo.cas.adaptors.redis.services.RedisServerServiceRegistryTests,class,6,6,0,6,0,3,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,1,0,0,0,0,0,0,0,13,0,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\cas\support\cas-server-support-aup-core\src\main\java\org\apereo\cas\aup\AcceptableUsagePolicyRepository.java,org.apereo.cas.aup.AcceptableUsagePolicyRepository$Anonymous1,anonymous,4,4,0,4,3,1,0,4,3,1.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,1,0,1,0,0,1,0,2,13,3,0,0,0,0,0,1,2,0,2,0,0,0,0,20,-1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\cas\api\cas-server-core-api-util\src\main\java\org\apereo\cas\util\thread\Cleanable.java,org.apereo.cas.util.thread.Cleanable,interface,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\cas\core\cas-server-core-util-api\src\test\java\org\apereo\cas\util\spring\boot\CasFeatureEnabledConditionTests.java,org.apereo.cas.util.spring.boot.CasFeatureEnabledConditionTests,class,2,2,0,2,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,1,0,0,0,0,0,0,10,0,9,0,0
