file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\chatgpt-java\src\main\java\com\plexpt\chatgpt\entity\BaseResponse.java,com.plexpt.chatgpt.entity.BaseResponse,class,4,5,1,4,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,1,0,8,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\chatgpt-java\src\main\java\com\plexpt\chatgpt\Audio.java,com.plexpt.chatgpt.Audio,class,21,22,1,21,8,1,0,34,0,0.5714286,0.0,0.0,3,0,3,0,0,0,3,0,0,0,7,0,0,7,0,0,0,0,1,59,5,0,1,0,0,7,1,21,1,24,3,0,0,2,49,1,2
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\chatgpt-java\src\main\java\com\plexpt\chatgpt\util\SseHelper.java,com.plexpt.chatgpt.util.SseHelper,class,2,3,1,2,4,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,2,0,0,0,0,0,0,1,0,0,0,10,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\chatgpt-java\src\main\java\com\plexpt\chatgpt\entity\audio\Transcriptions.java,com.plexpt.chatgpt.entity.audio.Transcriptions,class,2,5,3,2,2,3,0,3,1,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,4,0,0,0,0,0,0,0,0,11,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\chatgpt-java\src\main\java\com\plexpt\chatgpt\entity\embedding\EmbeddingRequest.java,com.plexpt.chatgpt.entity.embedding.EmbeddingRequest,class,4,6,2,4,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,1,0,26,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\chatgpt-java\src\main\java\com\plexpt\chatgpt\entity\embedding\EmbeddingResult.java,com.plexpt.chatgpt.entity.embedding.EmbeddingResult,class,3,6,3,3,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,25,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\chatgpt-java\src\main\java\com\plexpt\chatgpt\entity\chat\Message.java,com.plexpt.chatgpt.entity.chat.Message,class,9,20,11,9,5,1,0,1,0,0.75,0.0,0.0,5,4,5,0,0,0,5,0,0,0,4,0,0,4,0,0,0,0,0,24,4,0,0,0,0,1,0,2,0,4,0,0,1,0,35,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\chatgpt-java\src\main\java\com\plexpt\chatgpt\entity\billing\Datum.java,com.plexpt.chatgpt.entity.billing.Datum,class,2,3,1,2,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0,6,0,0,0,0,13,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\chatgpt-java\src\main\java\com\plexpt\chatgpt\entity\BaseResponse.java,com.plexpt.chatgpt.entity.BaseResponse$Error,innerclass,1,1,0,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\chatgpt-java\src\test\java\com\plexpt\chatgpt\Test.java,Test,class,9,9,0,9,5,1,0,25,0,0.2,0.0,0.0,5,1,5,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,0,30,0,0,0,0,0,11,9,12,0,12,0,0,0,0,22,1,2
