file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\chatgpt-java\src\main\java\com\plexpt\chatgpt\Audio.java,com.plexpt.chatgpt.Audio,init/0,false,65,9,0,0,0,6,28,38,3,11,0,28,0,0,0,1,0,0,3,0,12,1,3,0,0,2,26,1,2,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\chatgpt-java\src\main\java\com\plexpt\chatgpt\Audio.java,com.plexpt.chatgpt.Audio,"transcriptions/2[java.io.File,com.plexpt.chatgpt.entity.audio.Transcriptions]",false,118,6,1,0,1,1,6,6,1,3,2,6,0,0,0,0,0,0,2,0,3,0,0,0,0,0,15,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\chatgpt-java\src\main\java\com\plexpt\chatgpt\Audio.java,com.plexpt.chatgpt.Audio,"translations/2[java.io.File,com.plexpt.chatgpt.entity.audio.Transcriptions]",false,125,6,1,0,1,1,6,6,1,3,2,6,0,0,0,0,0,0,2,0,3,0,0,0,0,0,16,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\chatgpt-java\src\main\java\com\plexpt\chatgpt\util\SseHelper.java,com.plexpt.chatgpt.util.SseHelper,complete/1[com.plexpt.chatgpt.util.SseEmitter],false,11,1,1,1,0,2,1,7,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\chatgpt-java\src\main\java\com\plexpt\chatgpt\util\SseHelper.java,com.plexpt.chatgpt.util.SseHelper,"send/2[com.plexpt.chatgpt.util.SseEmitter,java.lang.Object]",false,20,1,1,1,0,2,1,7,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\chatgpt-java\src\main\java\com\plexpt\chatgpt\entity\audio\Transcriptions.java,com.plexpt.chatgpt.entity.audio.Transcriptions,"of/2[java.lang.String,java.lang.String]",false,21,1,1,0,1,1,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\chatgpt-java\src\main\java\com\plexpt\chatgpt\entity\audio\Transcriptions.java,com.plexpt.chatgpt.entity.audio.Transcriptions,"Transcriptions/2[java.lang.String,java.lang.String]",true,16,0,1,1,0,1,3,4,0,0,2,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\chatgpt-java\src\main\java\com\plexpt\chatgpt\entity\chat\Message.java,com.plexpt.chatgpt.entity.chat.Message,of/1[java.lang.String],false,38,1,7,6,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\chatgpt-java\src\main\java\com\plexpt\chatgpt\entity\chat\Message.java,com.plexpt.chatgpt.entity.chat.Message,ofAssistant/1[java.lang.String],false,48,1,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\chatgpt-java\src\main\java\com\plexpt\chatgpt\entity\chat\Message.java,com.plexpt.chatgpt.entity.chat.Message,ofSystem/1[java.lang.String],false,43,1,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,false
