file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\dataease\sdk\api\api-base\src\main\java\io\dataease\api\license\LicenseApi.java,io.dataease.api.license.LicenseApi,interface,5,6,1,5,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,11,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\dataease\sdk\api\api-permissions\src\main\java\io\dataease\api\permissions\auth\api\InteractiveAuthApi.java,io.dataease.api.permissions.auth.api.InteractiveAuthApi,interface,16,16,0,16,10,1,0,0,45,0.0,0.0,0.0,10,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,23,9,0,0,0,0,0,0,0,38,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\dataease\sdk\api\api-permissions\src\main\java\io\dataease\api\permissions\auth\dto\BusiResourceEditor.java,io.dataease.api.permissions.auth.dto.BusiResourceEditor,class,1,2,1,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,5,1,0,5,0,0,1,0,0,7,0,0,0,0,0,0,1,1,0,5,0,0,0,0,17,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\dataease\core\core-backend\src\main\java\io\dataease\datasource\provider\ApiUtils.java,io.dataease.datasource.provider.ApiUtils$Anonymous9,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\dataease\core\core-backend\src\main\java\io\dataease\engine\utils\Utils.java,io.dataease.engine.utils.Utils,class,3,14,11,3,81,1,0,37,78,0.0,0.0,0.0,13,13,13,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,16,342,55,7,3,16,4,159,29,75,38,46,4,0,0,0,89,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\dataease\sdk\api\api-permissions\src\main\java\io\dataease\api\permissions\org\vo\OrgDetailVO.java,io.dataease.api.permissions.org.vo.OrgDetailVO,class,3,4,1,3,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,10,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\dataease\core\core-backend\src\main\java\io\dataease\datasource\provider\ApiUtils.java,io.dataease.datasource.provider.ApiUtils$Anonymous8,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\dataease\core\core-backend\src\main\java\io\dataease\datasource\provider\ApiUtils.java,io.dataease.datasource.provider.ApiUtils$Anonymous7,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\dataease\sdk\api\api-base\src\main\java\io\dataease\api\dataset\DatasetTableSqlLogApi.java,io.dataease.api.dataset.DatasetTableSqlLogApi,interface,7,8,1,7,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7,1,0,0,0,0,0,0,0,20,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\dataease\core\core-backend\src\main\java\io\dataease\datasource\provider\ApiUtils.java,io.dataease.datasource.provider.ApiUtils$Anonymous6,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\dataease\core\core-backend\src\main\java\io\dataease\share\dao\auto\entity\XpackShare.java,io.dataease.share.dao.auto.entity.XpackShare,class,1,3,2,1,19,1,0,0,117,0.8578948,0.0,0.0,19,0,19,0,0,0,19,0,0,0,10,1,0,10,0,0,1,0,0,69,10,0,0,0,0,12,1,10,2,10,0,0,0,0,36,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\dataease\sdk\api\api-base\src\main\java\io\dataease\api\visualization\dto\VisualizationLinkJumpInfoDTO.java,io.dataease.api.visualization.dto.VisualizationLinkJumpInfoDTO,class,3,6,3,3,0,2,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,5,0,0,0,0,22,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\dataease\core\core-backend\src\main\java\io\dataease\datasource\provider\ApiUtils.java,io.dataease.datasource.provider.ApiUtils$Anonymous5,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\dataease\core\core-backend\src\main\java\io\dataease\datasource\provider\ApiUtils.java,io.dataease.datasource.provider.ApiUtils$Anonymous4,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\dataease\core\core-backend\src\main\java\io\dataease\datasource\provider\ApiUtils.java,io.dataease.datasource.provider.ApiUtils$Anonymous3,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\dataease\core\core-backend\src\main\java\io\dataease\datasource\provider\ApiUtils.java,io.dataease.datasource.provider.ApiUtils$Anonymous2,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\dataease\sdk\api\api-base\src\main\java\io\dataease\api\ds\vo\TableField.java,io.dataease.api.ds.vo.TableField,class,1,13,12,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,13,0,0,12,0,1,0,0,0,15,0,0,0,0,0,0,0,1,0,13,0,0,0,0,19,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\dataease\core\core-backend\src\main\java\io\dataease\datasource\provider\ApiUtils.java,io.dataease.datasource.provider.ApiUtils$Anonymous1,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\dataease\sdk\api\api-base\src\main\java\io\dataease\api\lark\dto\LarkEnableEditor.java,io.dataease.api.lark.dto.LarkEnableEditor,class,2,4,2,2,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,1,0,0,0,0,6,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\dataease\core\core-backend\src\main\java\io\dataease\job\sechedule\ScheduleManager.java,io.dataease.job.sechedule.ScheduleManager,class,14,17,3,14,54,1,0,57,120,0.45833334,0.0,0.0,24,3,24,0,0,0,24,0,0,0,1,0,0,1,0,0,0,0,3,266,7,1,11,11,0,23,0,33,8,30,3,0,0,0,65,1,14
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\dataease\sdk\api\api-permissions\src\main\java\io\dataease\api\permissions\auth\api\AuthApi.java,io.dataease.api.permissions.auth.api.AuthApi,interface,17,17,0,17,10,1,0,0,45,0.0,0.0,0.0,10,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,25,11,0,0,0,0,0,0,0,23,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\dataease\core\core-backend\src\main\java\io\dataease\commons\constants\DataVisualizationConstants.java,io.dataease.commons.constants.DataVisualizationConstants,class,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\dataease\sdk\api\api-base\src\main\java\io\dataease\api\xpack\share\XpackShareApi.java,io.dataease.api.xpack.share.XpackShareApi,interface,15,15,0,15,9,1,0,0,36,0.0,0.0,0.0,9,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,29,0,0,0,0,0,0,0,0,33,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\dataease\sdk\common\src\main\java\io\dataease\result\ResultCode.java,io.dataease.result.ResultCode,enum,1,6,5,1,10,1,0,3,3,0.5,0.0,0.0,6,2,5,0,0,1,6,0,0,0,2,0,0,2,0,0,0,0,2,32,7,2,0,0,0,22,23,2,0,2,2,0,0,0,38,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\dataease\core\core-backend\src\main\java\io\dataease\datasource\type\Impala.java,io.dataease.datasource.type.Impala,class,3,4,1,3,2,3,0,11,0,0.75,NaN,NaN,1,0,1,0,0,0,1,0,0,0,4,0,0,4,0,0,0,0,2,14,2,0,0,0,0,17,0,4,0,4,1,0,0,0,19,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\dataease\core\core-backend\src\main\java\io\dataease\visualization\dao\auto\entity\VisualizationWatermark.java,io.dataease.visualization.dao.auto.entity.VisualizationWatermark,class,1,3,2,1,11,1,0,0,25,0.7727273,0.0,0.0,11,0,11,0,0,0,11,0,0,0,6,1,0,6,0,0,1,0,0,41,6,0,0,0,0,8,1,6,2,6,0,0,0,0,27,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\dataease\sdk\api\api-base\src\main\java\io\dataease\api\visualization\vo\VisualizationLinkageVO.java,io.dataease.api.visualization.vo.VisualizationLinkageVO,class,3,3,0,3,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,12,1,0,12,0,0,1,0,0,14,0,0,0,0,0,0,1,1,0,12,0,0,0,0,30,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\dataease\core\core-backend\src\main\java\io\dataease\datasource\provider\CalciteProvider.java,io.dataease.datasource.provider.CalciteProvider,class,34,45,11,34,156,1,1,164,295,0.9346153,0.0,0.0,26,0,13,11,2,0,15,0,0,1,10,2,1,7,2,0,2,0,38,738,29,15,14,22,1,130,22,173,19,115,5,0,0,6,172,1,2
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\dataease\sdk\api\api-base\src\main\java\io\dataease\api\template\dto\TemplateMarketDTO.java,io.dataease.api.template.dto.TemplateMarketDTO,class,6,12,6,6,7,1,1,17,0,0.5833334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,16,0,0,16,0,0,0,0,4,56,1,0,2,0,0,14,1,23,0,17,1,0,0,1,44,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\dataease\sdk\api\api-base\src\main\java\io\dataease\api\chart\dto\ChartSeniorAssistDTO.java,io.dataease.api.chart.dto.ChartSeniorAssistDTO,class,4,6,2,4,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,10,0,0,0,0,23,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\dataease\sdk\api\api-base\src\main\java\io\dataease\api\dataset\union\UnionDTO.java,io.dataease.api.dataset.union.UnionDTO,class,5,9,4,5,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,0,0,0,0,20,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\dataease\core\core-backend\src\main\java\io\dataease\dataset\utils\SqlUtils.java,io.dataease.dataset.utils.SqlUtils,class,9,12,3,9,31,1,0,23,1,0.0,NaN,NaN,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,78,1,3,17,2,0,6,13,20,4,17,4,0,0,0,54,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\dataease\core\core-backend\src\main\java\io\dataease\dataset\dao\auto\entity\CoreDatasetTable.java,io.dataease.dataset.dao.auto.entity.CoreDatasetTable,class,1,3,2,1,17,1,0,0,88,0.8431372,0.0,0.0,17,0,17,0,0,0,17,0,0,0,9,1,0,9,0,0,1,0,0,62,9,0,0,0,0,11,1,9,2,9,0,0,0,0,35,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\dataease\sdk\common\src\main\java\io\dataease\model\ITreeBase.java,io.dataease.model.ITreeBase,interface,1,4,3,1,7,1,0,0,21,0.0,0.0,0.0,7,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\dataease\sdk\common\src\main\java\io\dataease\constant\CacheConstant.java,io.dataease.constant.CacheConstant$CommonCacheConstant,innerclass,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,3,0,0,5,0,0,0,0,0,3,0,3,0,3,0,0,0,0,19,9,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\dataease\core\core-backend\src\main\java\io\dataease\menu\bo\MenuTreeNode.java,io.dataease.menu.bo.MenuTreeNode,class,3,5,2,3,0,2,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\dataease\sdk\api\api-base\src\main\java\io\dataease\api\dataset\dto\PreviewSqlDTO.java,io.dataease.api.dataset.dto.PreviewSqlDTO,class,1,5,4,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,13,1,0
