file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\datahub\metadata-jobs\pe-consumer\src\main\java\com\datahub\event\PlatformEventProcessor.java,com.datahub.event.PlatformEventProcessor,PlatformEventProcessor/0,true,36,1,0,0,0,1,3,5,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,1,1,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\datahub\metadata-jobs\pe-consumer\src\main\java\com\datahub\event\PlatformEventProcessor.java,com.datahub.event.PlatformEventProcessor,"consume/1[com.datahub.event.ConsumerRecord<java.lang.String,com.datahub.event.GenericRecord>]",false,46,5,1,0,1,4,20,32,1,4,1,20,0,0,1,0,3,0,18,0,4,4,3,0,0,0,34,1,8,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\datahub\datahub-graphql-core\src\main\java\com\linkedin\datahub\graphql\types\mlmodel\mappers\MLModelGroupMapper.java,com.linkedin.datahub.graphql.types.mlmodel.mappers.MLModelGroupMapper,"mapToMLModelGroupProperties/3[com.linkedin.datahub.graphql.types.mlmodel.mappers.QueryContext,com.linkedin.datahub.graphql.types.mlmodel.mappers.MLModelGroup,com.linkedin.datahub.graphql.types.mlmodel.mappers.DataMap]",false,138,6,1,0,1,2,4,7,0,1,3,4,0,0,0,1,0,0,0,0,1,0,1,0,0,0,13,10,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\datahub\datahub-graphql-core\src\main\java\com\linkedin\datahub\graphql\types\mlmodel\mappers\MLModelGroupMapper.java,com.linkedin.datahub.graphql.types.mlmodel.mappers.MLModelGroupMapper,"map/2[com.linkedin.datahub.graphql.types.mlmodel.mappers.QueryContext,com.linkedin.datahub.graphql.types.mlmodel.mappers.EntityResponse]",false,53,6,1,0,1,1,1,3,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\datahub\datahub-graphql-core\src\main\java\com\linkedin\datahub\graphql\types\mlmodel\mappers\MLModelGroupMapper.java,com.linkedin.datahub.graphql.types.mlmodel.mappers.MLModelGroupMapper,"mapToMLModelGroupKey/2[com.linkedin.datahub.graphql.types.mlmodel.mappers.MLModelGroup,com.linkedin.datahub.graphql.types.mlmodel.mappers.DataMap]",false,128,4,0,0,0,1,9,8,0,2,2,9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,13,10,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\datahub\datahub-graphql-core\src\main\java\com\linkedin\datahub\graphql\types\mlmodel\mappers\MLModelGroupMapper.java,com.linkedin.datahub.graphql.types.mlmodel.mappers.MLModelGroupMapper,"mapGlobalTags/4[com.linkedin.datahub.graphql.types.mlmodel.mappers.QueryContext,com.linkedin.datahub.graphql.types.mlmodel.mappers.MLModelGroup,com.linkedin.datahub.graphql.types.mlmodel.mappers.DataMap,com.linkedin.datahub.graphql.types.mlmodel.mappers.Urn]",false,147,8,1,0,1,1,2,5,0,2,4,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,12,10,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\datahub\datahub-graphql-core\src\main\java\com\linkedin\datahub\graphql\types\mlmodel\mappers\MLModelGroupMapper.java,com.linkedin.datahub.graphql.types.mlmodel.mappers.MLModelGroupMapper,"mapEditableProperties/2[com.linkedin.datahub.graphql.types.mlmodel.mappers.MLModelGroup,com.linkedin.datahub.graphql.types.mlmodel.mappers.DataMap]",false,163,4,0,0,0,2,4,8,0,2,2,4,0,0,0,0,0,0,0,0,2,0,1,0,0,0,11,10,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\datahub\datahub-graphql-core\src\main\java\com\linkedin\datahub\graphql\types\mlmodel\mappers\MLModelGroupMapper.java,com.linkedin.datahub.graphql.types.mlmodel.mappers.MLModelGroupMapper,"apply/2[com.linkedin.datahub.graphql.types.mlmodel.mappers.QueryContext,com.linkedin.datahub.graphql.types.mlmodel.mappers.EntityResponse]",false,59,16,1,1,0,3,22,29,2,23,2,22,0,0,0,1,0,2,0,0,5,0,1,0,0,9,40,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\datahub\datahub-graphql-core\src\main\java\com\linkedin\datahub\graphql\types\mlmodel\mappers\MLModelGroupMapper.java,com.linkedin.datahub.graphql.types.mlmodel.mappers.MLModelGroupMapper,"mapDomains/3[com.linkedin.datahub.graphql.types.mlmodel.mappers.QueryContext,com.linkedin.datahub.graphql.types.mlmodel.mappers.MLModelGroup,com.linkedin.datahub.graphql.types.mlmodel.mappers.DataMap]",false,157,6,0,0,0,1,3,4,0,1,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,10,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\datahub\datahub-graphql-core\src\main\java\com\linkedin\datahub\graphql\resolvers\type\ResultsTypeResolver.java,com.linkedin.datahub.graphql.resolvers.type.ResultsTypeResolver,getType/1[com.linkedin.datahub.graphql.resolvers.type.TypeResolutionEnvironment],false,13,3,0,0,0,2,4,8,1,0,1,4,0,0,0,0,0,0,1,0,0,1,1,0,0,0,27,1,0,false
