file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\dolphinscheduler\dolphinscheduler-dao\src\main\java\org\apache\dolphinscheduler\dao\repository\ProcessDefinitionLogDao.java,org.apache.dolphinscheduler.dao.repository.ProcessDefinitionLogDao,interface,2,3,1,2,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\dolphinscheduler\dolphinscheduler-api\src\main\java\org\apache\dolphinscheduler\api\audit\AuditMessage.java,org.apache.dolphinscheduler.api.audit.AuditMessage,class,3,8,5,3,12,1,0,0,14,0.6666667,0.0,0.0,12,0,12,0,0,0,12,0,0,0,5,0,0,5,0,0,0,0,0,47,6,0,0,0,0,6,0,10,2,5,0,0,0,0,17,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\dolphinscheduler\dolphinscheduler-api\src\main\java\org\apache\dolphinscheduler\api\executor\ExecuteFunctionBuilder.java,org.apache.dolphinscheduler.api.executor.ExecuteFunctionBuilder,interface,5,11,6,5,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\dolphinscheduler\dolphinscheduler-api\src\main\java\org\apache\dolphinscheduler\api\dto\ScheduleParam.java,org.apache.dolphinscheduler.api.dto.ScheduleParam,class,0,1,1,0,11,1,0,0,13,0.6363636,0.0,0.0,11,0,11,0,0,0,11,0,0,0,4,0,0,4,0,0,0,0,0,41,5,0,0,0,0,5,0,8,2,4,0,0,0,0,19,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\dolphinscheduler\dolphinscheduler-dao\src\test\java\org\apache\dolphinscheduler\dao\mapper\PluginDefineTest.java,org.apache.dolphinscheduler.dao.mapper.PluginDefineTest,class,6,7,1,6,6,2,0,12,0,0.0,0.0,0.0,4,0,3,1,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,26,1,0,0,0,0,3,3,6,0,7,0,0,0,0,20,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\dolphinscheduler\dolphinscheduler-common\src\main\java\org\apache\dolphinscheduler\common\enums\RunMode.java,org.apache.dolphinscheduler.common.enums.RunMode,enum,1,1,0,1,3,1,0,0,0,0.33333334,0.0,0.0,3,0,2,0,0,1,3,0,0,0,2,0,0,2,0,0,2,0,0,14,2,0,0,0,0,2,2,2,0,2,0,0,0,0,27,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\dolphinscheduler\dolphinscheduler-common\src\main\java\org\apache\dolphinscheduler\common\exception\StorageOperateNoConfiguredException.java,org.apache.dolphinscheduler.common.exception.StorageOperateNoConfiguredException,class,0,1,1,0,5,4,0,0,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\dolphinscheduler\dolphinscheduler-master\src\main\java\org\apache\dolphinscheduler\server\master\event\TaskDelayEventHandler.java,org.apache.dolphinscheduler.server.master.event.TaskDelayEventHandler,class,18,19,1,18,9,1,0,35,3,0.75,0.0,0.0,3,0,2,1,0,0,2,0,0,0,4,0,0,4,0,0,0,0,2,57,3,0,1,1,0,4,0,8,0,12,2,0,0,0,59,1,1
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\dolphinscheduler\dolphinscheduler-extract\dolphinscheduler-extract-base\src\main\java\org\apache\dolphinscheduler\extract\base\exception\RemotingTooMuchRequestException.java,org.apache.dolphinscheduler.extract.base.exception.RemotingTooMuchRequestException,class,1,2,1,1,1,4,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\dolphinscheduler\dolphinscheduler-dao\src\main\java\org\apache\dolphinscheduler\dao\entity\FavTask.java,org.apache.dolphinscheduler.dao.entity.FavTask,class,6,6,0,6,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,3,0,0,0,0,9,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\dolphinscheduler\dolphinscheduler-dao\src\main\java\org\apache\dolphinscheduler\dao\mapper\ProcessTaskRelationLogMapper.java,org.apache.dolphinscheduler.dao.mapper.ProcessTaskRelationLogMapper,interface,4,8,4,4,7,1,0,0,21,0.0,0.0,0.0,7,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,28,1,0
