file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\fernflower\src\org\jetbrains\java\decompiler\struct\StructClass.java,org.jetbrains.java.decompiler.struct.StructClass,class,16,52,36,16,53,2,0,29,330,0.86647725,0.0,0.0,32,1,30,1,1,0,31,0,0,0,11,0,2,9,0,0,10,0,8,160,32,3,9,0,4,0,6,40,0,34,1,0,0,0,96,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\fernflower\testData\src\pkg\TestAnonymousClass.java,pkg.TestAnonymousClass,class,2,2,0,2,4,1,0,2,3,0.6666667,0.0,0.0,3,0,0,0,0,3,3,0,0,0,5,3,3,2,0,0,5,0,0,93,0,0,0,0,0,0,4,9,0,9,1,8,3,0,21,1025,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\fernflower\testData\src\typeAnnotations\V.java,typeAnnotations.V$U,innerclass,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\fernflower\testData\classes\pkg\PrivateClasses.java,pkg.PrivateClasses$Callable,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\fernflower\src\org\jetbrains\java\decompiler\main\decompiler\PrintStreamLogger.java,org.jetbrains.java.decompiler.main.decompiler.PrintStreamLogger,class,4,7,3,4,21,2,0,5,0,0.40909094,0.0,0.0,11,0,11,0,0,0,11,0,0,0,2,0,0,2,0,0,1,0,1,67,0,0,0,0,0,8,1,2,5,2,1,0,0,0,25,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\fernflower\src\org\jetbrains\java\decompiler\struct\gen\generics\GenericMain.java,org.jetbrains.java.decompiler.struct.gen.generics.GenericMain,class,12,16,4,12,56,1,0,58,55,0.90909094,0.0,0.0,11,11,4,7,0,0,4,0,0,0,1,1,0,1,0,0,1,0,36,234,24,8,22,3,0,20,23,62,7,47,3,0,0,4,83,17,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\fernflower\src\org\jetbrains\java\decompiler\main\ClassWriter.java,org.jetbrains.java.decompiler.main.ClassWriter$MType,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\fernflower\src\org\jetbrains\java\decompiler\modules\decompiler\sforms\DirectNode.java,org.jetbrains.java.decompiler.modules.decompiler.sforms.DirectNode,class,7,19,12,7,3,1,0,1,0,0.5714286,0.0,0.0,3,0,3,0,0,0,3,0,0,0,7,0,7,0,0,0,6,0,1,25,1,0,0,0,0,0,0,11,0,7,0,0,1,0,20,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\fernflower\src\org\jetbrains\java\decompiler\modules\decompiler\deobfuscator\ExceptionDeobfuscator.java,org.jetbrains.java.decompiler.modules.decompiler.deobfuscator.ExceptionDeobfuscator$Anonymous1,anonymous,2,2,0,2,2,1,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,-1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\fernflower\src\org\jetbrains\java\decompiler\modules\decompiler\exps\ExitExprent.java,org.jetbrains.java.decompiler.modules.decompiler.exps.ExitExprent,class,15,26,11,15,31,2,0,25,0,0.6,0.0,0.0,11,0,11,0,0,0,11,0,0,0,5,2,2,3,0,0,4,0,6,96,14,1,15,0,2,5,3,20,0,17,5,0,0,0,75,1,0
