file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\fernflower\src\org\jetbrains\java\decompiler\struct\StructClass.java,org.jetbrains.java.decompiler.struct.StructClass,getMethods/0,false,179,2,8,8,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\fernflower\src\org\jetbrains\java\decompiler\struct\StructClass.java,org.jetbrains.java.decompiler.struct.StructClass,isVersion5/0,false,195,0,1,1,0,4,0,3,1,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,5,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\fernflower\src\org\jetbrains\java\decompiler\struct\StructClass.java,org.jetbrains.java.decompiler.struct.StructClass,getLoader/0,false,191,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\fernflower\src\org\jetbrains\java\decompiler\struct\StructClass.java,org.jetbrains.java.decompiler.struct.StructClass,isVersion7/0,false,200,0,1,1,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\fernflower\src\org\jetbrains\java\decompiler\struct\StructClass.java,org.jetbrains.java.decompiler.struct.StructClass,getRecordComponents/0,false,159,3,6,4,2,2,2,5,2,1,0,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,14,1,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\fernflower\src\org\jetbrains\java\decompiler\struct\StructClass.java,org.jetbrains.java.decompiler.struct.StructClass,"StructClass/12[int,java.util.Map<java.lang.String,org.jetbrains.java.decompiler.struct.attr.StructGeneralAttribute>,java.lang.String,org.jetbrains.java.decompiler.struct.consts.PrimitiveConstant,boolean,org.jetbrains.java.decompiler.struct.lazy.LazyLoader,int,int,int[],java.lang.String[],org.jetbrains.java.decompiler.util.VBStyleCollection<org.jetbrains.java.decompiler.struct.StructField,java.lang.String>,org.jetbrains.java.decompiler.util.VBStyleCollection<org.jetbrains.java.decompiler.struct.StructMethod,java.lang.String>]",true,109,7,1,1,0,1,0,13,0,0,12,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,15,2,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\fernflower\src\org\jetbrains\java\decompiler\struct\StructClass.java,org.jetbrains.java.decompiler.struct.StructClass,getInterfaceNames/0,false,175,0,6,6,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\fernflower\src\org\jetbrains\java\decompiler\struct\StructClass.java,org.jetbrains.java.decompiler.struct.StructClass,getFields/0,false,183,2,7,7,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\fernflower\src\org\jetbrains\java\decompiler\struct\StructClass.java,org.jetbrains.java.decompiler.struct.StructClass,isPreviewVersion/0,false,227,0,2,2,0,2,0,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\fernflower\src\org\jetbrains\java\decompiler\struct\StructClass.java,org.jetbrains.java.decompiler.struct.StructClass,hasRecordPatternSupport/0,false,241,1,4,3,1,1,1,3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\fernflower\src\org\jetbrains\java\decompiler\struct\StructClass.java,org.jetbrains.java.decompiler.struct.StructClass,isVersion16/0,false,216,0,1,1,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\fernflower\src\org\jetbrains\java\decompiler\struct\StructClass.java,org.jetbrains.java.decompiler.struct.StructClass,isVersion8/0,false,204,0,1,1,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\fernflower\src\org\jetbrains\java\decompiler\struct\StructClass.java,org.jetbrains.java.decompiler.struct.StructClass,isVersion21/0,false,223,0,1,1,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\fernflower\src\org\jetbrains\java\decompiler\struct\StructClass.java,org.jetbrains.java.decompiler.struct.StructClass,getPermittedSubclasses/0,false,165,2,4,2,2,2,2,5,2,1,0,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,10,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\fernflower\src\org\jetbrains\java\decompiler\struct\StructClass.java,org.jetbrains.java.decompiler.struct.StructClass,isVersion14/0,false,208,0,2,2,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\fernflower\src\org\jetbrains\java\decompiler\struct\StructClass.java,org.jetbrains.java.decompiler.struct.StructClass,"getMethod/2[java.lang.String,java.lang.String]",false,135,3,5,3,2,1,2,3,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\fernflower\src\org\jetbrains\java\decompiler\struct\StructClass.java,org.jetbrains.java.decompiler.struct.StructClass,toString/0,false,246,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\fernflower\src\org\jetbrains\java\decompiler\struct\StructClass.java,org.jetbrains.java.decompiler.struct.StructClass,"hasField/2[java.lang.String,java.lang.String]",false,123,1,3,2,1,2,1,3,1,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\fernflower\src\org\jetbrains\java\decompiler\struct\StructClass.java,org.jetbrains.java.decompiler.struct.StructClass,"getField/2[java.lang.String,java.lang.String]",false,127,3,7,5,2,1,2,3,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\fernflower\src\org\jetbrains\java\decompiler\struct\StructClass.java,org.jetbrains.java.decompiler.struct.StructClass,isOwn/0,false,187,0,8,8,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\fernflower\src\org\jetbrains\java\decompiler\struct\StructClass.java,org.jetbrains.java.decompiler.struct.StructClass,hasEnhancedSwitchSupport/0,false,238,1,2,1,1,1,1,3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\fernflower\src\org\jetbrains\java\decompiler\struct\StructClass.java,org.jetbrains.java.decompiler.struct.StructClass,getMethod/1[java.lang.String],false,131,2,4,3,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\fernflower\src\org\jetbrains\java\decompiler\struct\StructClass.java,org.jetbrains.java.decompiler.struct.StructClass,"create/3[org.jetbrains.java.decompiler.util.DataInputFullStream,boolean,org.jetbrains.java.decompiler.struct.lazy.LazyLoader]",false,41,12,20,3,17,5,15,35,1,21,3,15,0,0,3,1,0,0,0,4,26,0,1,0,0,0,43,9,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\fernflower\src\org\jetbrains\java\decompiler\struct\StructClass.java,org.jetbrains.java.decompiler.struct.StructClass,getInterfaces/0,false,171,1,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\fernflower\src\org\jetbrains\java\decompiler\struct\StructClass.java,org.jetbrains.java.decompiler.struct.StructClass,hasSealedClassesSupport/0,false,231,1,4,1,3,1,3,3,1,0,0,3,3,1,0,0,0,1,0,0,0,0,0,0,0,0,9,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\fernflower\src\org\jetbrains\java\decompiler\struct\StructClass.java,org.jetbrains.java.decompiler.struct.StructClass,isVersion17/0,false,220,0,1,1,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\fernflower\src\org\jetbrains\java\decompiler\struct\StructClass.java,org.jetbrains.java.decompiler.struct.StructClass,hasPatternsInInstanceofSupport/0,false,235,1,4,1,3,1,3,3,1,0,0,3,3,1,0,0,0,1,0,0,0,0,0,0,0,0,10,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\fernflower\src\org\jetbrains\java\decompiler\struct\StructClass.java,org.jetbrains.java.decompiler.struct.StructClass,releaseResources/0,false,143,0,1,1,0,2,0,5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,5,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\fernflower\src\org\jetbrains\java\decompiler\struct\StructClass.java,org.jetbrains.java.decompiler.struct.StructClass,getType/0,false,251,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\fernflower\src\org\jetbrains\java\decompiler\struct\StructClass.java,org.jetbrains.java.decompiler.struct.StructClass,getPool/0,false,149,2,10,9,1,3,1,6,1,0,0,1,0,0,0,2,0,0,0,0,1,0,1,0,0,0,8,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\fernflower\src\org\jetbrains\java\decompiler\struct\StructClass.java,org.jetbrains.java.decompiler.struct.StructClass,getInterface/1[int],false,139,0,2,2,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\fernflower\src\org\jetbrains\java\decompiler\struct\StructClass.java,org.jetbrains.java.decompiler.struct.StructClass,isVersion15/0,false,212,0,1,1,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\fernflower\testData\src\pkg\TestAnonymousClass.java,pkg.TestAnonymousClass,zoo/0,false,38,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\fernflower\testData\src\pkg\TestAnonymousClass.java,pkg.TestAnonymousClass,foo/1[int],false,9,1,2,0,2,2,2,16,0,2,1,2,0,0,0,0,0,0,0,2,2,0,1,1,0,0,8,0,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\fernflower\testData\src\pkg\TestAnonymousClass.java,pkg.TestAnonymousClass,boo/0,false,34,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\fernflower\testData\classes\pkg\PrivateClasses.java,pkg.PrivateClasses$Callable,call/0,false,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\fernflower\src\org\jetbrains\java\decompiler\main\decompiler\PrintStreamLogger.java,org.jetbrains.java.decompiler.main.decompiler.PrintStreamLogger,startWriteClass/1[java.lang.String],false,83,2,2,0,2,2,2,6,0,0,1,2,1,1,0,0,0,0,1,0,0,1,1,0,0,0,9,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\fernflower\src\org\jetbrains\java\decompiler\main\decompiler\PrintStreamLogger.java,org.jetbrains.java.decompiler.main.decompiler.PrintStreamLogger,PrintStreamLogger/1[java.io.PrintStream],true,14,0,3,3,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,6,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\fernflower\src\org\jetbrains\java\decompiler\main\decompiler\PrintStreamLogger.java,org.jetbrains.java.decompiler.main.decompiler.PrintStreamLogger,endMethod/0,false,75,2,2,0,2,2,2,6,0,0,0,2,1,1,0,0,0,0,1,0,0,0,1,0,0,0,6,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\fernflower\src\org\jetbrains\java\decompiler\main\decompiler\PrintStreamLogger.java,org.jetbrains.java.decompiler.main.decompiler.PrintStreamLogger,startReadingClass/1[java.lang.String],false,35,2,2,0,2,2,2,6,0,0,1,2,1,1,0,0,0,0,1,0,0,1,1,0,0,0,9,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\fernflower\src\org\jetbrains\java\decompiler\main\decompiler\PrintStreamLogger.java,org.jetbrains.java.decompiler.main.decompiler.PrintStreamLogger,endReadingClass/0,false,43,2,2,0,2,2,2,6,0,0,0,2,1,1,0,0,0,0,1,0,0,0,1,0,0,0,7,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\fernflower\src\org\jetbrains\java\decompiler\main\decompiler\PrintStreamLogger.java,org.jetbrains.java.decompiler.main.decompiler.PrintStreamLogger,endWriteClass/0,false,91,2,2,0,2,2,2,6,0,0,0,2,1,1,0,0,0,0,1,0,0,0,1,0,0,0,7,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\fernflower\src\org\jetbrains\java\decompiler\main\decompiler\PrintStreamLogger.java,org.jetbrains.java.decompiler.main.decompiler.PrintStreamLogger,startClass/1[java.lang.String],false,51,2,2,0,2,2,2,6,0,0,1,2,1,1,0,0,0,0,1,0,0,1,1,0,0,0,8,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\fernflower\src\org\jetbrains\java\decompiler\main\decompiler\PrintStreamLogger.java,org.jetbrains.java.decompiler.main.decompiler.PrintStreamLogger,endClass/0,false,59,2,2,0,2,2,2,6,0,0,0,2,1,1,0,0,0,0,1,0,0,0,1,0,0,0,6,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\fernflower\src\org\jetbrains\java\decompiler\main\decompiler\PrintStreamLogger.java,org.jetbrains.java.decompiler.main.decompiler.PrintStreamLogger,"writeMessage/3[java.lang.String,org.jetbrains.java.decompiler.main.extern.IFernflowerLogger.Severity,java.lang.Throwable]",false,27,3,2,0,2,2,3,6,0,0,3,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,6,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\fernflower\src\org\jetbrains\java\decompiler\main\decompiler\PrintStreamLogger.java,org.jetbrains.java.decompiler.main.decompiler.PrintStreamLogger,startMethod/1[java.lang.String],false,67,2,2,0,2,2,2,6,0,0,1,2,1,1,0,0,0,0,1,0,0,1,1,0,0,0,8,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\fernflower\src\org\jetbrains\java\decompiler\main\decompiler\PrintStreamLogger.java,org.jetbrains.java.decompiler.main.decompiler.PrintStreamLogger,"writeMessage/2[java.lang.String,org.jetbrains.java.decompiler.main.extern.IFernflowerLogger.Severity]",false,20,3,11,9,2,2,3,5,0,0,2,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\fernflower\src\org\jetbrains\java\decompiler\struct\gen\generics\GenericMain.java,org.jetbrains.java.decompiler.struct.gen.generics.GenericMain,"appendClassName/3[org.jetbrains.java.decompiler.struct.gen.generics.GenericType,java.lang.StringBuilder,java.util.List<org.jetbrains.java.decompiler.modules.decompiler.typeann.TypeAnnotationWriteHelper>]",false,193,6,10,1,9,3,15,22,0,3,3,15,1,3,1,0,0,0,2,0,7,0,2,0,0,0,14,10,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\fernflower\src\org\jetbrains\java\decompiler\struct\gen\generics\GenericMain.java,org.jetbrains.java.decompiler.struct.gen.generics.GenericMain,"getGenericTypeAnnotations/2[int,java.util.List<org.jetbrains.java.decompiler.modules.decompiler.typeann.TypeAnnotationWriteHelper>]",false,259,3,5,1,4,5,10,9,2,3,2,10,0,0,0,3,0,0,0,0,2,0,2,0,0,1,17,10,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\fernflower\src\org\jetbrains\java\decompiler\struct\gen\generics\GenericMain.java,org.jetbrains.java.decompiler.struct.gen.generics.GenericMain,"parseFormalParameters/3[java.lang.String,java.util.List<? super java.lang.String>,java.util.List<? super java.util.List<org.jetbrains.java.decompiler.struct.gen.generics.GenericType>>]",false,102,1,4,2,2,11,8,46,2,7,3,8,0,0,3,5,0,0,1,14,12,2,3,0,0,0,17,10,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\fernflower\src\org\jetbrains\java\decompiler\struct\gen\generics\GenericMain.java,org.jetbrains.java.decompiler.struct.gen.generics.GenericMain,"getGenericCastTypeName/2[org.jetbrains.java.decompiler.struct.gen.generics.GenericType,java.util.List<org.jetbrains.java.decompiler.modules.decompiler.typeann.TypeAnnotationWriteHelper>]",false,162,4,13,8,5,1,6,7,1,3,2,6,1,4,0,0,0,0,0,0,3,0,0,0,0,0,15,9,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\fernflower\src\org\jetbrains\java\decompiler\struct\gen\generics\GenericMain.java,org.jetbrains.java.decompiler.struct.gen.generics.GenericMain,parseClassSignature/1[java.lang.String],false,29,5,7,1,6,3,7,20,2,4,1,7,1,1,1,0,1,0,1,1,8,1,2,0,0,0,18,9,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\fernflower\src\org\jetbrains\java\decompiler\struct\gen\generics\GenericMain.java,org.jetbrains.java.decompiler.struct.gen.generics.GenericMain,parseMethodSignature/1[java.lang.String],false,64,5,7,1,6,5,10,32,2,12,1,10,1,1,2,0,1,0,3,5,16,2,3,0,0,0,27,9,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\fernflower\src\org\jetbrains\java\decompiler\struct\gen\generics\GenericMain.java,org.jetbrains.java.decompiler.struct.gen.generics.GenericMain,"getTypeName/2[org.jetbrains.java.decompiler.struct.gen.generics.GenericType,java.util.List<org.jetbrains.java.decompiler.modules.decompiler.typeann.TypeAnnotationWriteHelper>]",false,170,4,5,1,4,5,6,21,4,3,2,6,1,3,0,3,0,0,2,0,3,1,1,0,0,0,16,10,0,false
