file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\hertzbeat\common\src\main\java\org\dromara\hertzbeat\common\cache\CommonCacheService.java,org.dromara.hertzbeat.common.cache.CommonCacheService,interface,2,9,7,2,5,1,0,0,10,0.0,0.0,0.0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\hertzbeat\manager\src\main\java\org\dromara\hertzbeat\manager\dao\StatusPageHistoryDao.java,org.dromara.hertzbeat.manager.dao.StatusPageHistoryDao,interface,3,4,1,3,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\hertzbeat\collector\src\main\java\org\dromara\hertzbeat\collector\collect\common\cache\CacheIdentifier.java,org.dromara.hertzbeat.collector.collect.common.cache.CacheIdentifier,class,2,7,5,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,5,0,0,5,0,0,0,0,1,10,1,0,0,0,0,5,0,0,2,5,0,0,0,0,15,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\hertzbeat\common\src\main\java\org\dromara\hertzbeat\common\entity\job\protocol\HttpProtocol.java,org.dromara.hertzbeat.common.entity.job.protocol.HttpProtocol$Authorization,innerclass,3,3,0,3,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,0,0,0,0,15,9,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\hertzbeat\warehouse\src\main\java\org\dromara\hertzbeat\warehouse\dao\HistoryDao.java,org.dromara.hertzbeat.warehouse.dao.HistoryDao,interface,6,7,1,6,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,38,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\hertzbeat\collector\src\main\java\org\dromara\hertzbeat\collector\dispatch\timer\TimerDispatcher.java,org.dromara.hertzbeat.collector.dispatch.timer.TimerDispatcher,class,11,11,0,11,16,1,0,19,0,0.4,0.0,0.0,8,0,8,0,0,0,8,0,0,0,5,0,0,5,0,0,5,0,0,84,3,0,3,0,0,3,6,14,0,23,2,0,0,5,69,1,2
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\hertzbeat\common\src\main\java\org\dromara\hertzbeat\common\entity\job\protocol\JmxProtocol.java,org.dromara.hertzbeat.common.entity.job.protocol.JmxProtocol,class,4,6,2,4,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,9,0,0,0,0,0,1,0,1,0,7,0,0,0,0,36,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\hertzbeat\collector\src\test\java\org\dromara\hertzbeat\collector\collect\redis\RedisSingleCollectImplTest.java,org.dromara.hertzbeat.collector.collect.redis.RedisSingleCollectImplTest,class,11,11,0,11,3,1,0,10,1,0.5,0.0,0.0,3,0,0,0,0,3,3,0,0,0,2,0,0,2,0,0,0,0,1,18,0,0,0,0,0,5,1,4,0,5,0,0,0,0,18,0,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\hertzbeat\collector\src\test\java\org\dromara\hertzbeat\collector\dispatch\WorkerPoolTest.java,org.dromara.hertzbeat.collector.dispatch.WorkerPoolTest,class,3,3,0,3,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\hertzbeat\common\src\main\java\org\dromara\hertzbeat\common\util\prometheus\Label.java,org.dromara.hertzbeat.common.util.prometheus.Label,class,4,6,2,4,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,1,0
