file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\hertzbeat\common\src\main\java\org\dromara\hertzbeat\common\cache\CommonCacheService.java,org.dromara.hertzbeat.common.cache.CommonCacheService,clear/0,false,55,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\hertzbeat\common\src\main\java\org\dromara\hertzbeat\common\cache\CommonCacheService.java,org.dromara.hertzbeat.common.cache.CommonCacheService,remove/1[K],false,48,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\hertzbeat\common\src\main\java\org\dromara\hertzbeat\common\cache\CommonCacheService.java,org.dromara.hertzbeat.common.cache.CommonCacheService,get/1[K],false,26,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\hertzbeat\common\src\main\java\org\dromara\hertzbeat\common\cache\CommonCacheService.java,org.dromara.hertzbeat.common.cache.CommonCacheService,containsKey/1[K],false,41,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\hertzbeat\common\src\main\java\org\dromara\hertzbeat\common\cache\CommonCacheService.java,org.dromara.hertzbeat.common.cache.CommonCacheService,"put/2[K,V]",false,33,2,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\hertzbeat\manager\src\main\java\org\dromara\hertzbeat\manager\dao\StatusPageHistoryDao.java,org.dromara.hertzbeat.manager.dao.StatusPageHistoryDao,"findStatusPageHistoriesByTimestampBetween/2[long,long]",false,33,1,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\hertzbeat\manager\src\main\java\org\dromara\hertzbeat\manager\dao\StatusPageHistoryDao.java,org.dromara.hertzbeat.manager.dao.StatusPageHistoryDao,"findStatusPageHistoriesByComponentIdAndTimestampBetween/3[long,long,long]",false,41,1,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\hertzbeat\collector\src\main\java\org\dromara\hertzbeat\collector\collect\common\cache\CacheIdentifier.java,org.dromara.hertzbeat.collector.collect.common.cache.CacheIdentifier,toString/0,false,44,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,5,0,0,2,0,0,0,0,9,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\hertzbeat\warehouse\src\main\java\org\dromara\hertzbeat\warehouse\dao\HistoryDao.java,org.dromara.hertzbeat.warehouse.dao.HistoryDao,deleteOlderHistoriesRecord/1[int],false,45,4,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,21,0,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\hertzbeat\warehouse\src\main\java\org\dromara\hertzbeat\warehouse\dao\HistoryDao.java,org.dromara.hertzbeat.warehouse.dao.HistoryDao,truncateTable/0,false,55,3,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\hertzbeat\warehouse\src\main\java\org\dromara\hertzbeat\warehouse\dao\HistoryDao.java,org.dromara.hertzbeat.warehouse.dao.HistoryDao,deleteHistoriesByTimeBefore/1[java.lang.Long],false,36,2,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\hertzbeat\collector\src\main\java\org\dromara\hertzbeat\collector\dispatch\timer\TimerDispatcher.java,org.dromara.hertzbeat.collector.dispatch.timer.TimerDispatcher,goOnline/0,false,123,1,1,0,1,1,4,7,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\hertzbeat\collector\src\main\java\org\dromara\hertzbeat\collector\dispatch\timer\TimerDispatcher.java,org.dromara.hertzbeat.collector.dispatch.timer.TimerDispatcher,"cyclicJob/3[org.dromara.hertzbeat.collector.dispatch.timer.WheelTimerTask,long,java.util.concurrent.TimeUnit]",false,94,3,2,0,2,3,7,11,1,2,3,7,0,0,0,0,0,0,1,0,2,0,1,0,0,0,17,1,1,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\hertzbeat\collector\src\main\java\org\dromara\hertzbeat\collector\dispatch\timer\TimerDispatcher.java,org.dromara.hertzbeat.collector.dispatch.timer.TimerDispatcher,TimerDispatcher/0,true,64,3,1,0,1,1,1,12,1,2,0,1,0,0,0,0,0,0,1,5,6,0,1,0,0,1,10,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\hertzbeat\collector\src\main\java\org\dromara\hertzbeat\collector\dispatch\timer\TimerDispatcher.java,org.dromara.hertzbeat.collector.dispatch.timer.TimerDispatcher,"responseSyncJobData/2[long,java.util.List<org.dromara.hertzbeat.common.entity.message.CollectRep.MetricsData>]",false,142,2,1,0,1,2,3,7,0,1,2,3,0,0,0,1,0,0,0,0,1,0,1,0,0,0,14,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\hertzbeat\collector\src\main\java\org\dromara\hertzbeat\collector\dispatch\timer\TimerDispatcher.java,org.dromara.hertzbeat.collector.dispatch.timer.TimerDispatcher,"addJob/2[org.dromara.hertzbeat.common.entity.job.Job,org.dromara.hertzbeat.collector.dispatch.entrance.internal.CollectResponseEventListener]",false,77,5,2,0,2,3,8,16,1,3,2,8,0,0,0,0,0,0,1,1,3,0,1,0,0,0,15,1,1,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\hertzbeat\collector\src\main\java\org\dromara\hertzbeat\collector\dispatch\timer\TimerDispatcher.java,org.dromara.hertzbeat.collector.dispatch.timer.TimerDispatcher,goOffline/0,false,132,1,1,0,1,1,4,7,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\hertzbeat\collector\src\main\java\org\dromara\hertzbeat\collector\dispatch\timer\TimerDispatcher.java,org.dromara.hertzbeat.collector.dispatch.timer.TimerDispatcher,"deleteJob/2[long,boolean]",false,108,1,1,0,1,4,2,14,0,2,2,2,0,0,0,2,0,0,0,0,2,0,2,0,0,0,9,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\hertzbeat\collector\src\main\java\org\dromara\hertzbeat\collector\dispatch\timer\TimerDispatcher.java,org.dromara.hertzbeat.collector.dispatch.timer.TimerDispatcher,destroy/0,false,151,1,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
