file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\iceberg\flink\v1.17\flink\src\main\java\org\apache\iceberg\flink\source\RowDataFileScanTaskReader.java,org.apache.iceberg.flink.source.RowDataFileScanTaskReader,class,19,27,7,20,18,2,0,43,0,0.5666667,0.0,0.0,6,0,2,4,0,0,2,0,0,0,5,0,0,5,0,0,5,0,1,98,6,0,5,0,0,2,0,20,1,19,2,0,1,3,62,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\iceberg\spark\v3.5\spark\src\test\java\org\apache\iceberg\spark\source\TestDataFrameWriterV2.java,org.apache.iceberg.spark.source.TestDataFrameWriterV2,class,10,17,0,17,7,2,0,28,21,0.0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,5,57,0,0,0,0,0,79,22,15,0,14,0,0,0,2,88,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\iceberg\parquet\src\main\java\org\apache\iceberg\parquet\ParquetValueReaders.java,org.apache.iceberg.parquet.ParquetValueReaders$FloatAsDoubleReader,innerclass,3,3,0,3,3,3,0,2,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\iceberg\core\src\main\java\org\apache\iceberg\V2Metadata.java,org.apache.iceberg.V2Metadata,class,7,10,3,7,4,1,0,5,6,0.75,0.0,0.0,4,3,0,1,0,3,3,0,0,0,1,1,0,0,0,1,1,0,2,336,3,0,0,0,0,1,0,1,0,1,0,0,3,0,112,0,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\iceberg\core\src\test\java\org\apache\iceberg\data\avro\TestDecoderResolver.java,org.apache.iceberg.data.avro.TestDecoderResolver,class,7,8,1,7,8,1,0,25,21,0.0,0.0,0.0,7,0,3,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,89,3,0,1,0,0,12,22,24,0,18,1,0,0,1,36,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\iceberg\spark\v3.5\spark\src\test\java\org\apache\iceberg\spark\CatalogTestBase.java,org.apache.iceberg.spark.CatalogTestBase,class,5,11,6,5,1,2,6,3,0,0.0,NaN,NaN,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,6,1,0,0,0,0,1,0,0,0,1,0,0,0,0,10,1025,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\iceberg\api\src\main\java\org\apache\iceberg\actions\DeleteReachableFiles.java,org.apache.iceberg.actions.DeleteReachableFiles,interface,4,7,3,4,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,88,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\iceberg\flink\v1.17\flink\src\main\java\org\apache\iceberg\flink\source\reader\ListBatchRecords.java,org.apache.iceberg.flink.source.reader.ListBatchRecords,class,5,7,2,5,6,1,0,6,0,0.52,0.0,0.0,5,1,4,0,0,1,5,0,0,0,5,0,0,5,0,0,3,0,1,36,5,0,0,0,0,1,1,7,0,6,1,0,0,0,25,0,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\iceberg\api\src\main\java\org\apache\iceberg\transforms\Hours.java,org.apache.iceberg.transforms.Hours,class,12,17,5,12,17,2,0,4,28,0.875,0.0,0.0,8,1,5,0,1,2,8,0,0,0,1,1,0,1,0,0,1,0,3,39,11,0,5,0,0,5,0,1,1,1,1,0,0,0,39,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\iceberg\orc\src\test\java\org\apache\iceberg\orc\TestOrcDataReader.java,org.apache.iceberg.orc.TestOrcDataReader,class,13,14,1,13,8,1,0,52,1,0.5416667,0.0,0.0,6,1,5,1,0,0,5,0,0,0,4,4,0,4,0,0,1,0,15,65,0,2,0,4,0,36,43,12,0,16,2,0,0,3,46,1,0
