file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\incubator-streampark\streampark-console\streampark-console-service\src\main\java\org\apache\streampark\console\core\metrics\flink\CheckPoints.java,org.apache.streampark.console.core.metrics.flink.CheckPoints,class,4,7,3,4,2,1,0,3,0,0.5,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,2,51,2,0,0,0,0,0,0,0,0,2,1,0,2,0,8,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\incubator-streampark\streampark-console\streampark-console-service\src\main\java\org\apache\streampark\console\system\controller\PassportController.java,org.apache.streampark.console.system.controller.PassportController,class,14,14,0,14,6,1,0,12,3,0.6666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,4,0,0,4,0,0,0,0,2,28,4,0,0,0,0,13,1,2,0,6,1,0,0,0,26,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\incubator-streampark\streampark-console\streampark-console-service\src\main\java\org\apache\streampark\console\base\mybatis\interceptor\PostgreSQLQueryInterceptor.java,org.apache.streampark.console.base.mybatis.interceptor.PostgreSQLQueryInterceptor,class,10,11,1,10,6,1,0,6,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,19,2,0,1,0,0,2,7,9,0,9,0,0,0,0,50,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\incubator-streampark\streampark-console\streampark-console-service\src\main\java\org\apache\streampark\console\core\service\impl\SparkAppBuildPipeServiceImpl.java,org.apache.streampark.console.core.service.impl.SparkAppBuildPipeServiceImpl,class,40,42,2,40,38,2,0,99,58,0.9230769,0.0,0.0,12,1,6,6,0,0,6,0,0,0,13,0,0,13,0,0,0,0,19,284,18,0,8,2,0,17,0,36,4,51,4,1,0,5,172,1,2
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\incubator-streampark\streampark-console\streampark-console-service\src\main\java\org\apache\streampark\console\base\config\P6spySqlFormatConfig.java,org.apache.streampark.console.base.config.P6spySqlFormatConfig,class,1,1,0,1,2,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,5,1,0,0,0,0,3,0,0,0,0,0,0,0,0,23,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\incubator-streampark\streampark-console\streampark-console-service\src\main\java\org\apache\streampark\console\core\metrics\flink\JobsOverview.java,org.apache.streampark.console.core.metrics.flink.JobsOverview,class,2,3,1,2,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,1,0,0,2,0,4,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\incubator-streampark\streampark-console\streampark-console-service\src\main\java\org\apache\streampark\console\core\metrics\yarn\YarnAppInfo.java,org.apache.streampark.console.core.metrics.yarn.YarnAppInfo$App,innerclass,2,2,0,2,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,28,0,0,28,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,28,0,0,0,0,51,9,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\incubator-streampark\streampark-console\streampark-console-service\src\main\java\org\apache\streampark\console\system\service\impl\MemberServiceImpl.java,org.apache.streampark.console.system.service.impl.MemberServiceImpl,class,18,19,1,18,13,2,0,39,56,0.8055555,0.0,0.0,12,0,11,1,0,0,11,0,0,0,3,0,0,3,0,0,0,0,13,72,7,0,1,0,0,11,0,11,0,15,1,0,0,1,51,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\incubator-streampark\streampark-console\streampark-console-service\src\main\java\org\apache\streampark\console\core\enums\ResourceFromEnum.java,org.apache.streampark.console.core.enums.ResourceFromEnum,enum,2,3,1,2,2,1,0,6,0,0.0,0.0,0.0,2,1,1,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,2,10,1,0,0,0,0,0,2,1,0,2,0,0,0,1,25,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\incubator-streampark\streampark-console\streampark-console-service\src\test\java\org\apache\streampark\console\core\service\alert\AlertServiceTest.java,org.apache.streampark.console.core.service.alert.AlertServiceTest,class,21,22,1,21,14,1,0,80,17,0.71666664,0.0,0.0,10,0,0,3,0,7,7,0,0,0,6,0,0,2,0,4,0,0,10,151,1,0,2,1,0,33,18,28,5,26,1,0,0,0,78,0,2
