file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\incubator-streampark\streampark-console\streampark-console-service\src\main\java\org\apache\streampark\console\core\metrics\flink\CheckPoints.java,org.apache.streampark.console.core.metrics.flink.CheckPoints,getLatestCheckpoint/0,false,41,3,2,1,1,2,3,6,2,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\incubator-streampark\streampark-console\streampark-console-service\src\main\java\org\apache\streampark\console\system\controller\PassportController.java,org.apache.streampark.console.system.controller.PassportController,type/0,false,63,3,1,0,1,3,4,11,1,1,0,4,0,0,0,0,0,0,2,0,1,0,1,0,0,0,8,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\incubator-streampark\streampark-console\streampark-console-service\src\main\java\org\apache\streampark\console\system\controller\PassportController.java,org.apache.streampark.console.system.controller.PassportController,"signin/3[java.lang.String,java.lang.String,java.lang.String]",false,81,7,4,0,4,2,5,7,2,1,3,5,0,0,0,0,0,0,5,1,1,0,1,0,0,0,12,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\incubator-streampark\streampark-console\streampark-console-service\src\main\java\org\apache\streampark\console\system\controller\PassportController.java,org.apache.streampark.console.system.controller.PassportController,signout/0,false,92,3,1,0,1,1,3,4,1,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\incubator-streampark\streampark-console\streampark-console-service\src\main\java\org\apache\streampark\console\base\mybatis\interceptor\PostgreSQLQueryInterceptor.java,org.apache.streampark.console.base.mybatis.interceptor.PostgreSQLQueryInterceptor,intercept/1[org.apache.streampark.console.base.mybatis.interceptor.Invocation],false,58,7,0,0,0,4,5,12,1,9,1,5,0,0,0,1,0,0,0,7,9,0,0,0,0,0,25,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\incubator-streampark\streampark-console\streampark-console-service\src\main\java\org\apache\streampark\console\base\mybatis\interceptor\PostgreSQLQueryInterceptor.java,org.apache.streampark.console.base.mybatis.interceptor.PostgreSQLQueryInterceptor,setProperties/1[java.util.Properties],false,78,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\incubator-streampark\streampark-console\streampark-console-service\src\main\java\org\apache\streampark\console\base\mybatis\interceptor\PostgreSQLQueryInterceptor.java,org.apache.streampark.console.base.mybatis.interceptor.PostgreSQLQueryInterceptor,plugin/1[java.lang.Object],false,73,0,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\incubator-streampark\streampark-console\streampark-console-service\src\main\java\org\apache\streampark\console\core\service\impl\SparkAppBuildPipeServiceImpl.java,org.apache.streampark.console.core.service.impl.SparkAppBuildPipeServiceImpl,saveEntity/1[org.apache.streampark.console.core.entity.AppBuildPipeline],false,465,1,4,4,0,2,4,7,2,1,1,4,0,0,0,1,0,0,0,0,1,0,1,0,0,0,19,1,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\incubator-streampark\streampark-console\streampark-console-service\src\main\java\org\apache\streampark\console\core\service\impl\SparkAppBuildPipeServiceImpl.java,org.apache.streampark.console.core.service.impl.SparkAppBuildPipeServiceImpl,removeByAppId/1[java.lang.Long],false,454,1,1,1,0,1,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\incubator-streampark\streampark-console\streampark-console-service\src\main\java\org\apache\streampark\console\core\service\impl\SparkAppBuildPipeServiceImpl.java,org.apache.streampark.console.core.service.impl.SparkAppBuildPipeServiceImpl,"buildApplication/2[java.lang.Long,boolean]",false,142,11,11,0,11,4,26,135,2,9,2,26,4,5,0,1,0,0,0,0,9,0,1,1,0,0,89,1,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\incubator-streampark\streampark-console\streampark-console-service\src\main\java\org\apache\streampark\console\core\service\impl\SparkAppBuildPipeServiceImpl.java,org.apache.streampark.console.core.service.impl.SparkAppBuildPipeServiceImpl,getMergedDependencyInfo/1[org.apache.streampark.console.core.entity.SparkApplication],false,499,7,5,1,4,5,12,32,3,8,1,12,1,1,0,1,2,0,2,0,6,0,4,0,0,2,34,2,1,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\incubator-streampark\streampark-console\streampark-console-service\src\main\java\org\apache\streampark\console\core\service\impl\SparkAppBuildPipeServiceImpl.java,org.apache.streampark.console.core.service.impl.SparkAppBuildPipeServiceImpl,"checkBuildEnv/2[java.lang.Long,boolean]",false,336,5,6,1,5,1,9,9,0,4,2,9,1,2,0,0,0,0,3,0,4,1,0,0,0,0,36,2,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\incubator-streampark\streampark-console\streampark-console-service\src\main\java\org\apache\streampark\console\core\service\impl\SparkAppBuildPipeServiceImpl.java,org.apache.streampark.console.core.service.impl.SparkAppBuildPipeServiceImpl,"mergeDependency/4[org.apache.streampark.console.core.entity.SparkApplication,java.util.List<org.apache.streampark.console.core.service.impl.Artifact>,java.util.List<java.lang.String>,org.apache.streampark.console.core.entity.Resource]",false,546,4,2,1,1,1,14,5,0,3,4,14,0,0,0,0,0,0,1,0,1,0,0,0,0,2,9,10,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\incubator-streampark\streampark-console\streampark-console-service\src\main\java\org\apache\streampark\console\core\service\impl\SparkAppBuildPipeServiceImpl.java,org.apache.streampark.console.core.service.impl.SparkAppBuildPipeServiceImpl,allowToBuildNow/1[java.lang.Long],false,431,3,3,1,2,2,4,3,1,1,1,4,1,1,0,1,0,0,0,0,0,0,0,0,0,1,12,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\incubator-streampark\streampark-console\streampark-console-service\src\main\java\org\apache\streampark\console\core\service\impl\SparkAppBuildPipeServiceImpl.java,org.apache.streampark.console.core.service.impl.SparkAppBuildPipeServiceImpl,"checkOrElseUploadJar/4[org.apache.streampark.console.core.service.impl.FsOperator,java.io.File,java.lang.String,java.lang.String]",false,482,1,1,1,0,3,4,10,0,0,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,23,2,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\incubator-streampark\streampark-console\streampark-console-service\src\main\java\org\apache\streampark\console\core\service\impl\SparkAppBuildPipeServiceImpl.java,org.apache.streampark.console.core.service.impl.SparkAppBuildPipeServiceImpl,createPipelineInstance/1[org.apache.streampark.console.core.entity.SparkApplication],false,357,10,12,1,11,8,20,27,1,8,1,20,2,2,0,3,0,0,3,0,11,1,2,0,0,0,38,2,1,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\incubator-streampark\streampark-console\streampark-console-service\src\main\java\org\apache\streampark\console\core\service\impl\SparkAppBuildPipeServiceImpl.java,org.apache.streampark.console.core.service.impl.SparkAppBuildPipeServiceImpl,"retrieveSparkUserJar/2[org.apache.streampark.console.core.entity.SparkEnv,org.apache.streampark.console.core.entity.SparkApplication]",false,396,3,7,1,6,7,13,24,5,2,2,13,0,0,0,1,0,0,7,0,2,2,2,0,0,0,21,2,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\incubator-streampark\streampark-console\streampark-console-service\src\main\java\org\apache\streampark\console\core\service\impl\SparkAppBuildPipeServiceImpl.java,org.apache.streampark.console.core.service.impl.SparkAppBuildPipeServiceImpl,getCurrentBuildPipeline/1[java.lang.Long],false,426,2,1,1,0,1,2,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\incubator-streampark\streampark-console\streampark-console-service\src\main\java\org\apache\streampark\console\core\service\impl\SparkAppBuildPipeServiceImpl.java,org.apache.streampark.console.core.service.impl.SparkAppBuildPipeServiceImpl,listAppIdPipelineStatusMap/1[java.util.List<java.lang.Long>],false,438,3,0,0,0,3,7,11,3,2,1,7,0,0,0,0,0,0,0,0,2,0,1,0,0,0,12,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\incubator-streampark\streampark-console\streampark-console-service\src\main\java\org\apache\streampark\console\base\config\P6spySqlFormatConfig.java,org.apache.streampark.console.base.config.P6spySqlFormatConfig,"formatMessage/7[int,java.lang.String,long,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",false,39,0,0,0,0,2,5,3,1,0,7,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,1,0,false
