file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\iotdb\iotdb-core\consensus\src\main\java\org\apache\iotdb\consensus\IStateMachine.java,org.apache.iotdb.consensus.IStateMachine$EventApi,interface,2,2,0,2,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\iotdb\iotdb-core\datanode\src\main\java\org\apache\iotdb\db\storageengine\dataregion\wal\buffer\WALEntryValue.java,org.apache.iotdb.db.storageengine.dataregion.wal.buffer.WALEntryValue,interface,2,10,8,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\iotdb\integration-test\src\test\java\org\apache\iotdb\db\it\aggregation\IoTDBAggregationByLevel2IT.java,org.apache.iotdb.db.it.aggregation.IoTDBAggregationByLevel2IT,class,7,7,0,7,2,2,0,7,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\iotdb\example\udf\src\main\java\org\apache\iotdb\udf\UDAFExample.java,org.apache.iotdb.udf.UDAFExample,class,12,13,1,12,34,1,0,18,53,0.8181818,0.0,0.0,11,0,7,4,0,0,7,0,0,0,1,0,0,1,0,0,0,0,1,122,5,4,5,0,0,1,20,23,1,15,2,0,1,0,58,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\iotdb\iotdb-core\datanode\src\main\java\org\apache\iotdb\db\utils\DateTimeUtils.java,org.apache.iotdb.db.utils.DateTimeUtils,class,4,7,3,4,101,1,0,67,229,0.95279723,0.0,0.0,22,21,21,1,0,0,45,0,0,0,26,26,26,0,0,0,26,0,44,383,43,2,5,2,3,34,107,85,37,55,3,0,1,0,162,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\iotdb\iotdb-core\consensus\src\main\java\org\apache\iotdb\consensus\config\IoTConsensusConfig.java,org.apache.iotdb.consensus.config.IoTConsensusConfig$Replication,innerclass,1,1,0,1,15,1,0,0,79,0.86666673,0.0,0.0,15,1,14,1,0,0,14,0,0,0,13,0,0,13,0,0,13,0,0,142,14,0,0,0,1,0,0,13,1,13,0,0,1,0,41,9,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\iotdb\iotdb-core\datanode\src\main\java\org\apache\iotdb\db\queryengine\execution\operator\process\TransformOperator.java,org.apache.iotdb.db.queryengine.execution.operator.process.TransformOperator,class,25,26,1,25,53,1,0,62,52,0.82307696,0.0,0.0,20,0,11,3,6,0,17,0,1,0,13,0,0,1,12,0,7,0,2,223,25,7,13,3,5,5,7,36,6,31,5,0,0,0,109,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\iotdb\iotdb-core\datanode\src\main\java\org\apache\iotdb\db\service\metrics\WritingMetrics.java,org.apache.iotdb.db.service.metrics.WritingMetrics,class,11,17,6,11,66,1,0,45,1198,0.93229145,0.0,0.0,52,1,42,10,0,0,42,0,0,0,48,30,28,20,0,0,30,0,16,331,5,0,3,0,3,28,5,89,4,68,1,0,0,12,142,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\iotdb\iotdb-core\datanode\src\main\java\org\apache\iotdb\db\schemaengine\schemaregion\mtree\impl\pbtree\mnode\impl\CachedMeasurementMNode.java,org.apache.iotdb.db.schemaengine.schemaregion.mtree.impl.pbtree.mnode.impl.CachedMeasurementMNode,class,10,11,1,10,9,2,0,6,28,0.0,0.0,0.0,8,0,8,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,26,5,0,1,0,0,0,0,0,0,0,0,0,0,0,24,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\iotdb\iotdb-core\datanode\src\test\java\org\apache\iotdb\db\storageengine\dataregion\compaction\cross\RewriteCrossSpaceCompactionWithReadPointPerformerTest.java,org.apache.iotdb.db.storageengine.dataregion.compaction.cross.RewriteCrossSpaceCompactionWithReadPointPerformerTest,class,21,22,1,21,163,2,0,54,21,0.85714287,0.0,0.0,7,0,6,1,0,0,6,0,0,0,1,0,0,1,0,0,1,0,10,426,0,35,44,0,59,47,362,69,76,73,5,0,0,4,144,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\iotdb\iotdb-core\datanode\src\main\java\org\apache\iotdb\db\protocol\rest\v1\impl\GrafanaApiServiceImpl.java,org.apache.iotdb.db.protocol.rest.v1.impl.GrafanaApiServiceImpl,class,23,23,0,23,30,2,0,43,0,0.34285715,0.0,0.0,5,0,5,0,0,0,5,0,0,0,7,3,0,7,0,0,7,0,14,136,16,0,13,6,6,12,5,39,6,32,3,0,0,0,82,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\iotdb\iotdb-core\datanode\src\main\java\org\apache\iotdb\db\queryengine\execution\exchange\sink\DownStreamChannelLocation.java,org.apache.iotdb.db.queryengine.execution.exchange.sink.DownStreamChannelLocation,class,3,6,3,3,10,1,0,8,0,0.4,0.0,0.0,10,1,10,0,0,0,10,0,0,0,3,0,0,3,0,0,1,0,0,52,4,0,0,0,0,0,0,11,0,6,0,0,0,0,53,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\iotdb\iotdb-core\datanode\src\main\java\org\apache\iotdb\db\queryengine\plan\Coordinator.java,org.apache.iotdb.db.queryengine.plan.Coordinator,class,25,33,8,25,34,1,0,51,105,0.8796297,0.0,0.0,18,1,12,6,0,0,12,0,0,0,12,7,0,12,0,0,12,0,2,128,16,1,6,2,2,3,7,29,2,30,4,0,0,1,133,1,3
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\iotdb\iotdb-core\tsfile\src\main\java\org\apache\iotdb\tsfile\read\common\type\FloatType.java,org.apache.iotdb.tsfile.read.common.type.FloatType,class,6,8,2,6,12,1,0,2,66,0.9166667,0.0,0.0,12,1,11,1,0,0,11,0,0,0,1,1,0,1,0,0,1,0,0,38,7,0,0,0,0,0,0,1,0,1,0,0,0,0,23,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\iotdb\iotdb-connector\hive-connector\src\main\java\org\apache\iotdb\hive\TsFileSerDeException.java,org.apache.iotdb.hive.TsFileSerDeException,class,1,3,2,1,4,2,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\iotdb\iotdb-core\datanode\src\main\java\org\apache\iotdb\db\queryengine\plan\planner\plan\node\process\TopKNode.java,org.apache.iotdb.db.queryengine.plan.planner.plan.node.process.TopKNode,class,9,17,8,9,23,4,0,21,1,0.6166667,0.0,0.0,15,1,13,0,2,0,15,0,0,0,4,1,1,3,0,0,4,0,5,88,14,3,4,0,0,2,2,13,0,10,1,0,0,0,78,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\iotdb\iotdb-core\datanode\src\main\java\org\apache\iotdb\db\storageengine\dataregion\compaction\schedule\CompactionScheduleTaskManager.java,org.apache.iotdb.db.storageengine.dataregion.compaction.schedule.CompactionScheduleTaskManager,class,7,12,5,7,29,1,0,33,25,0.7460318,0.0,0.0,14,2,11,3,0,0,11,0,0,0,9,3,0,9,0,0,5,0,6,233,8,4,2,8,0,5,7,19,3,15,3,0,1,0,90,1,5
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\iotdb\iotdb-core\datanode\src\main\java\org\apache\iotdb\db\queryengine\plan\expression\unary\UnaryExpression.java,org.apache.iotdb.db.queryengine.plan.expression.unary.UnaryExpression,class,9,36,27,9,13,3,6,14,0,0.083333336,0.0,0.0,12,0,9,0,3,0,12,0,6,0,1,0,0,0,1,0,0,0,3,44,5,0,0,0,0,0,1,4,0,2,1,0,0,0,49,1025,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\iotdb\iotdb-core\node-commons\src\test\java\org\apache\iotdb\commons\pipe\plugin\meta\PipePluginMetaTest.java,org.apache.iotdb.commons.pipe.plugin.meta.PipePluginMetaTest,class,3,3,0,3,3,1,0,14,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,1,0,8,0,4,0,4,1,0,0,0,21,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\iotdb\iotdb-client\service-rpc\src\main\java\org\apache\iotdb\rpc\subscription\config\ConsumerConfig.java,org.apache.iotdb.rpc.subscription.config.ConsumerConfig,class,2,6,4,2,6,2,0,4,15,0.0,0.0,0.0,6,1,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\iotdb\iotdb-core\consensus\src\test\java\org\apache\iotdb\consensus\ratis\TestUtils.java,org.apache.iotdb.consensus.ratis.TestUtils$TestRequest,innerclass,2,2,0,2,6,1,0,4,4,0.4,0.0,0.0,5,2,3,0,0,2,5,0,0,0,1,0,0,1,0,0,1,0,3,26,4,0,1,0,0,0,6,4,0,4,0,0,0,0,14,9,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\iotdb\iotdb-core\confignode\src\main\java\org\apache\iotdb\confignode\manager\subscription\SubscriptionCoordinator.java,org.apache.iotdb.confignode.manager.subscription.SubscriptionCoordinator,class,28,34,6,28,32,1,0,37,5,0.68421054,0.0,0.0,19,0,19,0,0,0,19,0,0,0,6,1,0,6,0,0,5,0,5,131,21,0,7,5,4,11,0,13,0,12,1,0,0,0,91,1,11
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\iotdb\iotdb-core\datanode\src\main\java\org\apache\iotdb\db\storageengine\dataregion\flush\CompressionRatio.java,org.apache.iotdb.db.storageengine.dataregion.flush.CompressionRatio,class,4,11,7,4,27,1,0,30,5,0.77272725,0.0,0.0,10,3,5,3,0,2,7,0,0,1,11,8,0,9,0,2,7,0,11,117,5,4,4,1,0,12,18,35,4,31,4,0,1,3,123,1,4
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\iotdb\iotdb-core\datanode\src\main\java\org\apache\iotdb\db\queryengine\plan\statement\metadata\ShowChildPathsStatement.java,org.apache.iotdb.db.queryengine.plan.statement.metadata.ShowChildPathsStatement,class,5,6,1,5,4,5,0,2,0,0.25,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,1,0,1,16,3,0,0,0,0,0,0,1,0,1,0,0,0,0,12,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\iotdb\example\udf\src\main\java\org\apache\iotdb\udf\UDAFExample.java,org.apache.iotdb.udf.UDAFExample$AvgState,innerclass,2,2,0,2,3,1,0,7,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,0,0,2,0,0,2,19,1,0,0,0,0,0,2,6,1,4,0,0,0,0,35,8,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\iotdb\integration-test\src\main\java\org\apache\iotdb\it\env\cluster\node\AbstractNodeWrapper.java,org.apache.iotdb.it.env.cluster.node.AbstractNodeWrapper,class,10,20,10,10,71,1,2,99,403,0.9269948,0.0,0.0,31,0,16,5,10,0,26,9,5,0,19,1,0,6,13,0,15,0,57,341,17,6,7,15,0,72,10,51,24,48,4,0,0,1,248,1025,8
