file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\jsoup\src\main\java\org\jsoup\nodes\Document.java,org.jsoup.nodes.Document$QuirksMode,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\jsoup\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,class,20,28,8,20,78,1,0,79,188,0.9416666,0.0,0.0,20,19,8,4,0,8,16,0,0,0,6,6,1,3,0,2,6,0,36,228,27,3,36,5,3,24,50,63,2,44,5,0,2,0,211,17,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\jsoup\src\test\java\org\jsoup\helper\DataUtilTest.java,org.jsoup.helper.DataUtilTest$VaryingReadInputStream,innerclass,1,1,0,1,4,2,0,3,0,0.25,0.0,0.0,4,0,3,0,0,1,4,0,0,0,2,0,0,0,0,2,1,0,2,16,3,0,0,0,0,0,2,2,0,2,0,0,0,0,12,8,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\jsoup\src\main\java\org\jsoup\Connection.java,org.jsoup.Connection$Response,interface,6,6,0,6,11,1,0,0,55,0.0,0.0,0.0,11,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\jsoup\src\main\java\org\jsoup\helper\ChangeNotifyingArrayList.java,org.jsoup.helper.ChangeNotifyingArrayList,class,2,5,3,2,13,4,0,12,78,0.0,0.0,0.0,13,0,12,0,1,0,13,1,0,0,0,0,0,0,0,0,0,0,0,50,8,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1025,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\jsoup\src\test\java\org\jsoup\helper\DataUtilTest.java,org.jsoup.helper.DataUtilTest,class,14,15,1,14,30,2,0,45,435,0.0,0.0,0.0,30,0,26,2,0,2,28,0,0,0,0,0,0,0,0,0,0,0,81,213,2,0,0,0,1,139,3,70,5,58,0,0,1,0,168,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\jsoup\src\main\java\org\jsoup\nodes\Range.java,org.jsoup.nodes.Range,class,4,13,9,4,20,1,0,7,0,0.6136364,0.0,0.0,11,1,10,0,0,1,11,0,0,0,3,2,0,2,0,1,3,0,0,116,15,0,5,0,0,1,4,9,3,8,1,0,2,0,113,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\jsoup\src\main\java\org\jsoup\select\Evaluator.java,org.jsoup.select.Evaluator$IndexEvaluator,innerclass,1,1,0,1,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,8,1033,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\jsoup\src\main\java\org\jsoup\select\Evaluator.java,org.jsoup.select.Evaluator$IsOnlyOfType,innerclass,3,3,0,3,8,2,0,5,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,17,3,1,3,0,0,1,3,4,0,3,2,0,0,0,17,25,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\jsoup\src\main\java\org\jsoup\select\Evaluator.java,org.jsoup.select.Evaluator$ContainsWholeText,innerclass,2,2,0,2,4,2,0,3,0,0.25,0.0,0.0,4,0,3,0,1,0,4,0,0,0,1,0,0,1,0,0,1,0,1,15,3,0,0,0,0,1,1,1,0,1,0,0,0,0,22,25,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\jsoup\src\test\java\org\jsoup\select\CssTest.java,org.jsoup.select.CssTest,class,9,10,1,9,28,1,0,18,0,0.5,0.0,0.0,20,1,19,0,1,0,20,0,0,0,2,1,0,2,0,0,0,0,21,158,0,8,0,0,0,252,40,17,5,16,1,0,0,0,58,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\jsoup\src\main\java\org\jsoup\nodes\Entities.java,org.jsoup.nodes.Entities$CoreCharset,enum,1,1,0,1,3,1,0,2,0,0.0,NaN,NaN,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,2,0,0,0,0,1,0,0,0,9,0,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\jsoup\src\main\java\org\jsoup\internal\ControllableInputStream.java,org.jsoup.internal.ControllableInputStream,class,3,6,3,3,33,3,0,15,2,0.6944445,0.0,0.0,9,2,7,2,0,0,7,0,0,0,8,0,0,8,0,0,3,0,8,88,12,1,3,1,1,4,16,24,4,17,3,0,0,0,94,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\jsoup\src\test\java\org\jsoup\parser\ParserSettingsTest.java,org.jsoup.parser.ParserSettingsTest,class,4,4,0,4,3,1,0,9,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,31,0,0,0,0,0,21,1,9,0,9,0,0,0,0,23,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\jsoup\src\main\java\org\jsoup\safety\Cleaner.java,org.jsoup.safety.Cleaner,class,14,18,4,14,10,1,0,24,13,0.6666667,0.0,0.0,6,0,4,2,0,0,4,0,0,0,1,0,0,1,0,0,1,0,10,100,5,1,2,0,0,3,5,16,0,16,2,0,2,0,164,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\jsoup\src\main\java\org\jsoup\nodes\Element.java,org.jsoup.nodes.Element,class,52,188,136,52,267,6,3,203,9412,0.9414683,0.0,0.0,144,5,123,10,5,6,134,0,1,0,7,3,0,5,0,2,3,0,113,818,160,17,46,3,16,42,46,111,11,89,4,0,2,3,611,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\jsoup\src\main\java\org\jsoup\helper\HttpConnection.java,org.jsoup.helper.HttpConnection,class,16,20,4,16,57,3,0,43,0,0.9070707,0.0,0.0,45,4,41,3,0,1,42,0,0,0,11,9,5,6,0,0,9,0,22,973,44,7,2,1,0,26,6,23,2,16,2,0,4,0,185,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\jsoup\src\main\java\org\jsoup\helper\UrlBuilder.java,org.jsoup.helper.UrlBuilder,class,5,9,4,5,16,1,0,27,4,0.5,0.0,0.0,5,2,0,2,0,3,3,0,0,0,2,0,0,0,0,2,0,0,17,57,3,1,6,2,0,1,3,8,0,6,3,0,0,0,71,16,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\jsoup\src\test\java\org\jsoup\integration\TestServer.java,org.jsoup.integration.TestServer$ServletUrls,innerclass,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,2,0,0,0,2,0,0,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0,5,9,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\jsoup\src\main\java\org\jsoup\select\NodeTraversor.java,org.jsoup.select.NodeTraversor,class,7,15,8,7,34,1,0,14,6,0.0,0.0,0.0,4,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,88,5,6,23,0,2,0,9,22,0,10,4,0,0,0,61,1,0
