file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\jsoup\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,"load/3[java.io.File,java.lang.String,java.lang.String]",false,70,3,4,3,1,1,2,3,1,0,3,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,52,9,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\jsoup\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,"readToByteBuffer/2[java.io.InputStream,int]",false,353,1,9,8,1,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,9,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\jsoup\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,mimeBoundary/0,false,394,1,4,2,2,2,4,8,1,3,0,4,0,0,1,0,0,0,0,1,3,0,1,0,0,0,15,8,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\jsoup\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,"load/4[java.io.File,java.lang.String,java.lang.String,org.jsoup.parser.Parser]",false,88,4,2,1,1,1,2,3,1,0,4,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,53,9,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\jsoup\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,getCharsetFromContentType/1[java.lang.String],false,367,2,9,8,1,3,6,10,3,2,1,6,1,1,0,1,0,0,2,1,3,0,1,0,0,0,31,8,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\jsoup\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,"load/3[java.nio.file.Path,java.lang.String,java.lang.String]",false,103,4,6,4,2,1,2,3,1,0,3,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,53,9,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\jsoup\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,DataUtil/0,true,57,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\jsoup\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,"detectCharset/4[java.io.InputStream,java.lang.String,java.lang.String,org.jsoup.parser.Parser]",false,238,14,21,3,18,24,32,55,1,13,4,32,4,2,1,10,1,1,10,5,27,1,5,0,0,0,65,8,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\jsoup\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,"maybeSkipBom/2[java.io.Reader,org.jsoup.helper.DataUtil.CharsetDoc]",false,338,2,4,3,1,2,2,6,0,1,2,2,0,0,0,1,0,0,0,2,1,0,1,0,0,0,10,8,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\jsoup\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,"load/3[java.io.InputStream,java.lang.String,java.lang.String]",false,176,4,3,1,2,1,2,3,1,0,3,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,37,9,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\jsoup\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,openStream/1[java.nio.file.Path],false,154,1,3,2,1,4,8,13,1,4,1,8,0,0,0,2,0,1,2,3,5,0,2,0,0,0,30,10,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\jsoup\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,"crossStreams/2[java.io.InputStream,java.io.OutputStream]",false,199,1,1,1,0,2,2,7,0,2,2,2,0,0,1,1,0,1,0,2,2,0,1,0,0,0,24,8,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\jsoup\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,"parseInputStream/3[org.jsoup.helper.DataUtil.CharsetDoc,java.lang.String,org.jsoup.parser.Parser]",false,312,6,7,1,6,4,8,21,2,4,3,8,1,1,0,1,2,0,0,0,4,0,2,0,0,0,26,8,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\jsoup\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,"streamParser/4[java.nio.file.Path,java.nio.charset.Charset,java.lang.String,org.jsoup.parser.Parser]",false,142,5,8,3,5,2,5,9,1,4,4,5,3,3,0,1,0,0,0,0,4,0,0,0,0,0,69,9,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\jsoup\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,emptyByteBuffer/0,false,357,0,1,1,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,8,0,false
