file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\kestra\core\src\main\java\io\kestra\core\server\AbstractServiceLivenessTask.java,io.kestra.core.server.AbstractServiceLivenessTask,class,7,10,3,7,17,1,2,23,19,0.7,0.0,0.0,10,0,4,0,6,0,10,2,0,0,5,0,0,4,1,0,3,0,5,63,3,0,2,1,0,10,1,10,3,10,2,0,0,1,104,1025,5
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\kestra\core\src\test\java\io\kestra\core\tasks\templating\TemplatedTaskTest.java,io.kestra.core.tasks.templating.TemplatedTaskTest,class,7,7,0,7,3,1,0,17,0,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,1,0,0,1,0,0,0,0,1,23,0,0,0,0,1,8,0,9,0,10,0,0,0,2,28,0,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\kestra\jdbc\src\test\java\io\kestra\jdbc\repository\AbstractJdbcFlowTopologyRepositoryTest.java,io.kestra.jdbc.repository.AbstractJdbcFlowTopologyRepositoryTest,class,8,9,1,8,2,2,1,19,1,0.5,0.0,0.0,2,0,0,0,1,1,2,0,0,0,2,0,0,1,0,1,0,0,3,21,0,0,0,0,0,16,5,4,0,4,0,0,0,0,17,1025,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\kestra\core\src\main\java\io\kestra\core\tasks\flows\ForEachItem.java,io.kestra.core.tasks.flows.ForEachItem$ForEachItemMergeOutputs,innerclass,11,11,0,11,3,2,0,21,0,0.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,5,25,2,0,0,1,0,5,2,11,3,10,2,0,1,1,39,9,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\kestra\core\src\test\java\io\kestra\core\runners\FlowListenersTest.java,io.kestra.core.runners.FlowListenersTest$Ref,innerclass,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,1,0,1,0,0,0,0,5,9,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\kestra\core\src\main\java\io\kestra\core\models\executions\metrics\MetricAggregation.java,io.kestra.core.models.executions.metrics.MetricAggregation,class,2,3,1,2,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\kestra\jdbc\src\main\java\io\kestra\jdbc\runner\AbstractJdbcExecutionQueuedStorage.java,io.kestra.jdbc.runner.AbstractJdbcExecutionQueuedStorage,class,7,9,2,7,5,2,1,25,0,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,0,1,0,0,0,0,28,2,0,0,0,0,5,1,5,0,7,2,0,0,2,39,1025,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\kestra\jdbc-postgres\src\test\java\io\kestra\runner\postgres\PostgresMultipleConditionStorageTest.java,io.kestra.runner.postgres.PostgresMultipleConditionStorageTest,class,11,11,0,11,3,2,0,3,3,0.77777785,0.0,0.0,3,0,0,0,3,0,3,0,0,0,3,0,0,0,0,3,0,0,0,15,1,0,0,0,0,1,0,0,0,3,0,0,0,0,19,0,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\kestra\cli\src\main\java\io\kestra\cli\commands\plugins\PluginListCommand.java,io.kestra.cli.commands.plugins.PluginListCommand,class,11,13,2,11,3,2,0,10,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,0,1,0,1,0,0,2,18,1,0,1,0,0,6,1,4,1,6,1,0,0,1,28,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\kestra\core\src\main\java\io\kestra\core\validations\validator\JsonStringValidator.java,io.kestra.core.validations.validator.JsonStringValidator,class,8,8,0,8,3,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,16,3,0,1,1,0,1,0,1,1,1,1,0,0,0,31,1,0
