file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\kubernetes-client\junit\kubernetes-server-mock\src\main\java\io\fabric8\kubernetes\client\server\mock\crud\PostHandler.java,io.fabric8.kubernetes.client.server.mock.crud.PostHandler,class,10,12,2,10,9,1,0,37,0,0.16666667,0.0,0.0,3,0,2,1,0,0,2,0,0,0,2,0,0,2,0,0,2,0,3,41,1,0,1,0,0,5,1,8,2,8,1,0,0,0,53,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\kubernetes-client\extensions\knative\model\src\generated\java\io\fabric8\knative\messaging\v1\ChannelSpec.java,io.fabric8.knative.messaging.v1.ChannelSpec,class,35,37,2,35,12,1,0,2,46,0.7708333,0.0,0.0,12,0,12,0,0,0,12,0,0,0,4,0,0,4,0,0,0,0,0,44,6,0,0,0,0,19,0,8,0,4,0,0,0,0,31,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\kubernetes-client\crd-generator\api\src\test\java\io\fabric8\crd\example\cyclic\CyclicListSpec.java,io.fabric8.crd.example.cyclic.CyclicListSpec,class,1,1,0,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\kubernetes-client\kubernetes-tests\src\test\java\io\fabric8\openshift\client\server\mock\ProbeTest.java,io.fabric8.openshift.client.server.mock.ProbeTest,class,10,11,1,10,5,1,0,34,0,0.25,0.0,0.0,4,0,0,1,0,3,3,0,0,0,2,0,0,2,0,0,0,0,0,24,1,0,1,0,0,18,3,3,0,5,0,0,0,0,30,0,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\kubernetes-client\kubernetes-model-generator\openshift-model-operator\src\generated\java\io\fabric8\openshift\api\model\operator\v1\KubeControllerManager.java,io.fabric8.openshift.api.model.operator.v1.KubeControllerManager,class,34,36,2,34,16,1,0,2,88,0.8229167,0.0,0.0,16,0,16,0,0,0,16,0,0,0,6,0,0,6,0,0,0,0,0,60,8,0,0,0,0,30,0,13,0,6,0,0,0,0,42,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\kubernetes-client\kubernetes-model-generator\kubernetes-model-apiextensions\src\generated\java\io\fabric8\kubernetes\api\model\apiextensions\v1beta1\CustomResourceDefinitionStatus.java,io.fabric8.kubernetes.api.model.apiextensions.v1beta1.CustomResourceDefinitionStatus,class,30,34,4,30,12,1,0,2,46,0.7708333,0.0,0.0,12,0,12,0,0,0,12,0,0,0,4,0,0,4,0,0,0,0,0,44,6,0,0,0,0,19,0,9,0,4,0,0,0,0,34,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\kubernetes-client\kubernetes-model-generator\kubernetes-model-core\src\main\java\io\fabric8\kubernetes\api\model\IntOrString.java,io.fabric8.kubernetes.api.model.IntOrString,class,4,103,99,4,10,2,0,2,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,25,4,0,1,0,2,2,0,0,0,0,1,0,0,0,26,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\kubernetes-client\junit\kubernetes-server-mock\src\test\java\io\fabric8\kubernetes\client\server\mock\ExpectationsTest.java,io.fabric8.kubernetes.client.server.mock.ExpectationsTest$Post,innerclass,10,10,0,10,3,1,0,17,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,16,9,3,0,3,0,0,0,0,17,0,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\kubernetes-client\extensions\tekton\model-v1beta1\src\generated\java\io\fabric8\tekton\v1beta1\internal\pipeline\pkg\apis\resource\v1alpha1\ResourceParam.java,io.fabric8.tekton.v1beta1.internal.pipeline.pkg.apis.resource.v1alpha1.ResourceParam,class,32,34,2,32,10,1,0,2,21,0.6666667,0.0,0.0,10,0,10,0,0,0,10,0,0,0,3,0,0,3,0,0,0,0,0,36,5,0,0,0,0,15,0,5,0,3,0,0,0,0,27,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\kubernetes-client\kubernetes-model-generator\kubernetes-model-common\src\test\java\io\fabric8\kubernetes\model\jackson\JsonUnwrappedDeserializerTest.java,io.fabric8.kubernetes.model.jackson.JsonUnwrappedDeserializerTest,class,7,7,0,7,1,1,0,4,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,3,3,0,3,0,0,3,0,0,61,0,0,0,0,2,10,0,6,1,6,0,0,5,0,40,0,0
