file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\kylin\src\core-job\src\main\java\org\apache\kylin\job\handler\AddSegmentHandler.java,org.apache.kylin.job.handler.AddSegmentHandler,class,8,9,1,8,1,2,0,16,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,6,1,0,0,0,0,0,0,1,0,1,0,0,0,0,12,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\kylin\src\core-metadata\src\main\java\org\apache\kylin\metadata\filter\function\LikeMatchers.java,org.apache.kylin.metadata.filter.function.LikeMatchers$TwoPercentSignLikeMatcher,innerclass,1,1,0,1,3,1,0,3,0,0.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,10,1,0,1,0,0,0,2,1,0,1,0,0,0,0,10,9,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\kylin\src\core-metadata\src\main\java\org\apache\kylin\metadata\recommendation\candidate\RawRecItemTable.java,org.apache.kylin.metadata.recommendation.candidate.RawRecItemTable$RecTypeHandler,innerclass,4,4,0,4,5,1,0,7,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,15,3,0,1,0,0,1,0,0,0,0,0,0,0,0,24,9,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\kylin\src\core-job\src\test\java\org\apache\kylin\job\common\SegmentsTest.java,org.apache.kylin.job.common.SegmentsTest,class,11,11,0,11,9,1,0,16,36,0.0,0.0,0.0,9,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,48,155,1,0,0,0,0,4,28,35,0,35,0,0,0,0,36,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\kylin\src\core-metadata\src\main\java\org\apache\kylin\metadata\model\TableExtDesc.java,org.apache.kylin.metadata.model.TableExtDesc$S3RoleCredentialInfo,innerclass,3,3,0,3,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,3,0,3,0,0,0,0,7,9,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\kylin\src\core-common\src\test\java\org\apache\kylin\common\exception\code\ErrorCodeTest.java,org.apache.kylin.common.exception.code.ErrorCodeTest,class,5,5,0,5,1,1,0,10,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,6,0,1,0,1,0,0,0,0,20,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\kylin\src\core-metadata\src\main\java\org\apache\kylin\metadata\model\FunctionDesc.java,org.apache.kylin.metadata.model.FunctionDesc,class,18,38,20,18,114,1,0,107,450,0.9388888,0.0,0.0,45,8,41,4,0,0,42,0,0,0,36,29,28,8,0,0,29,0,41,376,60,4,14,0,7,60,19,74,12,56,4,0,0,1,164,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\kylin\src\datasource-sdk\src\main\java\org\apache\kylin\sdk\datasource\adaptor\SQLDWAdaptor.java,org.apache.kylin.sdk.datasource.adaptor.SQLDWAdaptor,class,2,3,1,2,1,4,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\kylin\src\core-metadata\src\main\java\org\apache\kylin\source\adhocquery\IPushDownRunner.java,org.apache.kylin.source.adhocquery.IPushDownRunner,interface,4,5,1,4,6,1,0,3,15,0.0,0.0,0.0,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,2,0,2,0,0,0,0,59,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\kylin\src\core-common\src\main\java\org\apache\kylin\common\util\OrderedProperties.java,org.apache.kylin.common.util.OrderedProperties$OrderedPropertiesBuilder,innerclass,2,2,0,2,3,1,0,0,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,11,2,0,1,0,1,0,0,2,0,2,0,0,0,0,22,25,0
