file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\leetcode\src\main\java\tree\LowestCommonAncestorBST.java,tree.LowestCommonAncestorBST,class,2,3,1,2,11,1,0,1,1,0.0,NaN,NaN,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,5,0,3,0,2,0,0,0,0,0,3,0,1,0,69,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\leetcode\src\main\java\greedy\MaximumLengthOfPairChain.java,greedy.MaximumLengthOfPairChain,class,2,3,1,2,5,1,0,4,1,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,18,1,1,1,0,0,0,17,5,0,6,2,0,0,1,86,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\leetcode\src\main\java\design\AutocompleteSystem.java,design.AutocompleteSystem$Trie,innerclass,2,2,0,2,17,1,0,20,18,0.61111116,NaN,NaN,9,0,1,8,0,0,1,0,0,0,2,0,0,2,0,0,0,0,1,61,7,0,6,0,1,1,7,11,4,11,2,0,0,2,49,2,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\leetcode\src\main\java\dynamic_programming\LengthofLongestFibonacciSubsequence.java,dynamic_programming.LengthofLongestFibonacciSubsequence,class,2,3,1,2,8,1,0,9,1,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,30,2,2,1,0,0,0,18,10,4,8,4,0,0,0,91,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\leetcode\src\main\java\heap\MeetingRoomsII.java,heap.MeetingRoomsII$Interval,innerclass,0,0,0,0,2,1,0,0,0,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,2,0,0,0,0,2,0,0,0,12,0,0,0,0,0,0,2,4,0,2,0,0,0,0,5,9,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\leetcode\src\main\java\dynamic_programming\PalindromeRemoval.java,dynamic_programming.PalindromeRemoval,class,2,3,1,2,8,1,0,4,0,0.0,0.0,0.0,3,1,2,1,0,0,2,0,0,0,1,0,0,0,0,1,0,0,1,25,4,1,2,0,2,0,15,6,6,4,5,0,0,0,58,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\leetcode\src\main\java\bit_manipulation\BinaryNumberWithAlternatingBits.java,bit_manipulation.BinaryNumberWithAlternatingBits,class,1,2,1,1,10,1,0,2,1,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,20,2,2,2,0,5,0,13,7,2,5,2,0,0,0,40,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\leetcode\src\main\java\two_pointers\SmallestRange.java,two_pointers.SmallestRange,class,3,4,1,3,7,1,0,14,1,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,45,2,2,1,0,2,1,22,20,6,16,2,0,1,1,95,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\leetcode\src\main\java\backtracking\SubsetsII.java,backtracking.SubsetsII,class,2,3,1,2,6,1,0,6,1,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,25,1,2,2,0,0,0,9,13,1,10,2,0,0,0,44,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\leetcode\src\main\java\divide_and_conquer\SearchA2DMatrix.java,divide_and_conquer.SearchA2DMatrix,class,2,3,1,2,8,1,0,2,1,0.0,NaN,NaN,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,3,1,2,0,0,0,31,5,1,5,4,0,0,0,52,1,0
