file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\leetcode\src\main\java\tree\LowestCommonAncestorBST.java,tree.LowestCommonAncestorBST,"lowestCommonAncestor/3[tree.LowestCommonAncestorBST.TreeNode,tree.LowestCommonAncestorBST.TreeNode,tree.LowestCommonAncestorBST.TreeNode]",false,28,2,2,1,1,10,1,7,5,0,3,1,1,0,0,3,0,2,0,0,0,0,3,0,0,0,8,2,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\leetcode\src\main\java\tree\LowestCommonAncestorBST.java,tree.LowestCommonAncestorBST,main/1[java.lang.String[]],false,26,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\leetcode\src\main\java\greedy\MaximumLengthOfPairChain.java,greedy.MaximumLengthOfPairChain,main/1[java.lang.String[]],false,30,2,2,0,2,1,2,4,0,1,1,2,1,1,0,0,0,0,0,6,1,0,0,0,0,0,11,9,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\leetcode\src\main\java\greedy\MaximumLengthOfPairChain.java,greedy.MaximumLengthOfPairChain,findLongestChain/1[int[][]],false,35,1,1,1,0,4,2,12,1,5,1,2,0,0,1,1,0,0,0,11,4,0,2,0,0,1,7,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\leetcode\src\main\java\design\AutocompleteSystem.java,design.AutocompleteSystem$Trie,"update/3[int,java.lang.String,int]",false,250,2,6,2,4,3,6,11,2,4,3,6,2,2,0,1,0,1,1,1,4,2,1,0,0,0,15,2,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\leetcode\src\main\java\design\AutocompleteSystem.java,design.AutocompleteSystem$Trie,"updateHotText/2[design.AutocompleteSystem.Trie,design.AutocompleteSystem.HotText]",false,269,2,5,1,4,1,5,4,0,0,2,5,1,1,0,0,0,0,0,1,0,1,0,0,0,0,7,2,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\leetcode\src\main\java\design\AutocompleteSystem.java,design.AutocompleteSystem$Trie,insert/1[java.lang.String],false,213,1,3,2,1,2,2,5,0,0,1,2,1,1,0,1,0,0,0,1,0,0,1,0,0,0,8,2,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\leetcode\src\main\java\design\AutocompleteSystem.java,design.AutocompleteSystem$Trie,getSubtrie/1[char],false,292,1,1,1,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\leetcode\src\main\java\design\AutocompleteSystem.java,design.AutocompleteSystem$Trie,getTop3HotText/0,false,204,2,3,1,2,2,6,7,1,2,0,6,1,1,0,1,0,0,0,1,1,0,1,0,0,1,11,2,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\leetcode\src\main\java\design\AutocompleteSystem.java,design.AutocompleteSystem$Trie,"add/3[int,java.lang.String,int]",false,219,1,4,2,2,3,4,12,0,2,3,4,1,0,0,1,0,0,0,1,3,1,2,0,0,0,7,2,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\leetcode\src\main\java\design\AutocompleteSystem.java,design.AutocompleteSystem$Trie,update/1[java.lang.String],false,236,1,3,2,1,2,2,5,0,0,1,2,1,3,0,1,0,0,0,1,0,0,1,0,0,0,9,2,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\leetcode\src\main\java\design\AutocompleteSystem.java,design.AutocompleteSystem$Trie,getHotText/0,false,195,1,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\leetcode\src\main\java\design\AutocompleteSystem.java,design.AutocompleteSystem$Trie,containsChild/1[char],false,282,0,1,1,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\leetcode\src\main\java\dynamic_programming\LengthofLongestFibonacciSubsequence.java,dynamic_programming.LengthofLongestFibonacciSubsequence,lenLongestFibSubseq/1[int[]],false,39,1,1,1,0,7,7,24,2,7,1,7,0,0,2,1,0,0,0,12,9,4,4,0,0,0,14,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\leetcode\src\main\java\dynamic_programming\LengthofLongestFibonacciSubsequence.java,dynamic_programming.LengthofLongestFibonacciSubsequence,main/1[java.lang.String[]],false,34,2,2,0,2,1,2,4,0,1,1,2,1,1,0,0,0,0,0,6,1,0,0,0,0,0,7,9,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\leetcode\src\main\java\heap\MeetingRoomsII.java,heap.MeetingRoomsII$Interval,Interval/0,true,24,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,3,0,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\leetcode\src\main\java\heap\MeetingRoomsII.java,heap.MeetingRoomsII$Interval,"Interval/2[int,int]",true,29,0,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\leetcode\src\main\java\dynamic_programming\PalindromeRemoval.java,dynamic_programming.PalindromeRemoval,"dp/3[int,int,int[]]",false,35,2,3,2,1,6,2,14,3,2,3,2,1,0,1,2,0,2,0,7,4,5,5,0,0,0,6,2,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\leetcode\src\main\java\dynamic_programming\PalindromeRemoval.java,dynamic_programming.PalindromeRemoval,minimumMoves/1[int[]],false,30,2,2,1,1,1,1,4,1,0,1,1,1,1,0,0,0,0,0,2,1,1,0,0,0,0,6,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\leetcode\src\main\java\dynamic_programming\PalindromeRemoval.java,dynamic_programming.PalindromeRemoval,main/1[java.lang.String[]],false,23,2,2,0,2,1,2,4,0,1,1,2,1,2,0,0,0,0,0,6,1,0,0,0,0,0,5,9,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\leetcode\src\main\java\bit_manipulation\BinaryNumberWithAlternatingBits.java,bit_manipulation.BinaryNumberWithAlternatingBits,hasAlternatingBits/1[int],false,16,0,1,1,0,9,0,15,2,5,1,0,0,0,2,2,0,5,0,12,7,2,2,0,0,0,10,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\leetcode\src\main\java\bit_manipulation\BinaryNumberWithAlternatingBits.java,bit_manipulation.BinaryNumberWithAlternatingBits,main/1[java.lang.String[]],false,12,1,2,0,2,1,2,3,0,0,1,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,7,9,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\leetcode\src\main\java\two_pointers\SmallestRange.java,two_pointers.SmallestRange,main/1[java.lang.String[]],false,41,2,2,0,2,1,4,11,0,5,1,4,1,1,0,0,0,0,1,15,5,1,0,0,0,0,12,9,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\leetcode\src\main\java\two_pointers\SmallestRange.java,two_pointers.SmallestRange,smallestRange/1[java.util.List<java.util.List<java.lang.Integer>>],false,53,2,2,1,1,6,10,25,2,11,1,10,0,0,2,1,0,2,0,7,15,5,2,0,0,1,14,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\leetcode\src\main\java\backtracking\SubsetsII.java,backtracking.SubsetsII,main/1[java.lang.String[]],false,24,2,2,0,2,1,1,4,0,2,1,1,1,1,0,0,0,0,0,3,2,0,0,0,0,0,9,9,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\leetcode\src\main\java\backtracking\SubsetsII.java,backtracking.SubsetsII,subsetsWithDup/1[int[]],false,29,1,1,1,0,5,5,19,1,8,1,5,0,0,2,2,0,0,0,6,11,1,2,0,0,0,14,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\leetcode\src\main\java\divide_and_conquer\SearchA2DMatrix.java,divide_and_conquer.SearchA2DMatrix,"searchMatrix/2[int[][],int]",false,36,1,1,1,0,7,0,12,3,4,2,0,0,0,1,2,0,0,0,5,4,1,4,0,0,0,9,2,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\leetcode\src\main\java\divide_and_conquer\SearchA2DMatrix.java,divide_and_conquer.SearchA2DMatrix,main/1[java.lang.String[]],false,24,2,2,0,2,1,2,4,0,1,1,2,1,1,0,0,0,0,0,26,1,0,0,0,0,0,10,9,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\leetcode\src\main\java\array\CardFilipGame.java,array.CardFilipGame,main/1[java.lang.String[]],false,37,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\leetcode\src\main\java\array\CardFilipGame.java,array.CardFilipGame,"flipgame/2[int[],int[]]",false,39,1,0,0,0,7,2,21,2,4,2,2,0,0,3,2,0,0,0,3,5,0,3,0,0,0,8,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\leetcode\src\main\java\design\WordDictionary.java,design.WordDictionary,addWord/1[java.lang.String],false,48,1,2,1,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\leetcode\src\main\java\design\WordDictionary.java,design.WordDictionary,WordDictionary/0,true,43,1,2,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\leetcode\src\main\java\design\WordDictionary.java,design.WordDictionary,search/1[java.lang.String],false,56,1,2,1,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\leetcode\src\main\java\design\WordDictionary.java,design.WordDictionary,main/1[java.lang.String[]],false,31,1,3,0,3,1,3,10,0,1,1,3,2,1,0,0,0,0,7,0,1,0,0,0,0,0,8,9,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\leetcode\src\main\java\hashing\SubstringConcatenationOfWords.java,hashing.SubstringConcatenationOfWords,main/1[java.lang.String[]],false,38,1,2,0,2,1,2,4,0,1,1,2,1,1,0,0,0,0,5,0,1,0,0,0,0,0,9,9,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\leetcode\src\main\java\hashing\SubstringConcatenationOfWords.java,hashing.SubstringConcatenationOfWords,"findSubstring/2[java.lang.String,java.lang.String[]]",false,44,0,1,1,0,9,7,28,3,9,2,7,0,0,3,1,0,3,0,7,11,7,3,0,0,0,14,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\leetcode\src\main\java\array\MinimumSwapsToGroupAll1Together.java,array.MinimumSwapsToGroupAll1Together,main/1[java.lang.String[]],false,24,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\leetcode\src\main\java\array\MinimumSwapsToGroupAll1Together.java,array.MinimumSwapsToGroupAll1Together,minSwaps/1[int[]],false,28,1,0,0,0,9,1,36,2,8,1,1,0,0,3,5,0,0,0,14,11,2,2,0,0,0,9,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\leetcode\src\main\java\tree\ConvertBSTToGreaterTree.java,tree.ConvertBSTToGreaterTree$TreeNode,TreeNode/1[int],true,21,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\leetcode\src\main\java\array\LargestTimeForGivenDigits.java,array.LargestTimeForGivenDigits,largestTimeFromDigits/1[int[]],false,30,1,1,1,0,16,0,24,1,7,1,0,0,0,4,7,0,2,4,12,9,7,5,0,0,0,12,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\leetcode\src\main\java\array\LargestTimeForGivenDigits.java,array.LargestTimeForGivenDigits,main/1[java.lang.String[]],false,25,2,2,0,2,1,2,4,0,1,1,2,1,1,0,0,0,0,0,4,1,0,0,0,0,0,8,9,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\leetcode\src\main\java\linked_list\MergeTwoSortedList.java,linked_list.MergeTwoSortedList$ListNode,ListNode/1[int],true,12,0,1,1,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\leetcode\src\main\java\dynamic_programming\MinimumDistanceToTypeAWordUsingTwoFingers.java,dynamic_programming.MinimumDistanceToTypeAWordUsingTwoFingers,main/1[java.lang.String[]],false,45,1,2,0,2,1,2,3,0,0,1,2,1,2,0,0,0,0,1,0,0,0,0,0,0,0,11,9,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\leetcode\src\main\java\dynamic_programming\MinimumDistanceToTypeAWordUsingTwoFingers.java,dynamic_programming.MinimumDistanceToTypeAWordUsingTwoFingers,minimumDistance/1[java.lang.String],false,49,3,2,1,1,10,4,28,1,11,1,4,1,1,7,2,0,0,0,13,16,5,5,0,0,0,14,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\leetcode\src\main\java\dynamic_programming\MinimumDistanceToTypeAWordUsingTwoFingers.java,dynamic_programming.MinimumDistanceToTypeAWordUsingTwoFingers,"dp/3[int,int,java.lang.String]",false,84,1,3,2,1,4,4,14,3,3,3,4,1,0,0,3,0,0,0,8,5,12,3,0,0,0,7,2,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\leetcode\src\main\java\array\LargestNumberAtLeastTwice.java,array.LargestNumberAtLeastTwice,dominantIndex/1[int[]],false,38,1,0,0,0,6,0,16,2,4,1,0,0,0,2,1,0,1,0,5,6,1,2,0,0,0,6,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\leetcode\src\main\java\array\LargestNumberAtLeastTwice.java,array.LargestNumberAtLeastTwice,main/1[java.lang.String[]],false,36,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\leetcode\src\main\java\dynamic_programming\OnesAndZeroes.java,dynamic_programming.OnesAndZeroes,"findMaxForm/3[java.lang.String[],int,int]",false,40,1,1,1,0,8,2,25,1,7,3,2,0,0,4,1,0,0,0,15,9,11,4,0,0,0,13,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\leetcode\src\main\java\dynamic_programming\OnesAndZeroes.java,dynamic_programming.OnesAndZeroes,main/1[java.lang.String[]],false,35,1,2,0,2,1,2,4,0,1,1,2,1,1,0,0,0,0,3,2,1,0,0,0,0,0,6,9,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\leetcode\src\main\java\array\PascalsTriangle.java,array.PascalsTriangle,getRow/1[int],false,21,0,1,1,0,6,6,23,4,6,1,6,0,0,2,3,0,0,0,18,8,3,3,0,0,0,10,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\leetcode\src\main\java\array\PascalsTriangle.java,array.PascalsTriangle,main/1[java.lang.String[]],false,17,1,2,0,2,1,2,3,0,0,1,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,5,9,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\leetcode\src\main\java\tree\ZigZagTraversal.java,tree.ZigZagTraversal$TreeNode,TreeNode/1[int],true,22,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\leetcode\src\main\java\dynamic_programming\DecodeWays.java,dynamic_programming.DecodeWays,numDecodings/1[java.lang.String],false,25,1,1,1,0,8,5,20,2,5,1,5,0,0,2,1,0,0,1,11,8,5,5,0,0,0,11,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\leetcode\src\main\java\dynamic_programming\DecodeWays.java,dynamic_programming.DecodeWays,main/1[java.lang.String[]],false,21,1,2,0,2,1,2,3,0,0,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,7,9,0,true
