file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\mall4cloud\mall4cloud-search\src\main\java\com\mall4j\cloud\search\bo\CategoryBO.java,com.mall4j.cloud.search.bo.CategoryBO,class,1,2,1,1,23,1,0,0,187,0.86956507,0.0,0.0,23,0,23,0,0,0,23,0,0,0,11,0,0,11,0,0,0,0,0,82,12,0,0,0,0,14,0,11,2,11,0,0,0,0,38,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\mall4cloud\mall4cloud-common\mall4cloud-common-security\src\main\java\com\mall4j\cloud\common\security\adapter\DefaultAuthConfigAdapter.java,com.mall4j.cloud.common.security.adapter.DefaultAuthConfigAdapter,class,3,5,2,3,3,1,0,6,1,0.4166667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,4,4,0,4,0,0,4,0,2,20,2,0,0,0,0,5,0,5,1,5,0,0,0,0,45,1,1
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\mall4cloud\mall4cloud-product\src\main\java\com\mall4j\cloud\product\model\Attr.java,com.mall4j.cloud.product.model.Attr,class,2,8,6,2,15,2,0,0,63,0.82500005,0.0,0.0,15,0,15,0,0,0,15,0,0,0,8,1,0,8,0,0,1,0,0,55,8,0,0,0,0,10,1,8,2,8,0,0,0,0,35,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\mall4cloud\mall4cloud-product\src\main\java\com\mall4j\cloud\product\service\SkuStockService.java,com.mall4j.cloud.product.service.SkuStockService,interface,4,6,2,4,7,1,0,0,21,0.0,0.0,0.0,7,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\mall4cloud\mall4cloud-search\src\main\java\com\mall4j\cloud\search\config\CanalGlueAutoConfiguration.java,com.mall4j.cloud.search.config.CanalGlueAutoConfiguration,class,22,22,0,22,8,1,0,12,26,0.75,0.0,0.0,8,0,8,0,0,0,8,0,0,0,1,0,0,1,0,0,0,0,6,34,6,0,0,0,0,2,0,7,0,11,0,0,0,2,40,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\mall4cloud\mall4cloud-auth\src\main\java\com\mall4j\cloud\auth\adapter\CaptchaCacheServiceRedisImpl.java,com.mall4j.cloud.auth.adapter.CaptchaCacheServiceRedisImpl,class,2,2,0,2,5,1,0,4,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,17,3,0,0,0,0,1,0,0,0,0,0,0,0,0,16,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\mall4cloud\mall4cloud-product\src\main\java\com\mall4j\cloud\product\mapper\AttrMapper.java,com.mall4j.cloud.product.mapper.AttrMapper,interface,5,7,2,5,8,1,0,0,28,0.0,0.0,0.0,8,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,8,0,0,0,0,0,0,0,0,28,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\mall4cloud\mall4cloud-api\mall4cloud-api-search\src\main\java\com\mall4j\cloud\api\vo\EsPageVO.java,com.mall4j.cloud.api.vo.EsPageVO,class,2,6,4,2,7,1,0,0,3,0.5714286,0.0,0.0,7,0,7,0,0,0,7,0,0,0,3,0,0,3,0,0,0,0,0,26,4,0,0,0,0,7,0,3,2,3,0,0,0,0,15,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\mall4cloud\mall4cloud-product\src\main\java\com\mall4j\cloud\product\model\SkuStock.java,com.mall4j.cloud.product.model.SkuStock,class,1,2,1,1,11,2,0,0,25,0.7727273,0.0,0.0,11,0,11,0,0,0,11,0,0,0,6,1,0,6,0,0,1,0,0,41,6,0,0,0,0,8,1,6,2,6,0,0,0,0,32,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\mall4cloud\mall4cloud-leaf\src\main\java\com\mall4j\cloud\leaf\common\Status.java,com.mall4j.cloud.leaf.common.Status,enum,0,1,1,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
