file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\mall4cloud\mall4cloud-search\src\main\java\com\mall4j\cloud\search\bo\CategoryBO.java,com.mall4j.cloud.search.bo.CategoryBO,getParentId/0,false,85,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\mall4cloud\mall4cloud-search\src\main\java\com\mall4j\cloud\search\bo\CategoryBO.java,com.mall4j.cloud.search.bo.CategoryBO,getCategoryId/0,false,69,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\mall4cloud\mall4cloud-search\src\main\java\com\mall4j\cloud\search\bo\CategoryBO.java,com.mall4j.cloud.search.bo.CategoryBO,setName/1[java.lang.String],false,97,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\mall4cloud\mall4cloud-search\src\main\java\com\mall4j\cloud\search\bo\CategoryBO.java,com.mall4j.cloud.search.bo.CategoryBO,getDesc/0,false,101,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\mall4cloud\mall4cloud-search\src\main\java\com\mall4j\cloud\search\bo\CategoryBO.java,com.mall4j.cloud.search.bo.CategoryBO,getImgUrl/0,false,133,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\mall4cloud\mall4cloud-search\src\main\java\com\mall4j\cloud\search\bo\CategoryBO.java,com.mall4j.cloud.search.bo.CategoryBO,getStatus/0,false,117,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\mall4cloud\mall4cloud-search\src\main\java\com\mall4j\cloud\search\bo\CategoryBO.java,com.mall4j.cloud.search.bo.CategoryBO,setSeq/1[java.lang.Integer],false,153,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\mall4cloud\mall4cloud-search\src\main\java\com\mall4j\cloud\search\bo\CategoryBO.java,com.mall4j.cloud.search.bo.CategoryBO,getShopId/0,false,77,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\mall4cloud\mall4cloud-search\src\main\java\com\mall4j\cloud\search\bo\CategoryBO.java,com.mall4j.cloud.search.bo.CategoryBO,setParentId/1[java.lang.Long],false,89,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\mall4cloud\mall4cloud-search\src\main\java\com\mall4j\cloud\search\bo\CategoryBO.java,com.mall4j.cloud.search.bo.CategoryBO,getPath/0,false,109,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\mall4cloud\mall4cloud-search\src\main\java\com\mall4j\cloud\search\bo\CategoryBO.java,com.mall4j.cloud.search.bo.CategoryBO,setLevel/1[java.lang.Integer],false,145,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\mall4cloud\mall4cloud-search\src\main\java\com\mall4j\cloud\search\bo\CategoryBO.java,com.mall4j.cloud.search.bo.CategoryBO,setDesc/1[java.lang.String],false,105,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\mall4cloud\mall4cloud-search\src\main\java\com\mall4j\cloud\search\bo\CategoryBO.java,com.mall4j.cloud.search.bo.CategoryBO,setPath/1[java.lang.String],false,113,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\mall4cloud\mall4cloud-search\src\main\java\com\mall4j\cloud\search\bo\CategoryBO.java,com.mall4j.cloud.search.bo.CategoryBO,setImgUrl/1[java.lang.String],false,137,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\mall4cloud\mall4cloud-search\src\main\java\com\mall4j\cloud\search\bo\CategoryBO.java,com.mall4j.cloud.search.bo.CategoryBO,toString/0,false,158,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,12,0,0,2,0,0,0,0,15,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\mall4cloud\mall4cloud-search\src\main\java\com\mall4j\cloud\search\bo\CategoryBO.java,com.mall4j.cloud.search.bo.CategoryBO,setShopId/1[java.lang.Long],false,81,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\mall4cloud\mall4cloud-search\src\main\java\com\mall4j\cloud\search\bo\CategoryBO.java,com.mall4j.cloud.search.bo.CategoryBO,getName/0,false,93,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
