file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\markor\app\src\main\java\net\gsantner\markor\frontend\filesearch\FileSearchResultSelectorDialog.java,net.gsantner.markor.frontend.filesearch.FileSearchResultSelectorDialog$ExpandableSearchResultsListAdapter,innerclass,11,11,0,11,24,1,0,14,145,0.78947365,0.0,0.0,19,0,19,0,0,0,19,0,0,0,2,0,1,1,0,0,2,0,1,85,14,0,2,0,0,4,6,13,1,9,1,0,0,0,55,10,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\markor\app\src\main\java\net\gsantner\opoc\util\GsContextUtils.java,net.gsantner.opoc.util.GsContextUtils$DoTouchView,innerclass,1,1,0,1,2,1,0,3,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,11,0,0,0,0,0,0,6,2,0,1,0,0,0,0,22,9,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\markor\app\src\main\java\net\gsantner\opoc\util\GsFileUtils.java,net.gsantner.opoc.util.GsFileUtils$Anonymous1,anonymous,0,0,0,0,2,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,9,-1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\markor\app\src\main\java\net\gsantner\markor\activity\DocumentActivity.java,net.gsantner.markor.activity.DocumentActivity,class,31,40,9,31,87,4,0,111,155,0.88815784,0.0,0.0,19,4,12,3,4,0,16,0,0,1,8,4,1,7,0,0,4,0,22,266,15,1,20,2,8,13,18,44,3,41,4,0,0,5,157,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\markor\app\src\main\java\net\gsantner\markor\ApplicationObject.java,net.gsantner.markor.ApplicationObject,class,5,36,31,5,4,2,0,3,0,0.6666667,0.0,0.0,3,2,3,0,0,0,3,0,0,0,4,4,0,4,0,0,2,0,0,22,2,0,0,1,0,1,0,4,0,4,1,0,0,0,19,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\markor\app\src\main\java\net\gsantner\markor\activity\MainActivity.java,net.gsantner.markor.activity.MainActivity,class,41,50,9,41,82,5,0,130,232,0.8779762,0.0,0.0,28,0,19,3,6,0,25,0,0,0,11,1,1,10,0,0,0,0,19,369,33,0,28,5,0,18,25,43,4,35,4,2,1,8,195,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\markor\app\thirdparty\java\other\de\stanetz\jpencconverter\JavaPasswordbasedCryption.java,other.de.stanetz.jpencconverter.JavaPasswordbasedCryption,class,6,11,5,6,20,4,0,22,40,0.77777773,0.0,0.0,12,3,8,4,0,0,8,0,0,0,3,1,1,2,0,0,3,0,15,127,11,0,3,3,0,10,10,27,10,23,2,0,2,0,163,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\markor\app\src\main\java\net\gsantner\markor\activity\DocumentShareIntoFragment.java,net.gsantner.markor.activity.DocumentShareIntoFragment$ShareIntoImportOptionsFragment$Anonymous2,anonymous,4,4,0,4,6,1,0,7,1,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,1,27,0,0,0,0,0,0,0,8,0,3,3,0,0,1,29,-1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\markor\app\src\main\java\net\gsantner\markor\activity\DocumentShareIntoFragment.java,net.gsantner.markor.activity.DocumentShareIntoFragment$ShareIntoImportOptionsFragment$Anonymous1,anonymous,2,2,0,2,2,1,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,2,0,0,0,0,0,0,19,-1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\markor\app\src\main\java\net\gsantner\opoc\util\GsContextUtils.java,net.gsantner.opoc.util.GsContextUtils,class,94,146,52,94,619,1,1,435,11408,0.98337936,0.0,0.0,152,7,148,3,1,0,149,0,0,0,19,19,15,0,4,0,14,0,66,1988,178,29,165,73,81,228,177,406,57,305,6,1,2,8,1009,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\markor\app\thirdparty-lib-src\QuadFlask-colorpicker\src\main\java\com\flask\colorpicker\renderer\FlowerColorWheelRenderer.java,com.flask.colorpicker.renderer.FlowerColorWheelRenderer,class,6,7,1,6,5,2,0,17,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,0,0,3,0,0,0,0,5,35,0,2,1,0,9,0,19,23,26,20,3,0,0,0,41,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\markor\app\src\main\java\net\gsantner\markor\format\wikitext\WikitextTextConverter.java,net.gsantner.markor.format.wikitext.WikitextTextConverter,class,9,11,2,9,23,2,0,49,45,0.0,0.0,0.0,10,0,1,8,1,0,2,0,0,0,0,0,0,0,0,0,0,0,10,104,10,3,3,2,1,44,8,26,6,31,4,0,0,8,128,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\markor\app\thirdparty-lib-src\QuadFlask-colorpicker\src\main\java\com\flask\colorpicker\slider\LightnessSlider.java,com.flask.colorpicker.slider.LightnessSlider,class,10,12,2,10,11,3,0,18,20,0.8,0.0,0.0,8,0,5,0,3,0,8,0,0,0,5,0,0,5,0,0,0,0,6,47,0,1,2,0,1,0,9,13,5,10,1,0,0,0,40,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\markor\app\src\main\java\net\gsantner\markor\format\asciidoc\AsciidocReplacePatternGenerator.java,net.gsantner.markor.format.asciidoc.AsciidocReplacePatternGenerator,class,4,5,1,4,7,1,0,5,0,0.8055556,0.0,0.0,6,6,6,0,0,0,6,0,0,0,12,12,12,0,0,0,12,0,14,51,6,1,0,0,0,29,1,20,7,20,1,0,0,0,83,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\markor\app\src\main\java\net\gsantner\markor\format\todotxt\TodoTxtActionButtons.java,net.gsantner.markor.format.todotxt.TodoTxtActionButtons$Anonymous1,anonymous,2,2,0,2,1,1,0,8,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7,-1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\markor\app\src\main\java\net\gsantner\opoc\util\GsContextUtils.java,net.gsantner.opoc.util.GsContextUtils$ResType,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\markor\app\thirdparty-lib-src\QuadFlask-colorpicker\src\main\java\com\flask\colorpicker\CircleColorDrawable.java,com.flask.colorpicker.CircleColorDrawable,class,5,6,1,5,4,2,0,14,6,0.75,0.0,0.0,4,0,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,4,27,0,0,0,0,0,0,8,6,7,6,0,0,0,0,21,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\markor\app\src\main\java\net\gsantner\markor\activity\openeditor\OpenEditorActivity.java,net.gsantner.markor.activity.openeditor.OpenEditorActivity,class,7,10,3,7,3,4,3,6,1,0.0,0.0,0.0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,1,0,0,0,1,1,0,1,1,0,0,0,21,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\markor\app\src\main\java\net\gsantner\markor\format\todotxt\TodoTxtFilter.java,net.gsantner.markor.format.todotxt.TodoTxtFilter$SttFilterKey,innerclass,0,0,0,0,1,1,0,0,0,0.0,-1.0,-1.0,1,0,0,1,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,10,0,0,0,0,0,0,0,3,0,3,0,0,0,0,9,9,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\markor\app\src\main\java\net\gsantner\opoc\model\GsPropertyBackend.java,net.gsantner.opoc.model.GsPropertyBackend,interface,2,4,2,2,16,1,0,0,120,0.0,0.0,0.0,16,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,4,0,0,0,0,0,0,0,0,20,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\markor\app\src\main\java\net\gsantner\markor\model\AppSettings.java,net.gsantner.markor.model.AppSettings,class,21,82,61,21,243,2,0,100,11370,0.981725,0.0,0.0,152,1,151,1,0,0,151,0,0,1,18,14,1,17,0,0,13,0,37,756,154,5,15,0,3,64,48,68,30,66,2,0,0,2,328,1,0
