file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\quarkus\core\deployment\src\main\java\io\quarkus\deployment\builditem\BytecodeRecorderConstantDefinitionBuildItem.java,io.quarkus.deployment.builditem.BytecodeRecorderConstantDefinitionBuildItem,class,4,4,0,4,2,3,0,1,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,20,0,0,0,0,0,0,0,1,0,1,0,0,1,0,49,17,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\quarkus\core\builder\src\main\java\io\quarkus\builder\Json.java,io.quarkus.builder.Json$JsonArrayBuilder,innerclass,4,4,0,4,19,2,0,13,58,0.61538464,0.0,0.0,13,0,4,1,1,7,12,0,0,0,1,0,0,1,0,0,1,0,1,68,10,1,2,0,0,0,2,5,0,5,2,0,0,0,42,9,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\quarkus\core\deployment\src\main\java\io\quarkus\deployment\ide\IdeProcessor.java,io.quarkus.deployment.ide.IdeProcessor$ProcessInfo,innerclass,0,0,0,0,13,1,0,1,0,0.5238095,0.0,0.0,7,0,4,3,0,0,4,0,0,0,3,0,0,3,0,0,3,0,0,42,8,2,2,0,0,0,0,3,0,3,3,0,0,0,18,10,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\quarkus\core\deployment\src\main\java\io\quarkus\deployment\builditem\nativeimage\ReflectiveHierarchyBuildItem.java,io.quarkus.deployment.builditem.nativeimage.ReflectiveHierarchyBuildItem$IgnoreAllowListedPredicate,innerclass,2,2,0,2,1,1,0,2,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,6,1,0,0,0,0,0,0,1,0,1,0,0,0,0,15,9,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\quarkus\core\launcher\src\main\java\io\quarkus\launcher\JBangIntegration.java,io.quarkus.launcher.JBangIntegration,class,3,4,1,3,9,1,0,31,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,10,78,2,3,1,1,0,14,3,12,2,12,3,1,0,0,44,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\quarkus\core\runtime\src\main\java\io\quarkus\runtime\configuration\DisableableConfigSource.java,io.quarkus.runtime.configuration.DisableableConfigSource$Anonymous1,anonymous,0,0,0,0,4,1,0,3,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\quarkus\devtools\gradle\gradle-model\src\main\java\io\quarkus\gradle\tooling\dependency\ExtensionDependency.java,io.quarkus.gradle.tooling.dependency.ExtensionDependency,class,7,16,9,7,22,1,0,16,9,0.70666665,0.0,0.0,15,0,14,1,0,0,14,0,0,0,5,0,0,5,0,0,4,0,5,67,15,1,4,0,0,4,0,7,1,11,2,0,0,4,46,1025,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\quarkus\core\deployment\src\main\java\io\quarkus\deployment\builditem\DevServicesAdditionalConfigBuildItem.java,io.quarkus.deployment.builditem.DevServicesAdditionalConfigBuildItem$DevServicesAdditionalConfigProvider,interface,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\quarkus\core\deployment\src\main\java\io\quarkus\deployment\builditem\RunTimeConfigBuilderBuildItem.java,io.quarkus.deployment.builditem.RunTimeConfigBuilderBuildItem,class,1,1,0,1,3,3,0,1,1,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,12,1,0,0,0,0,0,0,1,0,1,0,0,0,0,17,17,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\quarkus\core\deployment\src\main\java\io\quarkus\deployment\console\ConsoleStateManager.java,io.quarkus.deployment.console.ConsoleStateManager,class,13,19,6,13,50,1,0,73,83,0.86666673,0.0,0.0,15,5,6,7,0,2,8,0,0,0,7,2,1,5,0,1,2,0,17,310,12,8,10,0,4,49,8,30,10,26,4,4,2,12,108,1,0
