file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\questdb\core\src\main\java\io\questdb\cutlass\auth\AuthUtils.java,io.questdb.cutlass.auth.AuthUtils,class,4,7,3,4,23,1,0,36,8,0.86,0.0,0.0,5,5,4,1,0,0,4,0,0,0,10,10,7,3,0,0,10,0,10,129,9,3,7,5,2,16,22,41,7,39,4,0,0,2,117,17,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\questdb\core\src\main\java\io\questdb\griffin\engine\functions\cast\CastBooleanToByteFunctionFactory.java,io.questdb.griffin.engine.functions.cast.CastBooleanToByteFunctionFactory$Func,innerclass,2,2,0,2,2,3,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\questdb\core\src\test\java\io\questdb\test\griffin\JoinTest.java,io.questdb.test.griffin.JoinTest,class,10,11,1,10,187,2,0,65,15931,0.0,0.0,0.0,179,0,154,25,0,0,154,0,0,0,0,0,0,0,0,0,0,0,6,1651,0,3,0,9,1,3952,110,131,277,120,5,1,1,131,533,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\questdb\core\src\main\java\io\questdb\cutlass\http\RejectProcessorFactory.java,io.questdb.cutlass.http.RejectProcessorFactory,interface,2,5,3,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\questdb\core\src\test\java\io\questdb\test\std\NumbersTest.java,io.questdb.test.std.NumbersTest$ExceptionalRunnable,interface,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\questdb\core\src\main\java\io\questdb\griffin\engine\ops\CopyFactory.java,io.questdb.griffin.engine.ops.CopyFactory,class,16,16,0,16,7,2,0,26,2,0.5535714,0.0,0.0,4,0,4,0,0,0,5,0,0,0,14,1,0,14,0,0,14,0,0,80,2,0,1,0,0,5,3,21,0,21,2,0,1,0,95,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\questdb\core\src\test\java\io\questdb\test\cutlass\line\tcp\StaticPublicKeyRepoTest.java,io.questdb.test.cutlass.line.tcp.StaticPublicKeyRepoTest,class,2,2,0,2,2,1,0,10,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,30,0,0,0,0,0,8,0,14,0,14,0,0,0,0,162,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\questdb\benchmarks\src\main\java\org\questdb\GroupByLong256HashSetBenchmark.java,org.questdb.GroupByLong256HashSetBenchmark,class,18,19,1,18,5,1,0,19,0,0.625,0.0,0.0,4,1,4,0,0,0,4,0,0,0,8,7,1,7,0,0,6,0,0,37,0,0,0,0,0,4,15,16,3,15,1,0,0,0,40,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\questdb\core\src\main\java\io\questdb\griffin\engine\functions\eq\EqByteFunctionFactory.java,io.questdb.griffin.engine.functions.eq.EqByteFunctionFactory$Func,innerclass,2,2,0,2,4,3,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,2,0,1,0,0,0,0,0,0,0,0,0,11,10,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\questdb\core\src\main\java\io\questdb\griffin\engine\table\SequentialRowCursorFactory.java,io.questdb.griffin.engine.table.SequentialRowCursorFactory,class,9,9,0,9,9,1,0,9,1,0.60714287,0.0,0.0,7,0,7,0,0,0,7,0,0,0,4,0,0,4,0,0,4,0,0,63,3,2,0,0,0,1,3,8,0,8,1,0,1,0,54,1,0
