file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\react-native-svg\android\src\paper\java\com\facebook\react\viewmanagers\RNSVGLineManagerDelegate.java,com.facebook.react.viewmanagers.RNSVGLineManagerDelegate,class,9,10,1,9,50,2,0,32,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,19,0,10,29,10,0,0,0,1,0,0,0,27,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\react-native-svg\android\src\main\java\com\horcrux\svg\RenderableViewManager.java,com.horcrux.svg.RenderableViewManager$GroupViewManagerAbstract,innerclass,7,7,0,7,8,4,0,6,6,0.0,0.0,0.0,4,0,3,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,36,2,0,0,0,0,7,0,2,0,2,1,0,0,0,21,8,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\react-native-svg\android\src\paper\java\com\facebook\react\viewmanagers\RNSVGForeignObjectManagerDelegate.java,com.facebook.react.viewmanagers.RNSVGForeignObjectManagerDelegate,class,9,10,1,9,53,2,0,35,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,19,0,10,32,10,0,0,0,1,0,0,0,27,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\react-native-svg\android\src\main\java\com\horcrux\svg\ClipPathView.java,com.horcrux.svg.ClipPathView,class,9,12,3,9,7,5,0,3,21,0.0,0.0,0.0,7,0,1,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,21,2,0,0,0,0,2,1,0,0,0,0,0,0,0,34,0,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\react-native-svg\android\src\main\java\com\horcrux\svg\VirtualView.java,com.horcrux.svg.VirtualView,class,30,59,29,30,105,2,2,75,848,0.9511109,0.0,0.0,45,0,14,6,2,23,39,3,0,0,50,4,0,14,0,36,7,0,22,454,36,3,37,0,11,7,43,116,20,95,3,0,0,0,246,1025,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\react-native-svg\android\src\main\java\com\horcrux\svg\RNSVGRenderableManager.java,com.horcrux.svg.RNSVGRenderableManager,class,20,22,2,20,35,3,0,35,43,0.8666666,0.0,0.0,10,0,9,0,0,1,10,0,0,0,3,3,1,2,0,0,3,0,10,198,19,1,15,7,3,38,17,59,18,59,3,0,0,0,114,0,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\react-native-svg\android\src\main\java\com\horcrux\svg\TextProperties.java,com.horcrux.svg.TextProperties$Direction,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\react-native-svg\android\src\main\java\com\horcrux\svg\SvgPackage.java,com.horcrux.svg.SvgPackage,class,15,16,1,15,13,2,0,11,21,0.85714287,0.0,0.0,7,0,5,1,1,0,6,0,0,0,1,0,0,1,0,0,0,0,2,182,10,0,2,1,0,3,0,4,0,4,1,22,0,0,48,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\react-native-svg\android\src\paper\java\com\facebook\react\viewmanagers\RNSVGMarkerManagerDelegate.java,com.facebook.react.viewmanagers.RNSVGMarkerManagerDelegate,class,9,10,1,9,69,2,0,43,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,27,0,15,40,15,0,0,0,1,0,0,0,27,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\react-native-svg\android\src\main\java\com\horcrux\svg\TextProperties.java,com.horcrux.svg.TextProperties$TextLengthAdjust,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
