file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\react-native-svg\android\src\paper\java\com\facebook\react\viewmanagers\RNSVGLineManagerDelegate.java,com.facebook.react.viewmanagers.RNSVGLineManagerDelegate,"setProperty/3[T,java.lang.String,java.lang.Object]",false,25,5,0,0,0,49,32,93,0,0,3,32,0,0,0,19,0,10,29,10,0,0,1,0,0,0,17,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\react-native-svg\android\src\paper\java\com\facebook\react\viewmanagers\RNSVGLineManagerDelegate.java,com.facebook.react.viewmanagers.RNSVGLineManagerDelegate,RNSVGLineManagerDelegate/1[U],true,21,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\react-native-svg\android\src\main\java\com\horcrux\svg\RenderableViewManager.java,com.horcrux.svg.RenderableViewManager$GroupViewManagerAbstract,"setFontWeight/2[U,com.horcrux.svg.Dynamic]",false,690,5,1,0,1,3,6,14,1,1,2,6,0,0,0,0,0,0,3,0,1,0,1,0,0,0,10,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\react-native-svg\android\src\main\java\com\horcrux\svg\RenderableViewManager.java,com.horcrux.svg.RenderableViewManager$GroupViewManagerAbstract,"setFontSize/2[U,com.horcrux.svg.Dynamic]",false,674,5,1,0,1,3,6,14,1,1,2,6,0,0,0,0,0,0,3,0,1,0,1,0,0,0,10,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\react-native-svg\android\src\main\java\com\horcrux\svg\RenderableViewManager.java,com.horcrux.svg.RenderableViewManager$GroupViewManagerAbstract,"setFont/2[U,com.horcrux.svg.Dynamic]",false,669,4,1,0,1,1,1,3,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\react-native-svg\android\src\main\java\com\horcrux\svg\RenderableViewManager.java,com.horcrux.svg.RenderableViewManager$GroupViewManagerAbstract,GroupViewManagerAbstract/1[com.horcrux.svg.VirtualViewManager.SVGClass],true,664,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\react-native-svg\android\src\paper\java\com\facebook\react\viewmanagers\RNSVGForeignObjectManagerDelegate.java,com.facebook.react.viewmanagers.RNSVGForeignObjectManagerDelegate,"setProperty/3[T,java.lang.String,java.lang.Object]",false,25,5,0,0,0,52,35,102,0,0,3,35,0,0,0,19,0,10,32,10,0,0,1,0,0,0,17,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\react-native-svg\android\src\paper\java\com\facebook\react\viewmanagers\RNSVGForeignObjectManagerDelegate.java,com.facebook.react.viewmanagers.RNSVGForeignObjectManagerDelegate,RNSVGForeignObjectManagerDelegate/1[U],true,21,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\react-native-svg\android\src\main\java\com\horcrux\svg\ClipPathView.java,com.horcrux.svg.ClipPathView,hitTest/1[float[]],false,43,1,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\react-native-svg\android\src\main\java\com\horcrux\svg\ClipPathView.java,com.horcrux.svg.ClipPathView,resetProperties/0,false,51,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
