file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\shattered-pixel-dungeon\core\src\main\java\com\shatteredpixel\shatteredpixeldungeon\scenes\TitleScene.java,com.shatteredpixel.shatteredpixeldungeon.scenes.TitleScene$ChangesButton,innerclass,13,13,0,13,10,6,0,14,1,0.33333334,0.0,0.0,3,0,2,0,1,0,3,0,0,0,1,0,0,0,0,1,0,0,10,38,0,0,2,0,0,6,5,4,3,2,1,1,0,0,19,10,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\shattered-pixel-dungeon\core\src\main\java\com\shatteredpixel\shatteredpixeldungeon\actors\mobs\Elemental.java,com.shatteredpixel.shatteredpixeldungeon.actors.mobs.Elemental$FrostElemental,innerclass,7,7,0,7,7,5,0,7,1,0.0,0.0,0.0,2,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,4,19,0,0,1,0,0,0,6,3,1,0,2,0,0,0,15,9,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\shattered-pixel-dungeon\core\src\main\java\com\shatteredpixel\shatteredpixeldungeon\items\wands\WandOfBlastWave.java,com.shatteredpixel.shatteredpixeldungeon.items.wands.WandOfBlastWave$BlastWave,innerclass,3,3,0,3,5,2,0,10,4,0.5,0.0,0.0,4,1,4,0,0,0,4,0,0,0,2,1,0,2,0,0,1,0,0,31,0,0,0,0,6,0,8,10,15,5,1,0,0,0,28,9,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\shattered-pixel-dungeon\core\src\main\java\com\shatteredpixel\shatteredpixeldungeon\ui\ExitButton.java,com.shatteredpixel.shatteredpixeldungeon.ui.ExitButton,class,8,17,9,8,5,6,0,6,6,0.0,0.0,0.0,4,0,2,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,2,21,2,0,0,0,0,1,2,2,0,0,1,0,0,0,14,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\shattered-pixel-dungeon\core\src\main\java\com\shatteredpixel\shatteredpixeldungeon\items\food\PhantomMeat.java,com.shatteredpixel.shatteredpixeldungeon.items.food.PhantomMeat,class,6,10,4,6,4,3,0,8,3,0.0,0.0,0.0,3,1,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,5,20,1,0,0,0,0,0,5,3,5,0,0,0,0,0,11,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\shattered-pixel-dungeon\core\src\main\java\com\shatteredpixel\shatteredpixeldungeon\levels\SewerLevel.java,com.shatteredpixel.shatteredpixeldungeon.levels.SewerLevel,class,28,30,2,28,32,5,1,26,91,0.9285714,0.0,0.0,14,1,8,0,6,0,15,0,0,0,2,2,2,0,0,0,2,0,4,148,18,1,8,0,0,3,39,6,2,3,2,1,2,0,86,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\shattered-pixel-dungeon\core\src\main\java\com\shatteredpixel\shatteredpixeldungeon\effects\Speck.java,com.shatteredpixel.shatteredpixeldungeon.effects.Speck$Anonymous1,anonymous,2,2,0,2,2,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,7,-1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\shattered-pixel-dungeon\core\src\main\java\com\shatteredpixel\shatteredpixeldungeon\items\armor\glyphs\Viscosity.java,com.shatteredpixel.shatteredpixeldungeon.items.armor.glyphs.Viscosity,class,9,13,4,9,2,6,0,2,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,1,98,2,0,0,0,0,0,1,2,0,1,0,0,2,0,15,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\shattered-pixel-dungeon\core\src\main\java\com\shatteredpixel\shatteredpixeldungeon\scenes\AmuletScene.java,com.shatteredpixel.shatteredpixeldungeon.scenes.AmuletScene$Anonymous1,anonymous,6,6,0,6,1,1,0,5,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,3,0,0,0,0,1,0,0,4,-1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\shattered-pixel-dungeon\core\src\main\java\com\shatteredpixel\shatteredpixeldungeon\actors\mobs\CrystalWisp.java,com.shatteredpixel.shatteredpixeldungeon.actors.mobs.CrystalWisp$LightBeam,innerclass,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0
