file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\shenyu\shenyu-examples\shenyu-examples-http\src\main\java\org\apache\shenyu\examples\http\controller\RequestController.java,org.apache.shenyu.examples.http.controller.RequestController,"testRequestCookie/2[java.lang.String,org.apache.shenyu.examples.http.controller.ServerHttpRequest]",false,77,5,1,0,1,1,3,4,1,0,2,3,1,1,0,0,0,0,3,0,0,0,0,0,0,0,21,1,1,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\shenyu\shenyu-examples\shenyu-examples-http\src\main\java\org\apache\shenyu\examples\http\controller\RequestController.java,org.apache.shenyu.examples.http.controller.RequestController,successMono/1[java.lang.Object],false,82,1,3,3,0,1,1,3,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,2,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\shenyu\shenyu-examples\shenyu-examples-http\src\main\java\org\apache\shenyu\examples\http\controller\RequestController.java,org.apache.shenyu.examples.http.controller.RequestController,"testRequestHeader/2[java.lang.String,org.apache.shenyu.examples.http.controller.ServerHttpRequest]",false,51,5,1,0,1,1,3,4,1,0,2,3,1,1,0,0,0,0,3,0,0,0,0,0,0,0,17,1,1,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\shenyu\shenyu-examples\shenyu-examples-http\src\main\java\org\apache\shenyu\examples\http\controller\RequestController.java,org.apache.shenyu.examples.http.controller.RequestController,"testRequestParameter/2[java.lang.String,org.apache.shenyu.examples.http.controller.ServerHttpRequest]",false,64,5,1,0,1,1,3,4,1,0,2,3,1,1,0,0,0,0,3,0,0,0,0,0,0,0,19,1,1,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\shenyu\shenyu-admin\src\main\java\org\apache\shenyu\admin\utils\UploadUtils.java,org.apache.shenyu.admin.utils.UploadUtils,getUploadFiles/1[org.apache.shenyu.admin.utils.HttpServletRequest],false,42,4,1,1,0,3,14,9,1,5,1,14,0,0,0,0,0,0,1,0,4,0,1,0,0,2,17,9,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\shenyu\shenyu-common\src\main\java\org\apache\shenyu\common\dto\convert\plugin\SofaRegisterConfig.java,org.apache.shenyu.common.dto.convert.plugin.SofaRegisterConfig,setCorethreads/1[java.lang.Integer],false,130,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\shenyu\shenyu-common\src\main\java\org\apache\shenyu\common\dto\convert\plugin\SofaRegisterConfig.java,org.apache.shenyu.common.dto.convert.plugin.SofaRegisterConfig,getQueues/0,false,157,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\shenyu\shenyu-common\src\main\java\org\apache\shenyu\common\dto\convert\plugin\SofaRegisterConfig.java,org.apache.shenyu.common.dto.convert.plugin.SofaRegisterConfig,getCorethreads/0,false,121,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\shenyu\shenyu-common\src\main\java\org\apache\shenyu\common\dto\convert\plugin\SofaRegisterConfig.java,org.apache.shenyu.common.dto.convert.plugin.SofaRegisterConfig,hashCode/0,false,186,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\shenyu\shenyu-common\src\main\java\org\apache\shenyu\common\dto\convert\plugin\SofaRegisterConfig.java,org.apache.shenyu.common.dto.convert.plugin.SofaRegisterConfig,toString/0,false,191,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,9,1,0,false
