file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\sodium-fabric\src\main\java\net\caffeinemc\mods\sodium\client\render\chunk\vertex\builder\ChunkMeshBufferBuilder.java,net.caffeinemc.mods.sodium.client.render.chunk.vertex.builder.ChunkMeshBufferBuilder,class,6,13,7,6,14,1,0,12,0,0.6031746,0.0,0.0,9,0,7,2,0,0,7,0,0,0,7,0,0,7,0,0,3,0,1,59,3,1,2,0,0,1,4,16,8,11,1,0,0,0,42,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\sodium-fabric\src\main\java\net\caffeinemc\mods\sodium\client\gui\options\binding\OptionBinding.java,net.caffeinemc.mods.sodium.client.gui.options.binding.OptionBinding,interface,2,6,4,2,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\sodium-fabric\src\main\java\net\caffeinemc\mods\sodium\client\render\chunk\shader\ShaderBindingContext.java,net.caffeinemc.mods.sodium.client.render.chunk.shader.ShaderBindingContext,interface,3,9,6,3,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\sodium-fabric\src\main\java\net\caffeinemc\mods\sodium\client\util\FlawlessFrames.java,net.caffeinemc.mods.sodium.client.util.FlawlessFrames,class,0,2,2,0,3,1,0,8,0,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,1,22,2,0,0,0,0,2,0,3,0,6,3,0,0,3,69,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\sodium-fabric\src\api\java\net\caffeinemc\mods\sodium\api\util\ColorMixer.java,net.caffeinemc.mods.sodium.api.util.ColorMixer,class,0,2,2,0,2,1,0,0,1,0.5,0.0,0.0,2,2,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,21,2,0,0,0,40,0,35,13,36,13,0,0,0,0,82,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\sodium-fabric\src\main\java\net\caffeinemc\mods\sodium\client\render\chunk\terrain\DefaultTerrainRenderPasses.java,net.caffeinemc.mods.sodium.client.render.chunk.terrain.DefaultTerrainRenderPasses,class,1,1,0,1,0,1,0,3,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,4,0,0,6,0,0,0,0,0,0,0,4,0,4,0,0,0,0,17,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\sodium-fabric\src\main\java\net\caffeinemc\mods\sodium\mixin\features\options\render_layers\ItemBlockRenderTypesMixin.java,net.caffeinemc.mods.sodium.mixin.features.options.render_layers.ItemBlockRenderTypesMixin,class,9,9,0,9,3,1,0,2,0,0.0,-1.0,-1.0,2,2,0,2,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,9,1,0,0,0,0,6,0,1,0,1,0,0,0,0,25,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\sodium-fabric\src\main\java\net\caffeinemc\mods\sodium\mixin\features\render\particle\SingleQuadParticleMixin.java,net.caffeinemc.mods.sodium.mixin.features.render.particle.SingleQuadParticleMixin,class,12,13,1,12,9,2,0,21,28,0.0,0.0,0.0,8,1,2,1,5,0,7,5,0,0,0,0,0,0,0,0,0,0,4,67,0,0,1,1,14,1,11,40,43,35,1,0,0,0,69,1025,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\sodium-fabric\src\main\java\net\caffeinemc\mods\sodium\client\model\quad\BakedQuadView.java,net.caffeinemc.mods.sodium.client.model.quad.BakedQuadView,interface,2,4,2,2,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\sodium-fabric\src\main\java\net\caffeinemc\mods\sodium\client\gui\console\ConsoleSink.java,net.caffeinemc.mods.sodium.client.gui.console.ConsoleSink,interface,3,8,5,3,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
