file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\spring-authorization-server\buildSrc\src\main\java\org\springframework\gradle\nohttp\SpringNoHttpPlugin.java,org.springframework.gradle.nohttp.SpringNoHttpPlugin,apply/1[org.springframework.gradle.nohttp.Project],false,31,3,0,0,0,1,9,7,0,2,1,9,0,0,0,0,0,0,2,0,2,0,0,0,0,0,10,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\spring-authorization-server\oauth2-authorization-server\src\main\java\org\springframework\security\oauth2\server\authorization\settings\OAuth2TokenFormat.java,org.springframework.security.oauth2.server.authorization.settings.OAuth2TokenFormat,OAuth2TokenFormat/1[java.lang.String],true,51,0,2,2,0,1,1,4,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,15,1,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\spring-authorization-server\oauth2-authorization-server\src\main\java\org\springframework\security\oauth2\server\authorization\settings\OAuth2TokenFormat.java,org.springframework.security.oauth2.server.authorization.settings.OAuth2TokenFormat,equals/1[java.lang.Object],false,66,1,4,3,1,4,3,10,3,1,1,3,1,1,0,3,0,0,0,0,1,0,1,0,0,0,13,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\spring-authorization-server\oauth2-authorization-server\src\main\java\org\springframework\security\oauth2\server\authorization\settings\OAuth2TokenFormat.java,org.springframework.security.oauth2.server.authorization.settings.OAuth2TokenFormat,hashCode/0,false,78,1,1,0,1,1,2,3,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\spring-authorization-server\oauth2-authorization-server\src\main\java\org\springframework\security\oauth2\server\authorization\settings\OAuth2TokenFormat.java,org.springframework.security.oauth2.server.authorization.settings.OAuth2TokenFormat,getValue/0,false,61,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\spring-authorization-server\oauth2-authorization-server\src\test\java\org\springframework\security\oauth2\server\authorization\config\annotation\web\configurers\OAuth2RefreshTokenGrantTests.java,org.springframework.security.oauth2.server.authorization.config.annotation.web.configurers.OAuth2RefreshTokenGrantTests$AuthorizationServerConfiguration$ParametersMapper,ParametersMapper/0,true,346,3,2,1,1,1,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\spring-authorization-server\oauth2-authorization-server\src\test\java\org\springframework\security\oauth2\server\authorization\client\RegisteredClientTests.java,org.springframework.security.oauth2.server.authorization.client.RegisteredClientTests,buildWhenPublicClientTypeThenDefaultSettings/0,false,428,4,16,0,16,1,26,14,0,4,0,26,0,0,0,0,0,0,2,0,2,0,0,0,0,2,33,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\spring-authorization-server\oauth2-authorization-server\src\test\java\org\springframework\security\oauth2\server\authorization\client\RegisteredClientTests.java,org.springframework.security.oauth2.server.authorization.client.RegisteredClientTests,buildWhenAuthorizationGrantTypesConsumerIsProvidedThenConsumerAccepted/0,false,281,3,6,0,6,1,13,8,0,4,0,13,0,0,0,0,0,0,0,0,1,0,1,0,0,3,32,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\spring-authorization-server\oauth2-authorization-server\src\test\java\org\springframework\security\oauth2\server\authorization\client\RegisteredClientTests.java,org.springframework.security.oauth2.server.authorization.client.RegisteredClientTests,buildWhenRedirectUrisConsumerClearsSetThenThrowIllegalArgumentException/0,false,127,1,0,0,0,1,12,3,0,1,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,2,29,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\spring-authorization-server\oauth2-authorization-server\src\test\java\org\springframework\security\oauth2\server\authorization\client\RegisteredClientTests.java,org.springframework.security.oauth2.server.authorization.client.RegisteredClientTests,buildWhenScopeIsEmptyThenScopeNotRequired/0,false,156,3,4,0,4,1,8,3,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,1,0,false
