file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\spring-cloud-kubernetes\spring-cloud-kubernetes-client-config\src\test\java\org\springframework\cloud\kubernetes\client\config\bootstrap\stubs\NamedSecretWithProfileConfigurationStub.java,org.springframework.cloud.kubernetes.client.config.bootstrap.stubs.NamedSecretWithProfileConfigurationStub,stubData/0,false,66,5,1,1,0,1,17,11,0,7,0,17,0,0,0,0,0,0,31,1,7,0,0,0,0,0,26,9,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\spring-cloud-kubernetes\spring-cloud-kubernetes-client-config\src\test\java\org\springframework\cloud\kubernetes\client\config\bootstrap\stubs\NamedSecretWithProfileConfigurationStub.java,org.springframework.cloud.kubernetes.client.config.bootstrap.stubs.NamedSecretWithProfileConfigurationStub,wireMock/0,false,51,2,0,0,0,1,5,6,1,1,0,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\spring-cloud-kubernetes\spring-cloud-kubernetes-client-config\src\test\java\org\springframework\cloud\kubernetes\client\config\bootstrap\stubs\NamedSecretWithProfileConfigurationStub.java,org.springframework.cloud.kubernetes.client.config.bootstrap.stubs.NamedSecretWithProfileConfigurationStub,apiClient/1[org.springframework.cloud.kubernetes.client.config.bootstrap.stubs.WireMockServer],false,59,5,1,0,1,1,5,6,1,1,1,5,1,1,0,0,0,0,1,0,1,1,0,0,0,0,10,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\spring-cloud-kubernetes\spring-cloud-kubernetes-client-config\src\test\java\org\springframework\cloud\kubernetes\client\config\secrets_retry\SecretsFailFastEnabledButRetryDisabled.java,org.springframework.cloud.kubernetes.client.config.secrets_retry.SecretsFailFastEnabledButRetryDisabled,stubConfigMapAndSecretsDefaults/0,false,85,3,2,2,0,1,7,4,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,25,10,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\spring-cloud-kubernetes\spring-cloud-kubernetes-client-config\src\test\java\org\springframework\cloud\kubernetes\client\config\secrets_retry\SecretsFailFastEnabledButRetryDisabled.java,org.springframework.cloud.kubernetes.client.config.secrets_retry.SecretsFailFastEnabledButRetryDisabled,afterEach/0,false,99,2,1,0,1,1,2,4,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\spring-cloud-kubernetes\spring-cloud-kubernetes-client-config\src\test\java\org\springframework\cloud\kubernetes\client\config\secrets_retry\SecretsFailFastEnabledButRetryDisabled.java,org.springframework.cloud.kubernetes.client.config.secrets_retry.SecretsFailFastEnabledButRetryDisabled,setup/0,false,71,5,1,0,1,1,14,9,0,0,0,14,1,1,0,0,0,0,1,0,2,0,0,0,0,1,18,8,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\spring-cloud-kubernetes\spring-cloud-kubernetes-client-config\src\test\java\org\springframework\cloud\kubernetes\client\config\secrets_retry\SecretsFailFastEnabledButRetryDisabled.java,org.springframework.cloud.kubernetes.client.config.secrets_retry.SecretsFailFastEnabledButRetryDisabled,locateShouldFailWithoutRetrying/0,false,111,3,0,0,0,1,17,7,0,1,0,17,0,0,0,0,0,0,3,2,1,0,0,0,0,1,31,0,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\spring-cloud-kubernetes\spring-cloud-kubernetes-client-config\src\test\java\org\springframework\cloud\kubernetes\client\config\secrets_retry\SecretsFailFastEnabledButRetryDisabled.java,org.springframework.cloud.kubernetes.client.config.secrets_retry.SecretsFailFastEnabledButRetryDisabled,teardown/0,false,93,1,0,0,0,1,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\spring-cloud-kubernetes\spring-cloud-kubernetes-commons\src\main\java\org\springframework\cloud\kubernetes\commons\config\ConditionalOnKubernetesSecretsRetryDisabled.java,org.springframework.cloud.kubernetes.commons.config.ConditionalOnKubernetesSecretsRetryDisabled$OnSecretsPropertiesRetryDisabled,OnSecretsPropertiesRetryDisabled/0,true,45,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\spring-cloud-kubernetes\spring-cloud-kubernetes-commons\src\test\java\org\springframework\cloud\kubernetes\commons\config\reload\condition\PollingReloadDetectionModeTest.java,org.springframework.cloud.kubernetes.commons.config.reload.condition.PollingReloadDetectionModeTest,testMatchesCase/0,false,71,2,1,0,1,1,7,7,0,1,0,7,0,0,0,0,0,0,1,0,1,0,0,0,0,0,16,0,0,false
