file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\spring-reading\spring-interface\spring-interface-instantiationAwareBeanPostProcessor\src\main\java\com\xcs\spring\service\DataBaseImpl.java,com.xcs.spring.service.DataBaseImpl,setUsername/1[java.lang.String],false,26,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\spring-reading\spring-interface\spring-interface-instantiationAwareBeanPostProcessor\src\main\java\com\xcs\spring\service\DataBaseImpl.java,com.xcs.spring.service.DataBaseImpl,afterPropertiesSet/0,false,51,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\spring-reading\spring-interface\spring-interface-instantiationAwareBeanPostProcessor\src\main\java\com\xcs\spring\service\DataBaseImpl.java,com.xcs.spring.service.DataBaseImpl,setPostInstantiationFlag/1[boolean],false,46,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\spring-reading\spring-interface\spring-interface-instantiationAwareBeanPostProcessor\src\main\java\com\xcs\spring\service\DataBaseImpl.java,com.xcs.spring.service.DataBaseImpl,getUsername/0,false,21,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\spring-reading\spring-interface\spring-interface-instantiationAwareBeanPostProcessor\src\main\java\com\xcs\spring\service\DataBaseImpl.java,com.xcs.spring.service.DataBaseImpl,isPostInstantiationFlag/0,false,41,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\spring-reading\spring-interface\spring-interface-instantiationAwareBeanPostProcessor\src\main\java\com\xcs\spring\service\DataBaseImpl.java,com.xcs.spring.service.DataBaseImpl,setPassword/1[java.lang.String],false,36,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\spring-reading\spring-interface\spring-interface-instantiationAwareBeanPostProcessor\src\main\java\com\xcs\spring\service\DataBaseImpl.java,com.xcs.spring.service.DataBaseImpl,getPassword/0,false,31,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\spring-reading\spring-beans\spring-bean-beanDefinition\src\main\java\com\xcs\spring\BeanDefinitionDemo.java,com.xcs.spring.BeanDefinitionDemo,main/1[java.lang.String[]],false,18,3,1,0,1,1,5,7,0,2,1,5,1,1,0,0,0,0,4,0,2,1,0,0,0,0,11,9,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\spring-reading\spring-beans\spring-bean-beanDefinition\src\main\java\com\xcs\spring\BeanDefinitionDemo.java,com.xcs.spring.BeanDefinitionDemo,createBeanDefinition/0,false,30,5,1,1,0,1,14,18,1,3,0,14,0,0,0,0,0,0,9,0,3,0,0,0,0,0,19,10,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\spring-reading\spring-jsr\spring-jsr330-provider\src\main\java\com\xcs\spring\ProviderApplication.java,com.xcs.spring.ProviderApplication,main/1[java.lang.String[]],false,13,3,1,0,1,1,2,5,0,2,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10,9,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\spring-reading\spring-spel\spring-spel-evaluationContext\src\main\java\com\xcs\spring\EvaluationContextDemo.java,com.xcs.spring.EvaluationContextDemo$MyRootObject,getData/0,false,66,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\spring-reading\spring-spel\spring-spel-evaluationContext\src\main\java\com\xcs\spring\EvaluationContextDemo.java,com.xcs.spring.EvaluationContextDemo$MyRootObject,setData/1[java.lang.String],false,70,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\spring-reading\spring-spel\spring-spel-evaluationContext\src\main\java\com\xcs\spring\EvaluationContextDemo.java,com.xcs.spring.EvaluationContextDemo$MyRootObject,MyRootObject/1[java.lang.String],true,62,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\spring-reading\spring-aware\spring-aware-environmentAware\src\main\java\com\xcs\spring\config\MyEnvironmentAware.java,com.xcs.spring.config.MyEnvironmentAware,setEnvironment/1[com.xcs.spring.config.Environment],false,11,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\spring-reading\spring-aware\spring-aware-environmentAware\src\main\java\com\xcs\spring\config\MyEnvironmentAware.java,com.xcs.spring.config.MyEnvironmentAware,getAppProperty/0,false,15,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\spring-reading\spring-annotation\spring-annotation-autowired\src\main\java\com\xcs\spring\controller\MyController.java,com.xcs.spring.controller.MyController,showService/0,false,13,0,5,5,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\spring-reading\spring-jsr\spring-jsr330-inject\src\main\java\com\xcs\spring\InjectApplication.java,com.xcs.spring.InjectApplication,main/1[java.lang.String[]],false,13,3,1,0,1,1,2,5,0,2,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10,9,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\spring-reading\spring-jsr\spring-jsr330-named\src\main\java\com\xcs\spring\NamedApplication.java,com.xcs.spring.NamedApplication,main/1[java.lang.String[]],false,13,3,1,0,1,1,2,5,0,2,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10,9,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\spring-reading\spring-aware\spring-aware-applicationEventPublisherAware\src\main\java\com\xcs\spring\event\MyEvent.java,com.xcs.spring.event.MyEvent,getMessage/0,false,14,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\spring-reading\spring-aware\spring-aware-applicationEventPublisherAware\src\main\java\com\xcs\spring\event\MyEvent.java,com.xcs.spring.event.MyEvent,"MyEvent/2[java.lang.Object,java.lang.String]",true,9,0,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\spring-reading\spring-annotation\spring-annotation-import\src\main\java\com\xcs\spring\config\MyDeferredImportSelector.java,com.xcs.spring.config.MyDeferredImportSelector,selectImports/1[com.xcs.spring.config.AnnotationMetadata],false,14,2,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\spring-reading\spring-metadata\spring-metadata-annotationMetadata\src\main\java\com\xcs\spring\AnnotationMetadataDemoByReflection.java,com.xcs.spring.AnnotationMetadataDemoByReflection,main/1[java.lang.String[]],false,15,3,0,0,0,2,8,10,0,3,1,8,0,0,0,0,0,0,4,0,3,3,1,0,0,0,12,9,0,false
