file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\strimzi-kafka-operator\api\src\main\java\io\strimzi\api\kafka\model\user\KafkaUserAuthentication.java,io.strimzi.api.kafka.model.user.KafkaUserAuthentication,class,11,15,4,11,4,1,3,1,1,0.6666667,0.0,0.0,3,0,3,0,0,0,3,1,0,0,2,1,0,2,0,0,1,0,0,14,1,0,1,0,0,2,2,2,0,2,1,0,0,0,23,1025,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\strimzi-kafka-operator\user-operator\src\test\java\io\strimzi\operator\user\operator\cache\ScramShaCredentialsCacheTest.java,io.strimzi.operator.user.operator.cache.ScramShaCredentialsCacheTest,class,5,5,0,5,3,1,0,20,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,45,3,0,0,1,0,7,4,7,0,9,2,0,0,2,36,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\strimzi-kafka-operator\api\src\main\java\io\strimzi\api\kafka\model\connect\build\ImageStreamOutput.java,io.strimzi.api.kafka.model.connect.build.ImageStreamOutput,class,8,10,2,8,2,2,0,1,1,1.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,9,2,0,0,0,0,7,1,1,2,1,0,0,0,0,46,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\strimzi-kafka-operator\systemtest\src\test\java\io\strimzi\systemtest\tracing\OpenTelemetryST.java,io.strimzi.systemtest.tracing.OpenTelemetryST,class,35,36,1,35,8,2,0,109,4,0.5,0.0,0.0,8,0,0,0,0,8,8,0,0,0,2,1,0,2,0,0,2,0,92,130,0,0,0,0,8,52,55,21,13,21,0,0,0,1,61,1,5
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\strimzi-kafka-operator\systemtest\src\main\java\io\strimzi\systemtest\utils\VerificationUtils.java,io.strimzi.systemtest.utils.VerificationUtils,class,18,26,8,18,39,1,0,100,15,0.33333334,0.0,0.0,15,15,13,2,0,0,13,0,0,0,1,1,0,1,0,0,1,0,46,222,2,4,9,0,0,72,12,38,10,58,2,0,0,23,283,1,22
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\strimzi-kafka-operator\operator-common\src\main\java\io\strimzi\operator\common\model\Ca.java,io.strimzi.operator.common.model.Ca,class,16,24,8,16,124,1,1,143,423,0.89244676,0.0,0.0,42,8,26,9,5,2,33,2,0,0,29,14,11,4,14,0,22,0,103,625,39,1,33,18,0,120,18,129,27,99,4,0,2,2,406,1025,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\strimzi-kafka-operator\cluster-operator\src\test\java\io\strimzi\operator\cluster\operator\assembly\KafkaListenerReconcilerSkipBootstrapLoadBalancerTest.java,io.strimzi.operator.cluster.operator.assembly.KafkaListenerReconcilerSkipBootstrapLoadBalancerTest$MockKafkaListenersReconciler,innerclass,10,10,0,10,2,2,0,4,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,1,0,0,2,0,0,0,2,36,8,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\strimzi-kafka-operator\operator-common\src\main\java\io\strimzi\operator\common\model\ResourceVisitor.java,io.strimzi.operator.common.model.ResourceVisitor,class,8,12,4,8,30,1,0,31,6,0.75,0.0,0.0,4,4,1,2,0,1,2,0,0,0,4,4,0,4,0,0,4,0,9,117,1,4,5,1,0,4,7,16,3,14,4,1,3,0,76,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\strimzi-kafka-operator\cluster-operator\src\test\java\io\strimzi\operator\cluster\operator\assembly\KafkaConnectRollerTest.java,io.strimzi.operator.cluster.operator.assembly.KafkaConnectRollerTest,class,25,26,1,25,15,1,0,67,0,0.6642857,0.0,0.0,14,2,12,2,0,0,12,0,0,0,10,10,0,10,0,0,10,0,38,170,4,0,0,0,0,88,29,56,0,70,2,0,0,20,99,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\strimzi-kafka-operator\mockkube\src\test\java\io\strimzi\test\mockkube3\MockKube3ControllersMockTest.java,io.strimzi.test.mockkube3.MockKube3ControllersMockTest,class,23,23,0,23,15,1,0,65,0,0.41666666,0.0,0.0,8,2,8,0,0,0,8,0,0,0,3,2,0,3,0,0,0,0,4,77,0,0,7,0,0,24,22,16,0,16,0,0,0,4,61,1,0
