file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\thingsboard\application\src\test\java\org\thingsboard\server\transport\lwm2m\client\LwM2mBinaryAppDataContainer.java,org.thingsboard.server.transport.lwm2m.client.LwM2mBinaryAppDataContainer,class,10,12,2,10,42,2,0,35,141,0.8968254,0.0,0.0,18,0,6,12,0,0,6,0,0,0,7,1,0,6,0,1,1,0,1,145,25,0,5,3,3,4,26,11,0,9,2,0,0,2,116,1,2
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\thingsboard\dao\src\main\java\org\thingsboard\server\dao\model\sql\TbResourceEntity.java,org.thingsboard.server.dao.model.sql.TbResourceEntity,class,12,12,0,12,6,2,0,34,1,0.3333333,0.0,0.0,3,0,3,0,0,0,3,0,0,0,13,0,0,13,0,0,0,0,2,56,1,0,3,0,0,1,0,16,0,14,1,0,0,0,62,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\thingsboard\common\data\src\main\java\org\thingsboard\server\common\data\sync\ie\RuleChainExportData.java,org.thingsboard.server.common.data.sync.ie.RuleChainExportData,class,8,9,1,8,0,2,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,1,0,0,0,0,10,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\thingsboard\rule-engine\rule-engine-components\src\main\java\org\thingsboard\rule\engine\geo\AbstractGeofencingNode.java,org.thingsboard.rule.engine.geo.AbstractGeofencingNode,class,16,19,3,16,21,1,0,42,9,0.6666666,0.0,0.0,6,0,1,0,5,0,6,1,0,0,2,0,0,0,2,0,0,0,14,117,9,1,2,0,0,18,0,24,2,21,4,0,0,0,69,1025,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\thingsboard\common\dao-api\src\main\java\org\thingsboard\server\dao\nosql\TbResultSet.java,org.thingsboard.server.dao.nosql.TbResultSet$Anonymous1,anonymous,2,2,0,2,2,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,-1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\thingsboard\common\message\src\main\java\org\thingsboard\server\common\msg\notification\NotificationRuleProcessor.java,org.thingsboard.server.common.msg.notification.NotificationRuleProcessor,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\thingsboard\application\src\test\java\org\thingsboard\server\controller\AbstractRuleEngineControllerTest.java,org.thingsboard.server.controller.AbstractRuleEngineControllerTest$Anonymous1,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\thingsboard\dao\src\main\java\org\thingsboard\server\dao\service\validator\TenantDataValidator.java,org.thingsboard.server.dao.service.validator.TenantDataValidator,class,7,8,1,7,4,2,0,7,1,0.5,0.0,0.0,2,0,0,0,2,0,2,0,0,0,1,0,0,1,0,0,0,0,1,16,1,0,1,0,0,2,0,1,0,2,1,0,0,0,18,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\thingsboard\application\src\main\java\org\thingsboard\server\service\ws\telemetry\cmd\v2\EntityDataUnsubscribeCmd.java,org.thingsboard.server.service.ws.telemetry.cmd.v2.EntityDataUnsubscribeCmd,class,3,4,1,3,1,1,0,0,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,9,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\thingsboard\rule-engine\rule-engine-components\src\test\java\org\thingsboard\rule\engine\telemetry\TbMsgAttributesNodeConfigurationTest.java,org.thingsboard.rule.engine.telemetry.TbMsgAttributesNodeConfigurationTest,class,2,2,0,2,1,1,0,4,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0
