file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\typedb\encoding\iid\VertexIID.java,com.vaticle.typedb.core.encoding.iid.VertexIID$Attribute$DateTime,value/0,false,420,1,3,0,3,2,3,4,1,0,0,3,0,0,0,1,0,0,0,0,1,0,1,0,0,0,11,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\typedb\encoding\iid\VertexIID.java,com.vaticle.typedb.core.encoding.iid.VertexIID$Attribute$DateTime,"extract/2[com.vaticle.typedb.core.common.collection.ByteArray,int]",false,415,2,3,1,2,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25,9,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\typedb\encoding\iid\VertexIID.java,com.vaticle.typedb.core.encoding.iid.VertexIID$Attribute$DateTime,asDateTime/0,false,426,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\typedb\encoding\iid\VertexIID.java,com.vaticle.typedb.core.encoding.iid.VertexIID$Attribute$DateTime,DateTime/1[com.vaticle.typedb.core.common.collection.ByteArray],true,407,1,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\typedb\encoding\iid\VertexIID.java,com.vaticle.typedb.core.encoding.iid.VertexIID$Attribute$DateTime,"DateTime/2[com.vaticle.typedb.core.encoding.iid.VertexIID.Type,java.time.LocalDateTime]",true,411,2,3,2,1,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\typedb\traversal\planner\PlannerEdge.java,com.vaticle.typedb.core.traversal.planner.PlannerEdge$Native$Thing$Has,"Has/2[com.vaticle.typedb.core.traversal.planner.PlannerVertex.Thing,com.vaticle.typedb.core.traversal.planner.PlannerVertex.Thing]",true,1069,1,1,1,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\typedb\traversal\planner\PlannerEdge.java,com.vaticle.typedb.core.traversal.planner.PlannerEdge$Native$Thing$Has,initialiseDirectionalEdges/0,false,1074,3,3,0,3,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,4,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\typedb\traversal\Traversal.java,com.vaticle.typedb.core.traversal.Traversal$Parameters,hashCode/0,false,154,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\typedb\traversal\Traversal.java,com.vaticle.typedb.core.traversal.Traversal$Parameters,getIID/1[com.vaticle.typedb.core.traversal.common.Identifier.Variable],false,118,2,12,12,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\typedb\traversal\Traversal.java,com.vaticle.typedb.core.traversal.Traversal$Parameters,"pushValue/3[com.vaticle.typedb.core.traversal.common.Identifier.Variable,com.vaticle.typedb.core.traversal.predicate.Predicate.Value<?,?>,com.vaticle.typedb.core.traversal.Traversal.Parameters.Value<?>]",false,102,6,12,11,1,9,8,15,0,3,3,8,0,0,0,6,0,0,0,2,2,0,2,0,0,1,11,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\typedb\traversal\Traversal.java,com.vaticle.typedb.core.traversal.Traversal$Parameters,equals/1[java.lang.Object],false,144,1,2,2,0,4,2,6,3,1,1,2,0,0,0,3,0,0,0,0,1,0,1,0,0,0,10,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\typedb\traversal\Traversal.java,com.vaticle.typedb.core.traversal.Traversal$Parameters,largestGTValue/1[com.vaticle.typedb.core.traversal.common.Identifier.Variable],false,126,4,2,2,0,1,2,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\typedb\traversal\Traversal.java,com.vaticle.typedb.core.traversal.Traversal$Parameters,"getValues/2[com.vaticle.typedb.core.traversal.common.Identifier.Variable,com.vaticle.typedb.core.traversal.predicate.Predicate.Value<?,?>]",false,122,3,2,2,0,1,2,3,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\typedb\traversal\Traversal.java,com.vaticle.typedb.core.traversal.Traversal$Parameters,toString/0,false,135,0,5,5,0,3,4,7,1,1,0,4,0,0,0,0,0,0,4,0,1,0,1,0,0,0,6,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\typedb\traversal\Traversal.java,com.vaticle.typedb.core.traversal.Traversal$Parameters,smallestLTValue/1[com.vaticle.typedb.core.traversal.common.Identifier.Variable],false,130,4,2,2,0,1,2,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\typedb\traversal\Traversal.java,com.vaticle.typedb.core.traversal.Traversal$Parameters,"putIID/2[com.vaticle.typedb.core.traversal.common.Identifier.Variable,VertexIID.Thing]",false,97,2,2,2,0,1,2,4,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\typedb\traversal\Traversal.java,com.vaticle.typedb.core.traversal.Traversal$Parameters,Parameters/0,true,90,0,7,7,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\typedb\test\behaviour\query\TypeQLSteps.java,com.vaticle.typedb.core.test.behaviour.query.TypeQLSteps$ValueUniquenessCheck,ValueUniquenessCheck/1[java.lang.String],true,789,0,3,3,0,1,3,5,0,1,1,3,0,0,0,0,0,0,1,3,3,0,0,0,0,0,7,0,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\typedb\test\behaviour\query\TypeQLSteps.java,com.vaticle.typedb.core.test.behaviour.query.TypeQLSteps$ValueUniquenessCheck,check/1[com.vaticle.typedb.core.concept.Concept],false,795,8,19,1,18,9,26,33,6,2,1,26,0,0,0,0,1,0,7,0,3,1,2,0,0,0,21,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\typedb\graph\edge\impl\TypeEdgeImpl.java,com.vaticle.typedb.core.graph.edge.impl.TypeEdgeImpl$View$Forward,Forward/1[com.vaticle.typedb.core.graph.edge.impl.TypeEdgeImpl],true,129,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\typedb\graph\edge\impl\TypeEdgeImpl.java,com.vaticle.typedb.core.graph.edge.impl.TypeEdgeImpl$View$Forward,iid/0,false,134,2,5,4,1,2,1,4,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,3,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\typedb\graph\edge\impl\TypeEdgeImpl.java,com.vaticle.typedb.core.graph.edge.impl.TypeEdgeImpl$View$Forward,compareTo/1[com.vaticle.typedb.core.graph.edge.TypeEdge.View.Forward],false,140,4,3,0,3,1,3,3,1,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\typedb\traversal\procedure\ProcedureEdge.java,com.vaticle.typedb.core.traversal.procedure.ProcedureEdge$Native$Type$Owns$Forward,reverse/0,false,689,2,1,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
