Repositório,Nome,Estrelas,Anos,Nº Releases,LOC,Média CBO,Mediana CBO,Desvio Padrão CBO,Média LCOM,Mediana LCOM,Desvio Padrão LCOM,DIT Max
Snailclimb/JavaGuide,JavaGuide,142183,5.89,0,0.0,,,,,,,
GrowingGit/GitHub-Chinese-Top-Charts,GitHub-Chinese-Top-Charts,86902,4.56,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
macrozheng/mall,mall,74900,5.98,3,100873.0,3.93,3.0,4.95,1110.75,13.0,8150.2,4.0
MisterBooo/LeetCodeAnimation,LeetCodeAnimation,74875,5.31,0,0.0,,,,,,,
MisterBooo/LeetCodeAnimation,LeetCodeAnimation,74875,5.31,0,0.0,,,,,,,
doocs/advanced-java,advanced-java,73907,5.48,1,0.0,,,,,,,
krahets/hello-algo,hello-algo,72428,1.39,7,3862.0,2.03,2.0,1.08,4.69,1.0,10.41,1.0
spring-projects/spring-boot,spring-boot,72345,11.44,269,155952.0,5.65,4.0,6.43,10.69,0.0,112.15,12.0
elastic/elasticsearch,elasticsearch,67182,14.14,140,2241744.0,8.02,5.0,9.92,41.41,1.0,568.93,176.0
kdn251/interviews,interviews,61447,7.12,0,5621.0,1.19,1.0,1.25,0.29,0.0,0.93,2.0
